,Festival,name_year,month,year,visitors,cost,date,visit/cost,target
0,강경젓갈축제,강경젓갈축제2018,10,2018,110041,825000000.0,2018-10-01,0.00013338303030303031,old
1,강경젓갈축제,강경젓갈축제2022,10,2022,127900,1003000000.0,2022-10-01,0.0001275174476570289,old
2,강경젓갈축제,강경젓갈축제2023,10,2023,124299,1178086190.0,2023-10-01,0.00010550925819782337,old
3,강릉커피축제,강릉커피축제2018,10,2018,144268,390445000.0,2018-10-01,0.00036949634391527617,family
4,강릉커피축제,강릉커피축제2019,10,2019,160896,440000000.0,2019-10-01,0.0003656727272727273,family
5,강진청자축제,강진청자축제2018,7,2018,58630,1320000000.0,2018-07-01,4.4416666666666664e-05,old
6,강진청자축제,강진청자축제2019,10,2019,54944,1265500000.0,2019-10-01,4.341683129197945e-05,old
7,강진청자축제,강진청자축제2023,2,2023,84057,949740970.0,2023-02-01,8.850518473473878e-05,old
8,고령대가야축제,대가야체험축제2018,4,2018,80024,1376548000.0,2018-04-01,5.813382461054754e-05,old
9,고령대가야축제,대가야체험축제2019,4,2019,91529,1250225000.0,2019-04-01,7.321002219600472e-05,old
10,곡성세계장미축제,곡성세계장미축제2018,5,2018,315737,300000000.0,2018-05-01,0.0010524566666666668,old
11,곡성세계장미축제,곡성세계장미축제2019,5,2019,255493,410000000.0,2019-05-01,0.0006231536585365854,old
12,곡성세계장미축제,곡성세계장미축제2022,5,2022,298541,820000000.0,2022-05-01,0.00036407439024390244,old
13,곡성세계장미축제,곡성세계장미축제2023,5,2023,296406,745000000.0,2023-05-01,0.00039786040268456374,old
14,관악강감찬축제,관악강감찬축제2019,10,2019,113549,501226650.0,2019-10-01,0.00022654222396195414,youth
15,관악강감찬축제,관악강감찬축제2022,10,2022,148413,520000000.0,2022-10-01,0.00028540961538461537,youth
16,관악강감찬축제,관악강감찬축제2023,10,2023,136320,570000000.0,2023-10-01,0.0002391578947368421,youth
17,광안리어방축제,광안리어방축제2018,4,2018,154311,669083900.0,2018-04-01,0.00023063026923828236,youth
18,광안리어방축제,광안리어방축제2019,4,2019,127404,726262270.0,2019-04-01,0.0001754242306983674,youth
19,광안리어방축제,광안리어방축제2022,10,2022,173564,775000000.0,2022-10-01,0.00022395354838709676,youth
20,광안리어방축제,광안리어방축제2023,5,2023,179811,1075000000.0,2023-05-01,0.00016726604651162792,youth
21,광주김치축제,광주세계김치축제2018,10,2018,81897,896642900.0,2018-10-01,9.133736518741184e-05,family
22,광주김치축제,광주세계김치축제2019,10,2019,70285,1133952100.0,2019-10-01,6.198233593817587e-05,family
23,광주김치축제,광주세계김치축제2022,10,2022,329338,1013233150.0,2022-10-01,0.0003250367400632322,family
24,광주김치축제,광주세계김치축제2023,11,2023,308863,1163876000.0,2023-11-01,0.00026537449006595204,family
25,괴산고추축제,괴산고추축제2018,8,2018,91907,0.0,2018-08-01,inf,old
26,괴산고추축제,괴산고추축제2019,8,2019,111098,991815790.0,2019-08-01,0.00011201475225555746,old
27,괴산고추축제,괴산고추축제2022,9,2022,111684,1129331000.0,2022-09-01,9.889394694735201e-05,old
28,괴산고추축제,괴산고추축제2023,8,2023,132859,1140000000.0,2023-08-01,0.00011654298245614035,old
29,군산시간여행축제,군산시간여행축제2018,9,2018,129552,653087850.0,2018-09-01,0.00019836841245783396,old
30,군산시간여행축제,군산시간여행축제2019,10,2019,143977,637788680.0,2019-10-01,0.00022574405052156146,old
31,군산시간여행축제,군산시간여행축제2022,10,2022,210941,817596300.0,2022-10-01,0.0002580014121883869,old
32,군산시간여행축제,군산시간여행축제2023,10,2023,255195,880673950.0,2023-10-01,0.0002897723953342778,old
33,금산인삼축제,금산인삼축제2018,10,2018,440615,2124975949.0,2018-10-01,0.0002073505821124002,old
34,금산인삼축제,금산인삼축제2022,9,2022,567511,2500000000.0,2022-09-01,0.0002270044,old
