,Festival,name_year,month,year,visitors,cost,date,visit/cost,target,Fe_festival_conc,Fe_foreigner,Fe_local,Fe_navi,Fe_tour_fee,non_festival_conc,non_foreigner,non_local,non_navi,non_tour_fee,축제기간(일),도,index_y
0,강경젓갈축제,강경젓갈축제2018,10,2018,110041,825000000.0,2018-10-01,0.000133383030303,old,0.8174422845846621,0.6251651098539667,0.921656050955414,0.5718918918918918,0.6167623393535829,0.4398701222635692,0.3153189054071834,0.5561146496815287,0.3015765765765765,0.6160541637166473,5.0,충남,강경젓갈축제2018
1,강경젓갈축제,강경젓갈축제2022,10,2022,127900,1003000000.0,2022-10-01,0.000127517447657,old,0.8518316427809448,0.704742555823451,0.8751915455746367,0.6355108877721942,0.7225198536002919,0.4711207588695973,0.3479069890481985,0.5698877146631439,0.2863693467336684,0.6993505726757537,5.0,충남,강경젓갈축제2022
2,강경젓갈축제,강경젓갈축제2023,10,2023,124299,1178086190.0,2023-10-01,0.0001055092581978,old,0.9037781658108144,0.7281869334343932,0.9514649681528664,0.6626766985864113,0.6840691390540836,0.3590108246443038,0.2716665527451776,0.4718391719745223,0.176157090743274,0.629403445300563,4.0,충남,강경젓갈축제2023
3,강릉커피축제,강릉커피축제2018,10,2018,144268,390445000.0,2018-10-01,0.0003694963439152,family,0.8337446244858797,0.4780737468570505,0.6597930385700846,0.4463705308775731,0.5821279497858739,0.5678746044256098,0.3461583210306567,0.4641110065851364,0.2925514626218851,0.6167035805540546,5.0,강원,강릉커피축제2018
4,강릉커피축제,강릉커피축제2019,10,2019,160896,440000000.0,2019-10-01,0.0003656727272727,family,0.6918116482470751,0.5064940582798426,0.8607151559454191,0.495819397993311,0.5791599682410935,0.5317835170980338,0.3965214750042489,0.7484580592105263,0.2844899665551839,0.6002881710496084,4.0,강원,강릉커피축제2019
5,강진청자축제,강진청자축제2018,7,2018,58630,1320000000.0,2018-07-01,4.441666666666666e-05,old,0.8242323088716453,0.632582603495031,0.8408289241622575,0.3510091017016225,0.6698716178741735,0.361778854400716,0.1601176480226775,0.2209362139917695,0.1000197863078749,0.4686607287105978,7.0,전남,강진청자축제2018
6,강진청자축제,강진청자축제2019,10,2019,54944,1265500000.0,2019-10-01,4.341683129197945e-05,old,0.7559743908210466,0.5293038523188306,0.6406627166995831,0.4285714285714286,0.5338300874713042,0.3178777482838746,0.2061953078864014,0.1718784287908711,0.1910505430242272,0.548909891076184,7.0,전남,강진청자축제2019
7,강진청자축제,강진청자축제2023,2,2023,84057,949740970.0,2023-02-01,8.850518473473878e-05,old,0.7933939779666782,0.5615631045166738,0.6777560339204175,0.5613275613275613,0.5217729403176984,0.2168729645700472,0.1016054665318318,0.1502364644487932,0.1159211159211159,0.4606036215595241,7.0,전남,강진청자축제2023
8,고령대가야축제,대가야체험축제2018,4,2018,80024,1376548000.0,2018-04-01,5.813382461054754e-05,old,0.930595012673899,0.5296110549862895,0.9229802513464992,0.46484375,0.501852097362916,0.6845130234980231,0.3248374885745899,0.7989452423698384,0.2708565848214285,0.506533322220396,4.0,경북,대가야체험축제2018
9,고령대가야축제,대가야체험축제2019,4,2019,91529,1250225000.0,2019-04-01,7.321002219600472e-05,old,0.9043700995529717,0.6213223329895726,0.9376319493314568,0.4436141304347826,0.6569431333780671,0.6231964479002174,0.3241351552652687,0.8043741203377903,0.2257557744565217,0.6438572434064702,4.0,경북,대가야체험축제2019
