축제명,개최년도,축체기간(일),(현지인)방문자수,(외지인)방문자수,(외국인)방문자수,(전체)방문자수,일평균 방문자수,전년도 일평균 방문자수,일평균 방문자수 증감률,(이전)전체방문자,(전체)방문자증감,(현지인)방문자비율,(외지인)방문자비율,(외국인)방문자비율,전년대비방문자증감비율,도,시군구,회계연도,지역명,행사축제명,총비용,사업수익,순원가,시작월,종료월,index
강경젓갈축제,2018,5,50642.0,59291.0,108.0,110041.0,22008.2,,,,110041.0,46.02,53.88,0.1,0.0,충남,논산시,2018.0,충남,강경젓갈축제,825000000.0,183950000.0,641050000.0,10.0,10.0,강경젓갈축제2018
강경젓갈축제,2022,5,57971.0,69910.0,19.0,127900.0,25580.0,22008.2,16.2,110041.0,17859.0,45.33,54.66,0.01,16.23,충남,논산시,2022.0,충남,강경젓갈축제,1003000000.0,0.0,1003000000.0,10.0,10.0,강경젓갈축제2022
강경젓갈축제,2023,4,52282.0,71999.0,18.0,124299.0,31074.75,25580.0,21.5,127900.0,-3601.0,42.06,57.92,0.01,-2.82,충남,논산시,2023.0,충남,강경젓갈축제,1178086190.0,0.0,1178086190.0,10.0,10.0,강경젓갈축제2023
강릉커피축제,2018,5,61368.0,82621.0,279.0,144268.0,28853.6,,,,144268.0,42.54,57.27,0.19,0.0,강원,강릉시,2018.0,강원,강릉커피축제,390445000.0,40000000.0,350445000.0,10.0,10.0,강릉커피축제2018
강릉커피축제,2019,4,98907.0,61246.0,743.0,160896.0,40224.0,28853.6,39.4,144268.0,16628.0,61.47,38.07,0.46,11.53,강원,강릉시,2019.0,강원,강릉커피축제,440000000.0,91000000.0,349000000.0,10.0,10.0,강릉커피축제2019
강릉커피축제,2022,4,144613.0,113950.0,128.0,258691.0,64672.75,40224.0,60.8,160896.0,97795.0,55.9,44.05,0.05,60.78,강원,강릉시,2018.0,강원,강릉커피축제,390445000.0,40000000.0,350445000.0,10.0,10.0,강릉커피축제2022
강릉커피축제,2023,4,170198.0,64362.0,156.0,234716.0,58679.0,64672.75,-9.3,258691.0,-23975.0,72.51,27.42,0.07,-9.27,강원,강릉시,2018.0,강원,강릉커피축제,390445000.0,40000000.0,350445000.0,10.0,10.0,강릉커피축제2023
강진청자축제,2018,7,20025.0,38289.0,316.0,58630.0,8375.7143,,,,58630.0,34.15,65.31,0.54,0.0,전남,강진군,2018.0,전남,강진청자축제,1320000000.0,0.0,1320000000.0,7.0,8.0,강진청자축제2018
강진청자축제,2019,7,20437.0,34432.0,75.0,54944.0,7849.1429,8375.7143,-6.3,58630.0,-3686.0,37.2,62.67,0.14,-6.29,전남,강진군,2019.0,전남,강진청자축제,1265500000.0,0.0,1265500000.0,10.0,10.0,강진청자축제2019
강진청자축제,2023,7,29091.0,54965.0,1.0,84057.0,12008.1429,7849.1429,53.0,54944.0,29113.0,34.61,65.39,0.0,52.99,전남,강진군,2023.0,전남,강진청자축제,949740970.0,0.0,949740970.0,2.0,3.0,강진청자축제2023
고령대가야축제,2018,4,35988.0,43918.0,118.0,80024.0,20006.0,,,,80024.0,44.97,54.88,0.15,0.0,경북,고령군,2018.0,경북,대가야체험축제,1376548000.0,0.0,1376548000.0,4.0,4.0,고령대가야축제2018
고령대가야축제,2019,4,37307.0,54113.0,109.0,91529.0,22882.25,20006.0,14.4,80024.0,11505.0,40.76,59.12,0.12,14.38,경북,고령군,2019.0,경북,대가야체험축제,1250225000.0,0.0,1250225000.0,4.0,4.0,고령대가야축제2019
고령대가야축제,2022,4,38013.0,57655.0,1.0,95669.0,23917.25,22882.25,4.5,91529.0,4140.0,39.73,60.27,0.0,4.52,경북,고령군,,,,,,,,,고령대가야축제2022
고령대가야축제,2023,3,33054.0,55609.0,9.0,88672.0,29557.3333,23917.25,23.6,95669.0,-6997.0,37.28,62.71,0.01,-7.31,경북,고령군,,,,,,,,,고령대가야축제2023
곡성세계장미축제,2018,10,28680.0,286974.0,83.0,315737.0,31573.7,,,,315737.0,9.08,90.89,0.03,0.0,전남,곡성군,2018.0,전남,제8회 곡성세계장미축제,300000000.0,1319292000.0,-1019292000.0,5.0,5.0,곡성세계장미축제2018
곡성세계장미축제,2019,10,30547.0,224771.0,175.0,255493.0,25549.3,31573.7,-19.1,315737.0,-60244.0,11.96,87.98,0.07,-19.08,전남,곡성군,2019.0,전남,제9회 곡성세계장미축제,410000000.0,980650000.0,-570650000.0,5.0,5.0,곡성세계장미축제2019
곡성세계장미축제,2022,17,40689.0,257843.0,9.0,298541.0,17561.2353,25549.3,-31.3,255493.0,43048.0,13.63,86.37,0.0,16.85,전남,곡성군,2022.0,전남,제12회 곡성세계장미축제,820000000.0,0.0,820000000.0,5.0,6.0,곡성세계장미축제2022
곡성세계장미축제,2023,10,35434.0,260955.0,17.0,296406.0,29640.6,17561.2353,68.8,298541.0,-2135.0,11.95,88.04,0.01,-0.72,전남,곡성군,2023.0,전남,제13회 곡성세계장미축제,745000000.0,0.0,745000000.0,5.0,5.0,곡성세계장미축제2023
관악강감찬축제,2019,3,64056.0,49106.0,387.0,113549.0,37849.6667,,,,113549.0,56.41,43.25,0.34,0.0,서울,관악구,2019.0,서울,관악강감찬축제,501226650.0,0.0,501226650.0,10.0,10.0,관악강감찬축제2019
관악강감찬축제,2022,3,87262.0,61107.0,44.0,148413.0,49471.0,37849.6667,30.7,113549.0,34864.0,58.8,41.17,0.03,30.7,서울,관악구,2022.0,서울,관악강감찬축제,520000000.0,0.0,520000000.0,10.0,10.0,관악강감찬축제2022
관악강감찬축제,2023,3,75453.0,60602.0,265.0,136320.0,45440.0,49471.0,-8.1,148413.0,-12093.0,55.35,44.46,0.19,-8.15,서울,관악구,2023.0,서울,관악강감찬축제,570000000.0,110000000.0,460000000.0,10.0,10.0,관악강감찬축제2023
광안리어방축제,2018,3,54801.0,98819.0,691.0,154311.0,51437.0,,,,154311.0,35.51,64.04,0.45,0.0,부산,수영구,2018.0,부산,광안리어방축제,669083900.0,264083903.0,404999997.0,4.0,4.0,광안리어방축제2018
광안리어방축제,2019,3,50017.0,76617.0,770.0,127404.0,42468.0,51437.0,-17.4,154311.0,-26907.0,39.26,60.14,0.6,-17.44,부산,수영구,2019.0,부산,광안리어방축제,726262270.0,221262270.0,505000000.0,4.0,4.0,광안리어방축제2019
광안리어방축제,2022,3,68438.0,104937.0,189.0,173564.0,57854.6667,42468.0,36.2,127404.0,46160.0,39.43,60.46,0.11,36.23,부산,수영구,2022.0,부산,광안리어방축제,775000000.0,75000000.0,700000000.0,10.0,10.0,광안리어방축제2022
광안리어방축제,2023,3,64075.0,115398.0,338.0,179811.0,59937.0,57854.6667,3.6,173564.0,6247.0,35.63,64.18,0.19,3.6,부산,수영구,2023.0,부산,광안리어방축제,1075000000.0,75000000.0,1000000000.0,5.0,5.0,광안리어방축제2023
