축제명,그룹명,개최년도,구분명,구분값
강경젓갈축제,축제기간,2023,외부방문자 유입,0.7281869334343932
강경젓갈축제,축제기간,2023,현지인방문자 유입,0.9514649681528663
강경젓갈축제,축제기간,2023,내비게이션 검색량,0.6626766985864113
강경젓갈축제,축제기간,2023,관광소비,0.6840691390540836
강경젓갈축제,축제기간,2023,축제지 집중률,0.9037781658108145
강경젓갈축제,비축제기간,2023,외부방문자 유입,0.27166655274517765
강경젓갈축제,비축제기간,2023,현지인방문자 유입,0.4718391719745223
강경젓갈축제,비축제기간,2023,내비게이션 검색량,0.17615709074327404
강경젓갈축제,비축제기간,2023,관광소비,0.629403445300563
강경젓갈축제,비축제기간,2023,축제지 집중률,0.3590108246443038
강경젓갈축제,축제기간,2022,외부방문자 유입,0.704742555823451
강경젓갈축제,축제기간,2022,현지인방문자 유입,0.8751915455746367
강경젓갈축제,축제기간,2022,내비게이션 검색량,0.6355108877721942
강경젓갈축제,축제기간,2022,관광소비,0.7225198536002919
강경젓갈축제,축제기간,2022,축제지 집중률,0.8518316427809448
강경젓갈축제,비축제기간,2022,외부방문자 유입,0.3479069890481985
강경젓갈축제,비축제기간,2022,현지인방문자 유입,0.5698877146631439
강경젓갈축제,비축제기간,2022,내비게이션 검색량,0.2863693467336684
강경젓갈축제,비축제기간,2022,관광소비,0.6993505726757537
강경젓갈축제,비축제기간,2022,축제지 집중률,0.47112075886959737
강경젓갈축제,축제기간,2019,외부방문자 유입,0.0
강경젓갈축제,축제기간,2019,현지인방문자 유입,0.0
강경젓갈축제,축제기간,2019,내비게이션 검색량,0.0
강경젓갈축제,축제기간,2019,관광소비,0.0
강경젓갈축제,축제기간,2019,축제지 집중률,0.0
강경젓갈축제,비축제기간,2019,외부방문자 유입,0.0
강경젓갈축제,비축제기간,2019,현지인방문자 유입,0.0
강경젓갈축제,비축제기간,2019,내비게이션 검색량,0.0
강경젓갈축제,비축제기간,2019,관광소비,0.0
강경젓갈축제,비축제기간,2019,축제지 집중률,0.0
강경젓갈축제,축제기간,2018,외부방문자 유입,0.6251651098539667
강경젓갈축제,축제기간,2018,현지인방문자 유입,0.921656050955414
강경젓갈축제,축제기간,2018,내비게이션 검색량,0.5718918918918918
강경젓갈축제,축제기간,2018,관광소비,0.6167623393535829
강경젓갈축제,축제기간,2018,축제지 집중률,0.8174422845846621
강경젓갈축제,비축제기간,2018,외부방문자 유입,0.3153189054071834
강경젓갈축제,비축제기간,2018,현지인방문자 유입,0.5561146496815287
강경젓갈축제,비축제기간,2018,내비게이션 검색량,0.30157657657657655
강경젓갈축제,비축제기간,2018,관광소비,0.6160541637166473
강경젓갈축제,비축제기간,2018,축제지 집중률,0.43987012226356925
