축제명,그룹명,개최년도,구분명,구분값
강릉커피축제,축제기간,2023,외부방문자 유입,0.3942252957248972
강릉커피축제,축제기간,2023,현지인방문자 유입,0.9171633345907205
강릉커피축제,축제기간,2023,내비게이션 검색량,0.6974079639368895
강릉커피축제,축제기간,2023,관광소비,0.5791269094715338
강릉커피축제,축제기간,2023,축제지 집중률,0.7620121440670768
강릉커피축제,비축제기간,2023,외부방문자 유입,0.41369595872988785
강릉커피축제,비축제기간,2023,현지인방문자 유입,0.8083129007921539
강릉커피축제,비축제기간,2023,내비게이션 검색량,0.31181912096168296
강릉커피축제,비축제기간,2023,관광소비,0.632202023688518
강릉커피축제,비축제기간,2023,축제지 집중률,0.6777433942216073
강릉커피축제,축제기간,2022,외부방문자 유입,0.7072382060288399
강릉커피축제,축제기간,2022,현지인방문자 유입,0.8645379979912956
강릉커피축제,축제기간,2022,내비게이션 검색량,0.5063593004769475
강릉커피축제,축제기간,2022,관광소비,0.7122521739689125
강릉커피축제,축제기간,2022,축제지 집중률,0.857493999213294
강릉커피축제,비축제기간,2022,외부방문자 유입,0.5265922319840576
강릉커피축제,비축제기간,2022,현지인방문자 유입,0.7965506779377302
강릉커피축제,비축제기간,2022,내비게이션 검색량,0.3390053656597774
강릉커피축제,비축제기간,2022,관광소비,0.6479358771884581
강릉커피축제,비축제기간,2022,축제지 집중률,0.7464996182753532
강릉커피축제,축제기간,2019,외부방문자 유입,0.5064940582798426
강릉커피축제,축제기간,2019,현지인방문자 유입,0.8607151559454191
강릉커피축제,축제기간,2019,내비게이션 검색량,0.49581939799331104
강릉커피축제,축제기간,2019,관광소비,0.5791599682410935
강릉커피축제,축제기간,2019,축제지 집중률,0.6918116482470751
강릉커피축제,비축제기간,2019,외부방문자 유입,0.3965214750042489
강릉커피축제,비축제기간,2019,현지인방문자 유입,0.7484580592105263
강릉커피축제,비축제기간,2019,내비게이션 검색량,0.28448996655518394
강릉커피축제,비축제기간,2019,관광소비,0.6002881710496084
강릉커피축제,비축제기간,2019,축제지 집중률,0.5317835170980338
강릉커피축제,축제기간,2018,외부방문자 유입,0.4780737468570505
강릉커피축제,축제기간,2018,현지인방문자 유입,0.6597930385700846
강릉커피축제,축제기간,2018,내비게이션 검색량,0.4463705308775731
강릉커피축제,축제기간,2018,관광소비,0.5821279497858739
강릉커피축제,축제기간,2018,축제지 집중률,0.8337446244858797
강릉커피축제,비축제기간,2018,외부방문자 유입,0.3461583210306567
강릉커피축제,비축제기간,2018,현지인방문자 유입,0.46411100658513643
강릉커피축제,비축제기간,2018,내비게이션 검색량,0.29255146262188514
강릉커피축제,비축제기간,2018,관광소비,0.6167035805540546
강릉커피축제,비축제기간,2018,축제지 집중률,0.5678746044256098
