읍면동명,목적지명,도로명주소,카테고리,구분,순위
대가야읍,고령시외버스터미널,경북 고령군 중앙로 29-0,교통시설,현지인,1
대가야읍,대가야생활촌,경북 고령군 신남로 81-0,기타관광,현지인,2
대가야읍,대가야박물관,경북 고령군 대가야로 1203-0,전시시설,현지인,3
대가야읍,대가야문화누리,경북 고령군 왕릉로 30-0,기타문화관광지,현지인,4
대가야읍,대가야역사테마관광지,경북 고령군 대가야로 1216-0,복합관광시설,현지인,5
대가야읍,대가야CC,경북 고령군 대가야로 1103-0,육상레저스포츠,현지인,6
대가야읍,고령대가야시장,경북 고령군 시장3길 29-0,시장,현지인,7
대가야읍,고령생활체육공원,경북 고령군 회천로 11-0,도시공원,현지인,7
대가야읍,고령유니밸리CC,경북 고령군 일량로 588-0,육상레저스포츠,현지인,9
대가야읍,대가야문화누리공연장,경북 고령군 왕릉로 30-0,공연시설,현지인,10
대가야읍,대가야수목원,경북 고령군,도시공원,현지인,11
대가야읍,우륵박물관,경북 고령군 가야금길 98-0,전시시설,현지인,11
대가야읍,고령가축시장,경북 고령군 벽화길 41-8,시장,현지인,13
대가야읍,중화지,경북 고령군,자연경관(하천/해양),현지인,14
대가야읍,지산동고분군,경북 고령군,역사유적지,현지인,14
대가야읍,미숭산자연휴양림,경북 고령군 낫질로 672-99,자연공원,현지인,14
대가야읍,고령대가야유적지,경북 고령군 대가야로 1203-0,역사유적지,현지인,14
대가야읍,대가야시네마,경북 고령군 대가야로 1216-0,공연시설,현지인,14
대가야읍,대가야종묘,경북 고령군 왕릉로 27-0,역사유적지,현지인,14
대가야읍,대가야국악당,경북 고령군 지산길 7-8,공연시설,현지인,14
대가야읍,대광사,경북 고령군 큰골길 216-3,종교성지,현지인,14
대가야읍,대가야역사테마관광지,경북 고령군 대가야로 1216-0,복합관광시설,외지인,1
대가야읍,대가야생활촌,경북 고령군 신남로 81-0,기타관광,외지인,2
대가야읍,대가야박물관,경북 고령군 대가야로 1203-0,전시시설,외지인,3
대가야읍,대가야문화누리,경북 고령군 왕릉로 30-0,기타문화관광지,외지인,4
대가야읍,고령시외버스터미널,경북 고령군 중앙로 29-0,교통시설,외지인,5
대가야읍,고령대가야시장,경북 고령군 시장3길 29-0,시장,외지인,6
대가야읍,고령생활체육공원,경북 고령군 회천로 11-0,도시공원,외지인,7
대가야읍,고령유니밸리CC,경북 고령군 일량로 588-0,육상레저스포츠,외지인,8
대가야읍,대가야수목원,경북 고령군,도시공원,외지인,9
대가야읍,우륵박물관,경북 고령군 가야금길 98-0,전시시설,외지인,10
대가야읍,대가야문화누리공연장,경북 고령군 왕릉로 30-0,공연시설,외지인,11
대가야읍,대가야CC,경북 고령군 대가야로 1103-0,육상레저스포츠,외지인,12
대가야읍,미숭산자연휴양림,경북 고령군 낫질로 672-99,자연공원,외지인,13
대가야읍,대가야기마문화승마체험장,경북 고령군 신남로 61-0,육상레저스포츠,외지인,14
