축제명,그룹명,개최년도,구분명,구분값
곡성세계장미축제,축제기간,2023,외부방문자 유입,0.5203538407856039
곡성세계장미축제,축제기간,2023,현지인방문자 유입,0.7805705474171164
곡성세계장미축제,축제기간,2023,내비게이션 검색량,0.427351164797239
곡성세계장미축제,축제기간,2023,관광소비,0.6280574677674642
곡성세계장미축제,축제기간,2023,축제지 집중률,0.8797230560785831
곡성세계장미축제,비축제기간,2023,외부방문자 유입,0.10321400727780267
곡성세계장미축제,비축제기간,2023,현지인방문자 유입,0.4861218195836546
곡성세계장미축제,비축제기간,2023,내비게이션 검색량,0.1436367558239862
곡성세계장미축제,비축제기간,2023,관광소비,0.422566995209939
곡성세계장미축제,비축제기간,2023,축제지 집중률,0.37021879485546483
곡성세계장미축제,축제기간,2022,외부방문자 유입,0.42269804056648047
곡성세계장미축제,축제기간,2022,현지인방문자 유입,0.6084362570651036
곡성세계장미축제,축제기간,2022,내비게이션 검색량,0.43459398001316496
곡성세계장미축제,축제기간,2022,관광소비,0.7280264603055301
곡성세계장미축제,축제기간,2022,축제지 집중률,0.8635298196980853
곡성세계장미축제,비축제기간,2022,외부방문자 유입,0.16363191827050455
곡성세계장미축제,비축제기간,2022,현지인방문자 유입,0.5183101825278383
곡성세계장미축제,비축제기간,2022,내비게이션 검색량,0.19723197584747154
곡성세계장미축제,비축제기간,2022,관광소비,0.5586677482146923
곡성세계장미축제,비축제기간,2022,축제지 집중률,0.4923643481852679
곡성세계장미축제,축제기간,2019,외부방문자 유입,0.5290700190512031
곡성세계장미축제,축제기간,2019,현지인방문자 유입,0.5913279132791328
곡성세계장미축제,축제기간,2019,내비게이션 검색량,0.31507936507936507
곡성세계장미축제,축제기간,2019,관광소비,0.697391584213783
곡성세계장미축제,축제기간,2019,축제지 집중률,0.920455115152379
곡성세계장미축제,비축제기간,2019,외부방문자 유입,0.13701313592210176
곡성세계장미축제,비축제기간,2019,현지인방문자 유입,0.3235772357723577
곡성세계장미축제,비축제기간,2019,내비게이션 검색량,0.20304834054834056
곡성세계장미축제,비축제기간,2019,관광소비,0.4991702234044577
곡성세계장미축제,비축제기간,2019,축제지 집중률,0.42324003272851624
곡성세계장미축제,축제기간,2018,외부방문자 유입,0.5462605875961232
곡성세계장미축제,축제기간,2018,현지인방문자 유입,0.7435571687840291
곡성세계장미축제,축제기간,2018,내비게이션 검색량,0.4767247915087187
곡성세계장미축제,축제기간,2018,관광소비,0.7014291488775972
곡성세계장미축제,축제기간,2018,축제지 집중률,0.9430465195009992
곡성세계장미축제,비축제기간,2018,외부방문자 유입,0.09365895523666168
곡성세계장미축제,비축제기간,2018,현지인방문자 유입,0.38110254083484574
곡성세계장미축제,비축제기간,2018,내비게이션 검색량,0.13993555724033357
곡성세계장미축제,비축제기간,2018,관광소비,0.4175126748185482
곡성세계장미축제,비축제기간,2018,축제지 집중률,0.4236028229126618
