축제명,그룹명,개최년도,구분명,구분값
관악강감찬축제,축제기간,2023,외부방문자 유입,0.7633302320005125
관악강감찬축제,축제기간,2023,현지인방문자 유입,0.8458097928436912
관악강감찬축제,축제기간,2023,내비게이션 검색량,0.754930966469428
관악강감찬축제,축제기간,2023,관광소비,0.36520111589286997
관악강감찬축제,축제기간,2023,축제지 집중률,0.9039138704089976
관악강감찬축제,비축제기간,2023,외부방문자 유입,0.6847773564705552
관악강감찬축제,비축제기간,2023,현지인방문자 유입,0.7072789155681104
관악강감찬축제,비축제기간,2023,내비게이션 검색량,0.3905325443786982
관악강감찬축제,비축제기간,2023,관광소비,0.3743560713468901
관악강감찬축제,비축제기간,2023,축제지 집중률,0.8025355696463163
관악강감찬축제,축제기간,2022,외부방문자 유입,0.7916222154647334
관악강감찬축제,축제기간,2022,현지인방문자 유입,0.9409722222222222
관악강감찬축제,축제기간,2022,내비게이션 검색량,0.7666143380429095
관악강감찬축제,축제기간,2022,관광소비,0.41596686510894326
관악강감찬축제,축제기간,2022,축제지 집중률,0.8832334452993326
관악강감찬축제,비축제기간,2022,외부방문자 유입,0.7646187332867042
관악강감찬축제,비축제기간,2022,현지인방문자 유입,0.8331965202294686
관악강감찬축제,비축제기간,2022,내비게이션 검색량,0.516941391941392
관악강감찬축제,비축제기간,2022,관광소비,0.41372207606495476
관악강감찬축제,비축제기간,2022,축제지 집중률,0.8491670115171439
관악강감찬축제,축제기간,2019,외부방문자 유입,0.5655779574961174
관악강감찬축제,축제기간,2019,현지인방문자 유입,0.7482317347397687
관악강감찬축제,축제기간,2019,내비게이션 검색량,0.5136116152450091
관악강감찬축제,축제기간,2019,관광소비,0.4623171832200566
관악강감찬축제,축제기간,2019,축제지 집중률,0.9117432665924499
관악강감찬축제,비축제기간,2019,외부방문자 유입,0.7044093749892866
관악강감찬축제,비축제기간,2019,현지인방문자 유입,0.8520892105155566
관악강감찬축제,비축제기간,2019,내비게이션 검색량,0.3692528735632184
관악강감찬축제,비축제기간,2019,관광소비,0.45975898471118654
관악강감찬축제,비축제기간,2019,축제지 집중률,0.8448005109403021
관악강감찬축제,축제기간,2018,외부방문자 유입,0.0
관악강감찬축제,축제기간,2018,현지인방문자 유입,0.0
관악강감찬축제,축제기간,2018,내비게이션 검색량,0.0
관악강감찬축제,축제기간,2018,관광소비,0.0
관악강감찬축제,축제기간,2018,축제지 집중률,0.0
관악강감찬축제,비축제기간,2018,외부방문자 유입,0.0
관악강감찬축제,비축제기간,2018,현지인방문자 유입,0.0
관악강감찬축제,비축제기간,2018,내비게이션 검색량,0.0
관악강감찬축제,비축제기간,2018,관광소비,0.0
관악강감찬축제,비축제기간,2018,축제지 집중률,0.0
