읍면동명,목적지명,도로명주소,카테고리,구분,순위
광안2동,광안리해수욕장,부산 수영구 광안해변로 219-0,자연경관(하천/해양),현지인,1
광안2동,수영구생활문화센터,부산 수영구 광안해변로 219-0,기타문화관광지,현지인,2
광안2동,호텔아쿠아펠리스워터파크,부산 수영구 광안해변로 225-0,테마공원,현지인,2
광안2동,광안리해수욕장,부산 수영구 광안해변로 219-0,자연경관(하천/해양),외지인,1
광안2동,수영구생활문화센터,부산 수영구 광안해변로 219-0,기타문화관광지,외지인,2
광안2동,호텔아쿠아펠리스워터파크,부산 수영구 광안해변로 225-0,테마공원,외지인,3
광안2동,위아트부산점,부산 수영구 수영로 566-0,전시시설,외지인,4
광안2동,광안리해수욕장,부산 수영구 광안해변로 219-0,자연경관(하천/해양),전체,1
광안2동,수영구생활문화센터,부산 수영구 광안해변로 219-0,기타문화관광지,전체,2
광안2동,호텔아쿠아펠리스워터파크,부산 수영구 광안해변로 225-0,테마공원,전체,3
광안2동,위아트부산점,부산 수영구 수영로 566-0,전시시설,전체,4
