축제명,그룹명,개최년도,구분명,구분값
괴산고추축제,축제기간,2023,외부방문자 유입,0.6713327952238726
괴산고추축제,축제기간,2023,현지인방문자 유입,0.8847413994851393
괴산고추축제,축제기간,2023,내비게이션 검색량,0.6138379657007688
괴산고추축제,축제기간,2023,관광소비,0.7157441446900036
괴산고추축제,축제기간,2023,축제지 집중률,0.7293824238645986
괴산고추축제,비축제기간,2023,외부방문자 유입,0.42589333222323755
괴산고추축제,비축제기간,2023,현지인방문자 유입,0.603111104610344
괴산고추축제,비축제기간,2023,내비게이션 검색량,0.3153829095209935
괴산고추축제,비축제기간,2023,관광소비,0.7138161074090729
괴산고추축제,비축제기간,2023,축제지 집중률,0.4351946076131045
괴산고추축제,축제기간,2022,외부방문자 유입,0.5655360848997462
괴산고추축제,축제기간,2022,현지인방문자 유입,0.8982638021483887
괴산고추축제,축제기간,2022,내비게이션 검색량,0.5475129918337045
괴산고추축제,축제기간,2022,관광소비,0.671617524572367
괴산고추축제,축제기간,2022,축제지 집중률,0.8041715280593973
괴산고추축제,비축제기간,2022,외부방문자 유입,0.48720191153867143
괴산고추축제,비축제기간,2022,현지인방문자 유입,0.6651417686734948
괴산고추축제,비축제기간,2022,내비게이션 검색량,0.369408871566444
괴산고추축제,비축제기간,2022,관광소비,0.7500434926919153
괴산고추축제,비축제기간,2022,축제지 집중률,0.5611632780545533
괴산고추축제,축제기간,2019,외부방문자 유입,0.6540713287227782
괴산고추축제,축제기간,2019,현지인방문자 유입,0.7725919913419913
괴산고추축제,축제기간,2019,내비게이션 검색량,0.6002317497103129
괴산고추축제,축제기간,2019,관광소비,0.8048370524685602
괴산고추축제,축제기간,2019,축제지 집중률,0.5728491496916548
괴산고추축제,비축제기간,2019,외부방문자 유입,0.39207104822689826
괴산고추축제,비축제기간,2019,현지인방문자 유입,0.5489380411255411
괴산고추축제,비축제기간,2019,내비게이션 검색량,0.3253186558516802
괴산고추축제,비축제기간,2019,관광소비,0.667929132926709
괴산고추축제,비축제기간,2019,축제지 집중률,0.3585586793020293
괴산고추축제,축제기간,2018,외부방문자 유입,0.5160470600908731
괴산고추축제,축제기간,2018,현지인방문자 유입,0.8970781352593565
괴산고추축제,축제기간,2018,내비게이션 검색량,0.6224944320712695
괴산고추축제,축제기간,2018,관광소비,0.7052366363558003
괴산고추축제,축제기간,2018,축제지 집중률,0.5657146466292158
괴산고추축제,비축제기간,2018,외부방문자 유입,0.3284749233426822
괴산고추축제,비축제기간,2018,현지인방문자 유입,0.6787795469468155
괴산고추축제,비축제기간,2018,내비게이션 검색량,0.3569042316258352
괴산고추축제,비축제기간,2018,관광소비,0.7125767084010165
괴산고추축제,비축제기간,2018,축제지 집중률,0.34062069532152023
