축제명,그룹명,개최년도,구분명,구분값
금호강바람소리길축제,축제기간,2023,외부방문자 유입,0.6648056803578754
금호강바람소리길축제,축제기간,2023,현지인방문자 유입,0.8928834631035919
금호강바람소리길축제,축제기간,2023,내비게이션 검색량,0.42076047737996114
금호강바람소리길축제,축제기간,2023,관광소비,0.6970123605382115
금호강바람소리길축제,축제기간,2023,축제지 집중률,0.8126759911901263
금호강바람소리길축제,비축제기간,2023,외부방문자 유입,0.515026562642772
금호강바람소리길축제,비축제기간,2023,현지인방문자 유입,0.7596406485308724
금호강바람소리길축제,비축제기간,2023,내비게이션 검색량,0.28595094365806273
금호강바람소리길축제,비축제기간,2023,관광소비,0.607442439539369
금호강바람소리길축제,비축제기간,2023,축제지 집중률,0.6467561959831161
금호강바람소리길축제,축제기간,2022,외부방문자 유입,0.7998762639134279
금호강바람소리길축제,축제기간,2022,현지인방문자 유입,0.8633635161257504
금호강바람소리길축제,축제기간,2022,내비게이션 검색량,0.7207732433261737
금호강바람소리길축제,축제기간,2022,관광소비,0.6716411533117163
금호강바람소리길축제,축제기간,2022,축제지 집중률,0.8089831302453829
금호강바람소리길축제,비축제기간,2022,외부방문자 유입,0.5994034591278646
금호강바람소리길축제,비축제기간,2022,현지인방문자 유입,0.691041815037135
금호강바람소리길축제,비축제기간,2022,내비게이션 검색량,0.5244515188708193
금호강바람소리길축제,비축제기간,2022,관광소비,0.6810326270172614
금호강바람소리길축제,비축제기간,2022,축제지 집중률,0.6334097253745505
금호강바람소리길축제,축제기간,2019,외부방문자 유입,0.6719266756613267
금호강바람소리길축제,축제기간,2019,현지인방문자 유입,0.9057025077293026
금호강바람소리길축제,축제기간,2019,내비게이션 검색량,0.4225750326228795
금호강바람소리길축제,축제기간,2019,관광소비,0.6685283875714928
금호강바람소리길축제,축제기간,2019,축제지 집중률,0.6938899065289806
금호강바람소리길축제,비축제기간,2019,외부방문자 유입,0.6790649186340455
금호강바람소리길축제,비축제기간,2019,현지인방문자 유입,0.7386851597389213
금호강바람소리길축제,비축제기간,2019,내비게이션 검색량,0.5543714658547194
금호강바람소리길축제,비축제기간,2019,관광소비,0.6559547660177759
금호강바람소리길축제,비축제기간,2019,축제지 집중률,0.7593571359188283
금호강바람소리길축제,축제기간,2018,외부방문자 유입,0.0
금호강바람소리길축제,축제기간,2018,현지인방문자 유입,0.0
금호강바람소리길축제,축제기간,2018,내비게이션 검색량,0.0
금호강바람소리길축제,축제기간,2018,관광소비,0.0
금호강바람소리길축제,축제기간,2018,축제지 집중률,0.0
금호강바람소리길축제,비축제기간,2018,외부방문자 유입,0.0
금호강바람소리길축제,비축제기간,2018,현지인방문자 유입,0.0
금호강바람소리길축제,비축제기간,2018,내비게이션 검색량,0.0
금호강바람소리길축제,비축제기간,2018,관광소비,0.0
금호강바람소리길축제,비축제기간,2018,축제지 집중률,0.0
