축제명,그룹명,개최년도,구분명,구분값
김해분청도자기축제,축제기간,2023,외부방문자 유입,0.7658796235095048
김해분청도자기축제,축제기간,2023,현지인방문자 유입,0.7690571715145437
김해분청도자기축제,축제기간,2023,내비게이션 검색량,0.6153191489361702
김해분청도자기축제,축제기간,2023,관광소비,0.6616769134177883
김해분청도자기축제,축제기간,2023,축제지 집중률,0.8288947582460281
김해분청도자기축제,비축제기간,2023,외부방문자 유입,0.5441421502789308
김해분청도자기축제,비축제기간,2023,현지인방문자 유입,0.6350614343029087
김해분청도자기축제,비축제기간,2023,내비게이션 검색량,0.28305851063829784
김해분청도자기축제,비축제기간,2023,관광소비,0.65547094447685
김해분청도자기축제,비축제기간,2023,축제지 집중률,0.5735130317017287
김해분청도자기축제,축제기간,2022,외부방문자 유입,0.8380445914680564
김해분청도자기축제,축제기간,2022,현지인방문자 유입,0.855561317085818
김해분청도자기축제,축제기간,2022,내비게이션 검색량,0.6965367965367966
김해분청도자기축제,축제기간,2022,관광소비,0.7149269476251017
김해분청도자기축제,축제기간,2022,축제지 집중률,0.7967098474924696
김해분청도자기축제,비축제기간,2022,외부방문자 유입,0.6082145930303203
김해분청도자기축제,비축제기간,2022,현지인방문자 유입,0.7242675654653876
김해분청도자기축제,비축제기간,2022,내비게이션 검색량,0.4874458874458874
김해분청도자기축제,비축제기간,2022,관광소비,0.7119073794378732
김해분청도자기축제,비축제기간,2022,축제지 집중률,0.5977720176002971
김해분청도자기축제,축제기간,2019,외부방문자 유입,0.4543192037698005
김해분청도자기축제,축제기간,2019,현지인방문자 유입,0.772007722007722
김해분청도자기축제,축제기간,2019,내비게이션 검색량,0.44516129032258067
김해분청도자기축제,축제기간,2019,관광소비,0.6704870042905375
김해분청도자기축제,축제기간,2019,축제지 집중률,0.6652925319516924
김해분청도자기축제,비축제기간,2019,외부방문자 유입,0.41692959660114076
김해분청도자기축제,비축제기간,2019,현지인방문자 유입,0.7455212355212355
김해분청도자기축제,비축제기간,2019,내비게이션 검색량,0.4450992555831266
김해분청도자기축제,비축제기간,2019,관광소비,0.6796414924824266
김해분청도자기축제,비축제기간,2019,축제지 집중률,0.636274599405356
김해분청도자기축제,축제기간,2018,외부방문자 유입,0.41921625544267055
김해분청도자기축제,축제기간,2018,현지인방문자 유입,0.9090074178735429
김해분청도자기축제,축제기간,2018,내비게이션 검색량,0.5391923990498813
김해분청도자기축제,축제기간,2018,관광소비,0.5701145081061008
김해분청도자기축제,축제기간,2018,축제지 집중률,0.6955159647111253
김해분청도자기축제,비축제기간,2018,외부방문자 유입,0.2733215610385422
김해분청도자기축제,비축제기간,2018,현지인방문자 유입,0.689994701518898
김해분청도자기축제,비축제기간,2018,내비게이션 검색량,0.26787410926365796
김해분청도자기축제,비축제기간,2018,관광소비,0.5822653826177769
김해분청도자기축제,비축제기간,2018,축제지 집중률,0.4907647509801342
