축제명,그룹명,개최년도,구분명,구분값
남원춘향제,축제기간,2023,외부방문자 유입,0.479434309457076
남원춘향제,축제기간,2023,현지인방문자 유입,0.8011911852293032
남원춘향제,축제기간,2023,내비게이션 검색량,0.4493129770992367
남원춘향제,축제기간,2023,관광소비,0.698686384639879
남원춘향제,축제기간,2023,축제지 집중률,0.8004041788826547
남원춘향제,비축제기간,2023,외부방문자 유입,0.1816015327790223
남원춘향제,비축제기간,2023,현지인방문자 유입,0.6025213420686917
남원춘향제,비축제기간,2023,내비게이션 검색량,0.16986641221374046
남원춘향제,비축제기간,2023,관광소비,0.6590507893038128
남원춘향제,비축제기간,2023,축제지 집중률,0.4557050035842006
남원춘향제,축제기간,2022,외부방문자 유입,0.6851240276825672
남원춘향제,축제기간,2022,현지인방문자 유입,0.8219364231982529
남원춘향제,축제기간,2022,내비게이션 검색량,0.6209382716049383
남원춘향제,축제기간,2022,관광소비,0.7755838401328046
남원춘향제,축제기간,2022,축제지 집중률,0.8906927941149276
남원춘향제,비축제기간,2022,외부방문자 유입,0.22224834667618112
남원춘향제,비축제기간,2022,현지인방문자 유입,0.6069157971366174
남원춘향제,비축제기간,2022,내비게이션 검색량,0.24424691358024692
남원춘향제,비축제기간,2022,관광소비,0.604311206425206
남원춘향제,비축제기간,2022,축제지 집중률,0.5301223465016583
남원춘향제,축제기간,2019,외부방문자 유입,0.5907020606020497
남원춘향제,축제기간,2019,현지인방문자 유입,0.7150814814814814
남원춘향제,축제기간,2019,내비게이션 검색량,0.39545454545454545
남원춘향제,축제기간,2019,관광소비,0.6773325996892173
남원춘향제,축제기간,2019,축제지 집중률,0.8073655923678906
남원춘향제,비축제기간,2019,외부방문자 유입,0.38027765599278657
남원춘향제,비축제기간,2019,현지인방문자 유입,0.6720518518518519
남원춘향제,비축제기간,2019,내비게이션 검색량,0.2492086038961039
남원춘향제,비축제기간,2019,관광소비,0.6363888511708297
남원춘향제,비축제기간,2019,축제지 집중률,0.727367244765047
남원춘향제,축제기간,2018,외부방문자 유입,0.6086427539622795
남원춘향제,축제기간,2018,현지인방문자 유입,0.7666223404255319
남원춘향제,축제기간,2018,내비게이션 검색량,0.6226254002134471
남원춘향제,축제기간,2018,관광소비,0.5995835591961097
남원춘향제,축제기간,2018,축제지 집중률,0.9059240338966088
남원춘향제,비축제기간,2018,외부방문자 유입,0.2640424406421029
남원춘향제,비축제기간,2018,현지인방문자 유입,0.6832446808510638
남원춘향제,비축제기간,2018,내비게이션 검색량,0.22708110992529348
남원춘향제,비축제기간,2018,관광소비,0.5172365484916145
남원춘향제,비축제기간,2018,축제지 집중률,0.637811094141279
