축제명,그룹명,개최년도,구분명,구분값
담양대나무축제,축제기간,2023,외부방문자 유입,0.42175061151712495
담양대나무축제,축제기간,2023,현지인방문자 유입,0.7951283308811509
담양대나무축제,축제기간,2023,내비게이션 검색량,0.2547867298578199
담양대나무축제,축제기간,2023,관광소비,0.6606572602140333
담양대나무축제,축제기간,2023,축제지 집중률,0.7579750365347332
담양대나무축제,비축제기간,2023,외부방문자 유입,0.3463429910435083
담양대나무축제,비축제기간,2023,현지인방문자 유입,0.7375102174268432
담양대나무축제,비축제기간,2023,내비게이션 검색량,0.22905551794177387
담양대나무축제,비축제기간,2023,관광소비,0.589666664484776
담양대나무축제,비축제기간,2023,축제지 집중률,0.7248823627967761
담양대나무축제,축제기간,2022,외부방문자 유입,0.0
담양대나무축제,축제기간,2022,현지인방문자 유입,0.0
담양대나무축제,축제기간,2022,내비게이션 검색량,0.0
담양대나무축제,축제기간,2022,관광소비,0.0
담양대나무축제,축제기간,2022,축제지 집중률,0.0
담양대나무축제,비축제기간,2022,외부방문자 유입,0.0
담양대나무축제,비축제기간,2022,현지인방문자 유입,0.0
담양대나무축제,비축제기간,2022,내비게이션 검색량,0.0
담양대나무축제,비축제기간,2022,관광소비,0.0
담양대나무축제,비축제기간,2022,축제지 집중률,0.0
담양대나무축제,축제기간,2019,외부방문자 유입,0.5849121031926111
담양대나무축제,축제기간,2019,현지인방문자 유입,0.843553820241923
담양대나무축제,축제기간,2019,내비게이션 검색량,0.49009584664536743
담양대나무축제,축제기간,2019,관광소비,0.6769443257475631
담양대나무축제,축제기간,2019,축제지 집중률,0.956624315370059
담양대나무축제,비축제기간,2019,외부방문자 유입,0.26298202762679174
담양대나무축제,비축제기간,2019,현지인방문자 유입,0.7299609554432706
담양대나무축제,비축제기간,2019,내비게이션 검색량,0.1544295793397231
담양대나무축제,비축제기간,2019,관광소비,0.426160544726778
담양대나무축제,비축제기간,2019,축제지 집중률,0.7394872898228205
담양대나무축제,축제기간,2018,외부방문자 유입,0.5021974893060135
담양대나무축제,축제기간,2018,현지인방문자 유입,0.886427298192004
담양대나무축제,축제기간,2018,내비게이션 검색량,0.3696048632218845
담양대나무축제,축제기간,2018,관광소비,0.6249054751619846
담양대나무축제,축제기간,2018,축제지 집중률,0.9017656545411749
담양대나무축제,비축제기간,2018,외부방문자 유입,0.2930746731005156
담양대나무축제,비축제기간,2018,현지인방문자 유입,0.7887276122570239
담양대나무축제,비축제기간,2018,내비게이션 검색량,0.17602161431948665
담양대나무축제,비축제기간,2018,관광소비,0.4504403212059925
담양대나무축제,비축제기간,2018,축제지 집중률,0.7590523428666167
