축제명,그룹명,개최년도,구분명,구분값
대구약령시한방문화축제,축제기간,2023,외부방문자 유입,0.6345982164103559
대구약령시한방문화축제,축제기간,2023,현지인방문자 유입,0.667255985267035
대구약령시한방문화축제,축제기간,2023,내비게이션 검색량,0.8276127612761276
대구약령시한방문화축제,축제기간,2023,관광소비,0.3655611928081959
대구약령시한방문화축제,축제기간,2023,축제지 집중률,0.7997496199872915
대구약령시한방문화축제,비축제기간,2023,외부방문자 유입,0.6783032406554239
대구약령시한방문화축제,비축제기간,2023,현지인방문자 유입,0.7578729281767956
대구약령시한방문화축제,비축제기간,2023,내비게이션 검색량,0.5951457645764576
대구약령시한방문화축제,비축제기간,2023,관광소비,0.4179546456265216
대구약령시한방문화축제,비축제기간,2023,축제지 집중률,0.8028245240406131
대구약령시한방문화축제,축제기간,2022,외부방문자 유입,0.7742998423488908
대구약령시한방문화축제,축제기간,2022,현지인방문자 유입,0.8139325842696629
대구약령시한방문화축제,축제기간,2022,내비게이션 검색량,0.6493537015276145
대구약령시한방문화축제,축제기간,2022,관광소비,0.455867305645861
대구약령시한방문화축제,축제기간,2022,축제지 집중률,0.943384752531563
대구약령시한방문화축제,비축제기간,2022,외부방문자 유입,0.7022406291805467
대구약령시한방문화축제,비축제기간,2022,현지인방문자 유입,0.8061610486891385
대구약령시한방문화축제,비축제기간,2022,내비게이션 검색량,0.5325107716412064
대구약령시한방문화축제,비축제기간,2022,관광소비,0.4269757219641591
대구약령시한방문화축제,비축제기간,2022,축제지 집중률,0.915643256123013
대구약령시한방문화축제,축제기간,2019,외부방문자 유입,0.7881893380823194
대구약령시한방문화축제,축제기간,2019,현지인방문자 유입,0.7705267161057235
대구약령시한방문화축제,축제기간,2019,내비게이션 검색량,0.618877887788779
대구약령시한방문화축제,축제기간,2019,관광소비,0.5066833583127461
대구약령시한방문화축제,축제기간,2019,축제지 집중률,0.9165120395037029
대구약령시한방문화축제,비축제기간,2019,외부방문자 유입,0.6139183296439926
대구약령시한방문화축제,비축제기간,2019,현지인방문자 유입,0.7152833238258224
대구약령시한방문화축제,비축제기간,2019,내비게이션 검색량,0.46156765676567657
대구약령시한방문화축제,비축제기간,2019,관광소비,0.4445234168016359
대구약령시한방문화축제,비축제기간,2019,축제지 집중률,0.8701184101661015
대구약령시한방문화축제,축제기간,2018,외부방문자 유입,0.7023179292305707
대구약령시한방문화축제,축제기간,2018,현지인방문자 유입,0.8322429906542057
대구약령시한방문화축제,축제기간,2018,내비게이션 검색량,0.652358926919519
대구약령시한방문화축제,축제기간,2018,관광소비,0.5875354102329658
대구약령시한방문화축제,축제기간,2018,축제지 집중률,0.8958274605824302
대구약령시한방문화축제,비축제기간,2018,외부방문자 유입,0.5765204480144953
대구약령시한방문화축제,비축제기간,2018,현지인방문자 유입,0.8040675446049277
대구약령시한방문화축제,비축제기간,2018,내비게이션 검색량,0.5014801110083257
대구약령시한방문화축제,비축제기간,2018,관광소비,0.5454093856516556
대구약령시한방문화축제,비축제기간,2018,축제지 집중률,0.8422070483459156
