읍면동명,목적지명,도로명주소,카테고리,구분,순위
두류3동,코오롱야외음악당,대구 달서구 야외음악당로 180-0,공연시설,현지인,1
두류3동,두류야구장,대구 달서구 공원순환로 7-0,레저스포츠시설,현지인,2
두류3동,대구치맥페스티벌,대구 달서구 공원순환로 36-0,기타문화관광지,현지인,3
두류3동,두류정수장후적지,대구 달서구 당산로 176-0,도시공원,현지인,4
두류3동,신내당시장,대구 달서구 야외음악당로39길 62-0,시장,현지인,5
두류3동,코오롱야외음악당,대구 달서구 야외음악당로 180-0,공연시설,외지인,1
두류3동,두류야구장,대구 달서구 공원순환로 7-0,레저스포츠시설,외지인,2
두류3동,대구치맥페스티벌,대구 달서구 공원순환로 36-0,기타문화관광지,외지인,3
두류3동,두류정수장후적지,대구 달서구 당산로 176-0,도시공원,외지인,4
두류3동,신내당시장,대구 달서구 야외음악당로39길 62-0,시장,외지인,5
두류3동,코오롱야외음악당,대구 달서구 야외음악당로 180-0,공연시설,전체,1
두류3동,두류야구장,대구 달서구 공원순환로 7-0,레저스포츠시설,전체,2
두류3동,대구치맥페스티벌,대구 달서구 공원순환로 36-0,기타문화관광지,전체,3
두류3동,두류정수장후적지,대구 달서구 당산로 176-0,도시공원,전체,4
두류3동,신내당시장,대구 달서구 야외음악당로39길 62-0,시장,전체,5
