축제명,그룹명,개최년도,구분명,구분값
대구치맥페스티벌,축제기간,2023,외부방문자 유입,0.832098991581031
대구치맥페스티벌,축제기간,2023,현지인방문자 유입,0.8716427331544895
대구치맥페스티벌,축제기간,2023,내비게이션 검색량,0.5513089005235602
대구치맥페스티벌,축제기간,2023,관광소비,0.6246820410050348
대구치맥페스티벌,축제기간,2023,축제지 집중률,0.8917956726490691
대구치맥페스티벌,비축제기간,2023,외부방문자 유입,0.39608519207957577
대구치맥페스티벌,비축제기간,2023,현지인방문자 유입,0.5990926305822944
대구치맥페스티벌,비축제기간,2023,내비게이션 검색량,0.2961387434554974
대구치맥페스티벌,비축제기간,2023,관광소비,0.611621529104232
대구치맥페스티벌,비축제기간,2023,축제지 집중률,0.43665647405811253
대구치맥페스티벌,축제기간,2022,외부방문자 유입,0.7051369198023532
대구치맥페스티벌,축제기간,2022,현지인방문자 유입,0.9172735760971055
대구치맥페스티벌,축제기간,2022,내비게이션 검색량,0.6619335347432024
대구치맥페스티벌,축제기간,2022,관광소비,0.6689260788517063
대구치맥페스티벌,축제기간,2022,축제지 집중률,0.8655234345876095
대구치맥페스티벌,비축제기간,2022,외부방문자 유입,0.30733482293862535
대구치맥페스티벌,비축제기간,2022,현지인방문자 유입,0.6639962651727358
대구치맥페스티벌,비축제기간,2022,내비게이션 검색량,0.2550981873111782
대구치맥페스티벌,비축제기간,2022,관광소비,0.6815357227246736
대구치맥페스티벌,비축제기간,2022,축제지 집중률,0.36445067095722466
대구치맥페스티벌,축제기간,2019,외부방문자 유입,0.5485594026378695
대구치맥페스티벌,축제기간,2019,현지인방문자 유입,0.8347051679935231
대구치맥페스티벌,축제기간,2019,내비게이션 검색량,0.3576592082616179
대구치맥페스티벌,축제기간,2019,관광소비,0.6289531332523196
대구치맥페스티벌,축제기간,2019,축제지 집중률,0.7614579717355543
대구치맥페스티벌,비축제기간,2019,외부방문자 유입,0.3423578707206586
대구치맥페스티벌,비축제기간,2019,현지인방문자 유입,0.6613075158548104
대구치맥페스티벌,비축제기간,2019,내비게이션 검색량,0.20873493975903615
대구치맥페스티벌,비축제기간,2019,관광소비,0.6221468125441452
대구치맥페스티벌,비축제기간,2019,축제지 집중률,0.5220572776132734
대구치맥페스티벌,축제기간,2018,외부방문자 유입,0.5888452455684094
대구치맥페스티벌,축제기간,2018,현지인방문자 유입,0.9497490589711417
대구치맥페스티벌,축제기간,2018,내비게이션 검색량,0.2625468164794007
대구치맥페스티벌,축제기간,2018,관광소비,0.5506549814650327
대구치맥페스티벌,축제기간,2018,축제지 집중률,0.8463121115210946
대구치맥페스티벌,비축제기간,2018,외부방문자 유입,0.3491501509580605
대구치맥페스티벌,비축제기간,2018,현지인방문자 유입,0.769228356336261
대구치맥페스티벌,비축제기간,2018,내비게이션 검색량,0.09897003745318353
대구치맥페스티벌,비축제기간,2018,관광소비,0.5371559282785333
대구치맥페스티벌,비축제기간,2018,축제지 집중률,0.5527772204260086
