축제명,그룹명,개최년도,구분명,구분값
대전효문화뿌리축제,축제기간,2023,외부방문자 유입,0.7860905929957069
대전효문화뿌리축제,축제기간,2023,현지인방문자 유입,0.9404623530931163
대전효문화뿌리축제,축제기간,2023,내비게이션 검색량,0.6847269624573379
대전효문화뿌리축제,축제기간,2023,관광소비,0.6682430389508113
대전효문화뿌리축제,축제기간,2023,축제지 집중률,0.9346013705330362
대전효문화뿌리축제,비축제기간,2023,외부방문자 유입,0.5262770754443703
대전효문화뿌리축제,비축제기간,2023,현지인방문자 유입,0.6986229497610745
대전효문화뿌리축제,비축제기간,2023,내비게이션 검색량,0.44814775312855515
대전효문화뿌리축제,비축제기간,2023,관광소비,0.6390969886103175
대전효문화뿌리축제,비축제기간,2023,축제지 집중률,0.6638073113703172
대전효문화뿌리축제,축제기간,2022,외부방문자 유입,0.7763110097935219
대전효문화뿌리축제,축제기간,2022,현지인방문자 유입,0.9108100479819363
대전효문화뿌리축제,축제기간,2022,내비게이션 검색량,0.43938965809550723
대전효문화뿌리축제,축제기간,2022,관광소비,0.6115998485439592
대전효문화뿌리축제,축제기간,2022,축제지 집중률,0.8584395466750103
대전효문화뿌리축제,비축제기간,2022,외부방문자 유입,0.6172020530856679
대전효문화뿌리축제,비축제기간,2022,현지인방문자 유입,0.7514394580863675
대전효문화뿌리축제,비축제기간,2022,내비게이션 검색량,0.3630380521804653
대전효문화뿌리축제,비축제기간,2022,관광소비,0.6321633056051522
대전효문화뿌리축제,비축제기간,2022,축제지 집중률,0.6949132559834964
대전효문화뿌리축제,축제기간,2019,외부방문자 유입,0.758822917548165
대전효문화뿌리축제,축제기간,2019,현지인방문자 유입,0.9518078407475117
대전효문화뿌리축제,축제기간,2019,내비게이션 검색량,0.6757062146892655
대전효문화뿌리축제,축제기간,2019,관광소비,0.7445758071450959
대전효문화뿌리축제,축제기간,2019,축제지 집중률,0.9398337265090607
대전효문화뿌리축제,비축제기간,2019,외부방문자 유입,0.451055682491326
대전효문화뿌리축제,비축제기간,2019,현지인방문자 유입,0.6537426366036969
대전효문화뿌리축제,비축제기간,2019,내비게이션 검색량,0.37820150659133706
대전효문화뿌리축제,비축제기간,2019,관광소비,0.7210226253015299
대전효문화뿌리축제,비축제기간,2019,축제지 집중률,0.5967784226246754
대전효문화뿌리축제,축제기간,2018,외부방문자 유입,0.4972099232859281
대전효문화뿌리축제,축제기간,2018,현지인방문자 유입,0.8329473521692141
대전효문화뿌리축제,축제기간,2018,내비게이션 검색량,0.34434381104599543
대전효문화뿌리축제,축제기간,2018,관광소비,0.5903805208706545
대전효문화뿌리축제,축제기간,2018,축제지 집중률,0.7567521336640264
대전효문화뿌리축제,비축제기간,2018,외부방문자 유입,0.4303016455368334
대전효문화뿌리축제,비축제기간,2018,현지인방문자 유입,0.6500373115125315
대전효문화뿌리축제,비축제기간,2018,내비게이션 검색량,0.28667199431717283
대전효문화뿌리축제,비축제기간,2018,관광소비,0.6962852407465759
대전효문화뿌리축제,비축제기간,2018,축제지 집중률,0.5787907231552041
