읍면동명,목적지명,도로명주소,카테고리,구분,순위
명륜동,메가마트동래점,부산 동래구 충렬대로 197-0,대형마트,현지인,1
명륜동,동래사적공원,부산 동래구,도시공원,현지인,2
명륜동,동래읍성지,부산 동래구,역사유적지,현지인,3
명륜동,프레리키즈카페부산명륜점,부산 동래구 시실로 54-0,테마공원,현지인,4
명륜동,동래향교,부산 동래구 동래로 103-0,역사유적지,현지인,5
명륜동,정각사,부산 동래구 시실로 19-9,종교성지,현지인,6
명륜동,명륜심인당,부산 동래구 시실로24번길 56-0,종교성지,현지인,7
명륜동,온천천인공폭포,부산 동래구,자연경관(산),현지인,8
명륜동,동래인공암벽장,부산 동래구 문화로 62-0,기타레저스포츠,현지인,8
명륜동,메가마트동래점,부산 동래구 충렬대로 197-0,대형마트,외지인,1
명륜동,동래사적공원,부산 동래구,도시공원,외지인,2
명륜동,동래읍성지,부산 동래구,역사유적지,외지인,3
명륜동,동래향교,부산 동래구 동래로 103-0,역사유적지,외지인,4
명륜동,프레리키즈카페부산명륜점,부산 동래구 시실로 54-0,테마공원,외지인,5
명륜동,정각사,부산 동래구 시실로 19-9,종교성지,외지인,6
명륜동,동래인공암벽장,부산 동래구 문화로 62-0,기타레저스포츠,외지인,7
명륜동,명륜동가구거리,부산 동래구,기타쇼핑시설,외지인,8
명륜동,명륜심인당,부산 동래구 시실로24번길 56-0,종교성지,외지인,9
명륜동,온천천인공폭포,부산 동래구,자연경관(산),외지인,10
명륜동,메가마트동래점,부산 동래구 충렬대로 197-0,대형마트,전체,1
명륜동,동래사적공원,부산 동래구,도시공원,전체,2
명륜동,동래읍성지,부산 동래구,역사유적지,전체,3
명륜동,동래향교,부산 동래구 동래로 103-0,역사유적지,전체,4
명륜동,프레리키즈카페부산명륜점,부산 동래구 시실로 54-0,테마공원,전체,5
명륜동,정각사,부산 동래구 시실로 19-9,종교성지,전체,6
명륜동,동래인공암벽장,부산 동래구 문화로 62-0,기타레저스포츠,전체,7
명륜동,명륜동가구거리,부산 동래구,기타쇼핑시설,전체,8
명륜동,명륜심인당,부산 동래구 시실로24번길 56-0,종교성지,전체,8
명륜동,온천천인공폭포,부산 동래구,자연경관(산),전체,10
