축제명,그룹명,개최년도,구분명,구분값
동래읍성역사축제,축제기간,2023,외부방문자 유입,0.7659882912921594
동래읍성역사축제,축제기간,2023,현지인방문자 유입,0.9673166202414113
동래읍성역사축제,축제기간,2023,내비게이션 검색량,0.6413255360623782
동래읍성역사축제,축제기간,2023,관광소비,0.6196042447914422
동래읍성역사축제,축제기간,2023,축제지 집중률,0.8624049095692822
동래읍성역사축제,비축제기간,2023,외부방문자 유입,0.708279777058198
동래읍성역사축제,비축제기간,2023,현지인방문자 유입,0.8245937790157846
동래읍성역사축제,비축제기간,2023,내비게이션 검색량,0.6194444444444445
동래읍성역사축제,비축제기간,2023,관광소비,0.49429080461095654
동래읍성역사축제,비축제기간,2023,축제지 집중률,0.7833378709806429
동래읍성역사축제,축제기간,2022,외부방문자 유입,0.8819739733794394
동래읍성역사축제,축제기간,2022,현지인방문자 유입,0.9610370883082425
동래읍성역사축제,축제기간,2022,내비게이션 검색량,0.8136107498916341
동래읍성역사축제,축제기간,2022,관광소비,0.7480729290690897
동래읍성역사축제,축제기간,2022,축제지 집중률,0.9853220616143206
동래읍성역사축제,비축제기간,2022,외부방문자 유입,0.723627387803551
동래읍성역사축제,비축제기간,2022,현지인방문자 유입,0.7797881698102325
동래읍성역사축제,비축제기간,2022,내비게이션 검색량,0.6640117035110533
동래읍성역사축제,비축제기간,2022,관광소비,0.659698434143123
동래읍성역사축제,비축제기간,2022,축제지 집중률,0.8460694199751665
동래읍성역사축제,축제기간,2019,외부방문자 유입,0.8324417389165591
동래읍성역사축제,축제기간,2019,현지인방문자 유입,0.9571065418154906
동래읍성역사축제,축제기간,2019,내비게이션 검색량,0.5602836879432623
동래읍성역사축제,축제기간,2019,관광소비,0.5600059783723546
동래읍성역사축제,축제기간,2019,축제지 집중률,0.9595364410568037
동래읍성역사축제,비축제기간,2019,외부방문자 유입,0.7316994434471183
동래읍성역사축제,비축제기간,2019,현지인방문자 유입,0.8010667052804324
동래읍성역사축제,비축제기간,2019,내비게이션 검색량,0.5949263502454992
동래읍성역사축제,비축제기간,2019,관광소비,0.5754548241946673
동래읍성역사축제,비축제기간,2019,축제지 집중률,0.8451152257246846
동래읍성역사축제,축제기간,2018,외부방문자 유입,0.7567943514472906
동래읍성역사축제,축제기간,2018,현지인방문자 유입,0.9612806889606557
동래읍성역사축제,축제기간,2018,내비게이션 검색량,0.45594713656387664
동래읍성역사축제,축제기간,2018,관광소비,0.5874654598692751
동래읍성역사축제,축제기간,2018,축제지 집중률,0.9539536359689985
동래읍성역사축제,비축제기간,2018,외부방문자 유입,0.6691631945492788
동래읍성역사축제,비축제기간,2018,현지인방문자 유입,0.8029916310726811
동래읍성역사축제,비축제기간,2018,내비게이션 검색량,0.5188142437591776
동래읍성역사축제,비축제기간,2018,관광소비,0.6090370319583693
동래읍성역사축제,비축제기간,2018,축제지 집중률,0.8515771526983008
