축제명,그룹명,개최년도,구분명,구분값
목포항구축제,축제기간,2023,외부방문자 유입,0.6436084978578686
목포항구축제,축제기간,2023,현지인방문자 유입,0.9207762007858231
목포항구축제,축제기간,2023,내비게이션 검색량,0.4984142880988149
목포항구축제,축제기간,2023,관광소비,0.6842241263298418
목포항구축제,축제기간,2023,축제지 집중률,0.9378738711620075
목포항구축제,비축제기간,2023,외부방문자 유입,0.4972378833384862
목포항구축제,비축제기간,2023,현지인방문자 유입,0.5029368134071045
목포항구축제,비축제기간,2023,내비게이션 검색량,0.3990777833416792
목포항구축제,비축제기간,2023,관광소비,0.6860448107108933
목포항구축제,비축제기간,2023,축제지 집중률,0.6945675691853781
목포항구축제,축제기간,2022,외부방문자 유입,0.8472630997165846
목포항구축제,축제기간,2022,현지인방문자 유입,0.9792891127903722
목포항구축제,축제기간,2022,내비게이션 검색량,0.45963963963963966
목포항구축제,축제기간,2022,관광소비,0.676577236458869
목포항구축제,축제기간,2022,축제지 집중률,0.9746773310706027
목포항구축제,비축제기간,2022,외부방문자 유입,0.6308641802716406
목포항구축제,비축제기간,2022,현지인방문자 유입,0.5174923033865099
목포항구축제,비축제기간,2022,내비게이션 검색량,0.37488738738738736
목포항구축제,비축제기간,2022,관광소비,0.6825329322465812
목포항구축제,비축제기간,2022,축제지 집중률,0.7135965916178857
목포항구축제,축제기간,2019,외부방문자 유입,0.7296603475513429
목포항구축제,축제기간,2019,현지인방문자 유입,0.8875799883653287
목포항구축제,축제기간,2019,내비게이션 검색량,0.4611604311984781
목포항구축제,축제기간,2019,관광소비,0.6533833560949485
목포항구축제,축제기간,2019,축제지 집중률,0.8950168705643525
목포항구축제,비축제기간,2019,외부방문자 유입,0.5349125679491487
목포항구축제,비축제기간,2019,현지인방문자 유입,0.5240146887725422
목포항구축제,비축제기간,2019,내비게이션 검색량,0.2803582752060875
목포항구축제,비축제기간,2019,관광소비,0.6421027586925171
목포항구축제,비축제기간,2019,축제지 집중률,0.6468687239098596
목포항구축제,축제기간,2018,외부방문자 유입,0.5683014685508452
목포항구축제,축제기간,2018,현지인방문자 유입,0.6364861223389922
목포항구축제,축제기간,2018,내비게이션 검색량,0.35648702594810383
목포항구축제,축제기간,2018,관광소비,0.533518249136231
목포항구축제,축제기간,2018,축제지 집중률,0.7913034278200568
목포항구축제,비축제기간,2018,외부방문자 유입,0.5276548078554689
목포항구축제,비축제기간,2018,현지인방문자 유입,0.5160895535794485
목포항구축제,비축제기간,2018,내비게이션 검색량,0.4116766467065868
목포항구축제,비축제기간,2018,관광소비,0.6072915795805957
목포항구축제,비축제기간,2018,축제지 집중률,0.6382726054192861
