축제명,그룹명,개최년도,구분명,구분값
무주반딧불축제,축제기간,2023,외부방문자 유입,0.45670152740472625
무주반딧불축제,축제기간,2023,현지인방문자 유입,0.891325378910029
무주반딧불축제,축제기간,2023,내비게이션 검색량,0.4027108970929195
무주반딧불축제,축제기간,2023,관광소비,0.30121490597191375
무주반딧불축제,축제기간,2023,축제지 집중률,0.7817778662139817
무주반딧불축제,비축제기간,2023,외부방문자 유입,0.21033212732337733
무주반딧불축제,비축제기간,2023,현지인방문자 유입,0.6894281414597442
무주반딧불축제,비축제기간,2023,내비게이션 검색량,0.11591165804648951
무주반딧불축제,비축제기간,2023,관광소비,0.2942451256027238
무주반딧불축제,비축제기간,2023,축제지 집중률,0.3811369499862803
무주반딧불축제,축제기간,2022,외부방문자 유입,0.4602319637266285
무주반딧불축제,축제기간,2022,현지인방문자 유입,0.8812112079790478
무주반딧불축제,축제기간,2022,내비게이션 검색량,0.31763775971093045
무주반딧불축제,축제기간,2022,관광소비,0.37199454577184426
무주반딧불축제,축제기간,2022,축제지 집중률,0.8273102416350291
무주반딧불축제,비축제기간,2022,외부방문자 유입,0.32292858451326056
무주반딧불축제,비축제기간,2022,현지인방문자 유입,0.7182398737129122
무주반딧불축제,비축제기간,2022,내비게이션 검색량,0.2846093044263776
무주반딧불축제,비축제기간,2022,관광소비,0.4130433245119867
무주반딧불축제,비축제기간,2022,축제지 집중률,0.45903103310769183
무주반딧불축제,축제기간,2019,외부방문자 유입,0.3703466695318348
무주반딧불축제,축제기간,2019,현지인방문자 유입,0.8981411705601609
무주반딧불축제,축제기간,2019,내비게이션 검색량,0.2661728395061728
무주반딧불축제,축제기간,2019,관광소비,0.26047141807069923
무주반딧불축제,축제기간,2019,축제지 집중률,0.8888074181456511
무주반딧불축제,비축제기간,2019,외부방문자 유입,0.29056135172729075
무주반딧불축제,비축제기간,2019,현지인방문자 유입,0.7151888135309385
무주반딧불축제,비축제기간,2019,내비게이션 검색량,0.2262962962962963
무주반딧불축제,비축제기간,2019,관광소비,0.31639072041692995
무주반딧불축제,비축제기간,2019,축제지 집중률,0.5121900875995536
무주반딧불축제,축제기간,2018,외부방문자 유입,0.5253360154188137
무주반딧불축제,축제기간,2018,현지인방문자 유입,0.9163287873203096
무주반딧불축제,축제기간,2018,내비게이션 검색량,0.4262198706643151
무주반딧불축제,축제기간,2018,관광소비,0.23610853628360398
무주반딧불축제,축제기간,2018,축제지 집중률,0.8877406531333111
무주반딧불축제,비축제기간,2018,외부방문자 유입,0.26634356116759705
무주반딧불축제,비축제기간,2018,현지인방문자 유입,0.731140189212434
무주반딧불축제,비축제기간,2018,내비게이션 검색량,0.25830393885949443
무주반딧불축제,비축제기간,2018,관광소비,0.24032453853354957
무주반딧불축제,비축제기간,2018,축제지 집중률,0.4651921828793003
