축제명,그룹명,개최년도,구분명,구분값
문경찻사발축제,축제기간,2023,외부방문자 유입,0.1898305237025788
문경찻사발축제,축제기간,2023,현지인방문자 유입,0.8725775937004653
문경찻사발축제,축제기간,2023,내비게이션 검색량,0.3206766459778508
문경찻사발축제,축제기간,2023,관광소비,0.5985064378975357
문경찻사발축제,축제기간,2023,축제지 집중률,0.644344469964469
문경찻사발축제,비축제기간,2023,외부방문자 유입,0.1257057962060929
문경찻사발축제,비축제기간,2023,현지인방문자 유입,0.7220049087283326
문경찻사발축제,비축제기간,2023,내비게이션 검색량,0.22846689789460872
문경찻사발축제,비축제기간,2023,관광소비,0.5229682603550678
문경찻사발축제,비축제기간,2023,축제지 집중률,0.558485333597377
문경찻사발축제,축제기간,2022,외부방문자 유입,0.2958243885933181
문경찻사발축제,축제기간,2022,현지인방문자 유입,0.6386626854867897
문경찻사발축제,축제기간,2022,내비게이션 검색량,0.30778920233178075
문경찻사발축제,축제기간,2022,관광소비,0.6506772451156956
문경찻사발축제,축제기간,2022,축제지 집중률,0.5906918510494172
문경찻사발축제,비축제기간,2022,외부방문자 유입,0.2101961803179143
문경찻사발축제,비축제기간,2022,현지인방문자 유입,0.557342562432139
문경찻사발축제,비축제기간,2022,내비게이션 검색량,0.21883147318159182
문경찻사발축제,비축제기간,2022,관광소비,0.5474173738563076
문경찻사발축제,비축제기간,2022,축제지 집중률,0.5719366865351848
문경찻사발축제,축제기간,2019,외부방문자 유입,0.23813465060862735
문경찻사발축제,축제기간,2019,현지인방문자 유입,0.815005931198102
문경찻사발축제,축제기간,2019,내비게이션 검색량,0.30896445131375583
문경찻사발축제,축제기간,2019,관광소비,0.6170407130415939
문경찻사발축제,축제기간,2019,축제지 집중률,0.7258678474566586
문경찻사발축제,비축제기간,2019,외부방문자 유입,0.15899863359403874
문경찻사발축제,비축제기간,2019,현지인방문자 유입,0.7290183867141162
문경찻사발축제,비축제기간,2019,내비게이션 검색량,0.16290571870170018
문경찻사발축제,비축제기간,2019,관광소비,0.4889875031692475
문경찻사발축제,비축제기간,2019,축제지 집중률,0.6828612677305063
문경찻사발축제,축제기간,2018,외부방문자 유입,0.3750827527037498
문경찻사발축제,축제기간,2018,현지인방문자 유입,0.731414994720169
문경찻사발축제,축제기간,2018,내비게이션 검색량,0.3238344683080147
문경찻사발축제,축제기간,2018,관광소비,0.6261605836608544
문경찻사발축제,축제기간,2018,축제지 집중률,0.6078430811944981
문경찻사발축제,비축제기간,2018,외부방문자 유입,0.22427630348496502
문경찻사발축제,비축제기간,2018,현지인방문자 유입,0.5595564941921859
문경찻사발축제,비축제기간,2018,내비게이션 검색량,0.18128601361969618
문경찻사발축제,비축제기간,2018,관광소비,0.5269283759374521
문경찻사발축제,비축제기간,2018,축제지 집중률,0.5235315079354682
