축제명,그룹명,개최년도,구분명,구분값
밀양아리랑대축제,축제기간,2023,외부방문자 유입,0.4645192536387791
밀양아리랑대축제,축제기간,2023,현지인방문자 유입,0.9268747668200472
밀양아리랑대축제,축제기간,2023,내비게이션 검색량,0.49539007092198584
밀양아리랑대축제,축제기간,2023,관광소비,0.6836024972500592
밀양아리랑대축제,축제기간,2023,축제지 집중률,0.8890168984326021
밀양아리랑대축제,비축제기간,2023,외부방문자 유입,0.2874386476622089
밀양아리랑대축제,비축제기간,2023,현지인방문자 유입,0.8446749471458774
밀양아리랑대축제,비축제기간,2023,내비게이션 검색량,0.2862145390070922
밀양아리랑대축제,비축제기간,2023,관광소비,0.641676754791709
밀양아리랑대축제,비축제기간,2023,축제지 집중률,0.6172523878739528
밀양아리랑대축제,축제기간,2022,외부방문자 유입,0.450110046890427
밀양아리랑대축제,축제기간,2022,현지인방문자 유입,0.9359544049459042
밀양아리랑대축제,축제기간,2022,내비게이션 검색량,0.5214025500910747
밀양아리랑대축제,축제기간,2022,관광소비,0.6752600213842147
밀양아리랑대축제,축제기간,2022,축제지 집중률,0.8680624081011423
밀양아리랑대축제,비축제기간,2022,외부방문자 유입,0.3244956152478618
밀양아리랑대축제,비축제기간,2022,현지인방문자 유입,0.8528746458011335
밀양아리랑대축제,비축제기간,2022,내비게이션 검색량,0.4823542805100182
밀양아리랑대축제,비축제기간,2022,관광소비,0.704831392603289
밀양아리랑대축제,비축제기간,2022,축제지 집중률,0.6369736960574558
밀양아리랑대축제,축제기간,2019,외부방문자 유입,0.3579163248564397
밀양아리랑대축제,축제기간,2019,현지인방문자 유입,0.862912779505405
밀양아리랑대축제,축제기간,2019,내비게이션 검색량,0.255050505050505
밀양아리랑대축제,축제기간,2019,관광소비,0.7447666494484525
밀양아리랑대축제,축제기간,2019,축제지 집중률,0.8711049221257373
밀양아리랑대축제,비축제기간,2019,외부방문자 유입,0.23090281846947147
밀양아리랑대축제,비축제기간,2019,현지인방문자 유입,0.7967292314526877
밀양아리랑대축제,비축제기간,2019,내비게이션 검색량,0.2212752525252525
밀양아리랑대축제,비축제기간,2019,관광소비,0.696082057328229
밀양아리랑대축제,비축제기간,2019,축제지 집중률,0.569348536492323
밀양아리랑대축제,축제기간,2018,외부방문자 유입,0.38220987636412873
밀양아리랑대축제,축제기간,2018,현지인방문자 유입,0.9088144726712856
밀양아리랑대축제,축제기간,2018,내비게이션 검색량,0.36666666666666664
밀양아리랑대축제,축제기간,2018,관광소비,0.6856054900280371
밀양아리랑대축제,축제기간,2018,축제지 집중률,0.8326978098295105
밀양아리랑대축제,비축제기간,2018,외부방문자 유입,0.22005066677304086
밀양아리랑대축제,비축제기간,2018,현지인방문자 유입,0.8329195535026944
밀양아리랑대축제,비축제기간,2018,내비게이션 검색량,0.21220238095238095
밀양아리랑대축제,비축제기간,2018,관광소비,0.6147697558937687
밀양아리랑대축제,비축제기간,2018,축제지 집중률,0.577283038385313
