축제명,그룹명,개최년도,구분명,구분값
보령머드축제,축제기간,2023,외부방문자 유입,0.5238805240777199
보령머드축제,축제기간,2023,현지인방문자 유입,0.8219475168076339
보령머드축제,축제기간,2023,내비게이션 검색량,0.308137283796513
보령머드축제,축제기간,2023,관광소비,0.6685348278599965
보령머드축제,축제기간,2023,축제지 집중률,0.9020796221126424
보령머드축제,비축제기간,2023,외부방문자 유입,0.34552480859811047
보령머드축제,비축제기간,2023,현지인방문자 유입,0.7469795230199873
보령머드축제,비축제기간,2023,내비게이션 검색량,0.2294350481224786
보령머드축제,비축제기간,2023,관광소비,0.55243069706895
보령머드축제,비축제기간,2023,축제지 집중률,0.8373614469451176
보령머드축제,축제기간,2022,외부방문자 유입,0.5465031770107356
보령머드축제,축제기간,2022,현지인방문자 유입,0.6692493265458184
보령머드축제,축제기간,2022,내비게이션 검색량,0.4271310072416063
보령머드축제,축제기간,2022,관광소비,0.6386992323002912
보령머드축제,축제기간,2022,축제지 집중률,0.8551655318039465
보령머드축제,비축제기간,2022,외부방문자 유입,0.43938886051207693
보령머드축제,비축제기간,2022,현지인방문자 유입,0.6385724921419116
보령머드축제,비축제기간,2022,내비게이션 검색량,0.3384302134646962
보령머드축제,비축제기간,2022,관광소비,0.5826028570158808
보령머드축제,비축제기간,2022,축제지 집중률,0.8194334665270779
보령머드축제,축제기간,2019,외부방문자 유입,0.5009341820706784
보령머드축제,축제기간,2019,현지인방문자 유입,0.7813010025647004
보령머드축제,축제기간,2019,내비게이션 검색량,0.38927038626609445
보령머드축제,축제기간,2019,관광소비,0.5745045313296104
보령머드축제,축제기간,2019,축제지 집중률,0.902417798111963
보령머드축제,비축제기간,2019,외부방문자 유입,0.4433129433464764
보령머드축제,비축제기간,2019,현지인방문자 유입,0.6699638610398695
보령머드축제,비축제기간,2019,내비게이션 검색량,0.3715034082302449
보령머드축제,비축제기간,2019,관광소비,0.5867330079250305
보령머드축제,비축제기간,2019,축제지 집중률,0.8202167457466915
보령머드축제,축제기간,2018,외부방문자 유입,0.5716685125212806
보령머드축제,축제기간,2018,현지인방문자 유입,0.8011937557392103
보령머드축제,축제기간,2018,내비게이션 검색량,0.4148717948717949
보령머드축제,축제기간,2018,관광소비,0.661946737957879
보령머드축제,축제기간,2018,축제지 집중률,0.9057558868865594
보령머드축제,비축제기간,2018,외부방문자 유입,0.4802946757037916
보령머드축제,비축제기간,2018,현지인방문자 유입,0.6473829201101928
보령머드축제,비축제기간,2018,내비게이션 검색량,0.361482905982906
보령머드축제,비축제기간,2018,관광소비,0.6194294674658901
보령머드축제,비축제기간,2018,축제지 집중률,0.8039552673594624
