축제명,그룹명,개최년도,구분명,구분값
보성다향대축제,축제기간,2023,외부방문자 유입,0.5773241251105286
보성다향대축제,축제기간,2023,현지인방문자 유입,0.7268217893217893
보성다향대축제,축제기간,2023,내비게이션 검색량,0.3898859376246311
보성다향대축제,축제기간,2023,관광소비,0.5808559318401526
보성다향대축제,축제기간,2023,축제지 집중률,0.7748939626254563
보성다향대축제,비축제기간,2023,외부방문자 유입,0.27380823676945715
보성다향대축제,비축제기간,2023,현지인방문자 유입,0.5993341149591149
보성다향대축제,비축제기간,2023,내비게이션 검색량,0.1623394751535455
보성다향대축제,비축제기간,2023,관광소비,0.5283825538397097
보성다향대축제,비축제기간,2023,축제지 집중률,0.47958506841221027
보성다향대축제,축제기간,2022,외부방문자 유입,0.0
보성다향대축제,축제기간,2022,현지인방문자 유입,0.0
보성다향대축제,축제기간,2022,내비게이션 검색량,0.0
보성다향대축제,축제기간,2022,관광소비,0.0
보성다향대축제,축제기간,2022,축제지 집중률,0.0
보성다향대축제,비축제기간,2022,외부방문자 유입,0.0
보성다향대축제,비축제기간,2022,현지인방문자 유입,0.0
보성다향대축제,비축제기간,2022,내비게이션 검색량,0.0
보성다향대축제,비축제기간,2022,관광소비,0.0
보성다향대축제,비축제기간,2022,축제지 집중률,0.0
보성다향대축제,축제기간,2019,외부방문자 유입,0.5736208115368302
보성다향대축제,축제기간,2019,현지인방문자 유입,0.7844977407021203
보성다향대축제,축제기간,2019,내비게이션 검색량,0.5220299884659747
보성다향대축제,축제기간,2019,관광소비,0.6952929546890627
보성다향대축제,축제기간,2019,축제지 집중률,0.7210138704406279
보성다향대축제,비축제기간,2019,외부방문자 유입,0.23083038785993698
보성다향대축제,비축제기간,2019,현지인방문자 유입,0.6376346889120612
보성다향대축제,비축제기간,2019,내비게이션 검색량,0.12906574394463668
보성다향대축제,비축제기간,2019,관광소비,0.4667524598264237
보성다향대축제,비축제기간,2019,축제지 집중률,0.544552869306858
보성다향대축제,축제기간,2018,외부방문자 유입,0.4901575644644178
보성다향대축제,축제기간,2018,현지인방문자 유입,0.7487313432835822
보성다향대축제,축제기간,2018,내비게이션 검색량,0.4928892889288929
보성다향대축제,축제기간,2018,관광소비,0.5846896028764693
보성다향대축제,축제기간,2018,축제지 집중률,0.7228813668957124
보성다향대축제,비축제기간,2018,외부방문자 유입,0.27255788781410134
보성다향대축제,비축제기간,2018,현지인방문자 유입,0.6810541044776119
보성다향대축제,비축제기간,2018,내비게이션 검색량,0.20477047704770476
보성다향대축제,비축제기간,2018,관광소비,0.4827638505596757
보성다향대축제,비축제기간,2018,축제지 집중률,0.5388569402866179
