읍면동명,목적지명,도로명주소,카테고리,구분,순위
봉화읍,봉화은어축제,경북 봉화군,기타문화관광지,현지인,1
봉화읍,봉화역,경북 봉화군 봉화로 1072-1,교통시설,현지인,2
봉화읍,봉화공용버스터미널,경북 봉화군 봉화로 1153-0,교통시설,현지인,3
봉화읍,문단역,경북 봉화군,교통시설,현지인,4
봉화읍,석천계곡,경북 봉화군,자연경관(산),현지인,5
봉화읍,봉화체육공원,경북 봉화군,도시공원,현지인,5
봉화읍,봉화상설시장,경북 봉화군 신시장길 11-0,시장,현지인,7
봉화읍,닭실마을,경북 봉화군,역사유적지,현지인,8
봉화읍,수온당,경북 봉화군 거수2길 12-0,역사유적지,현지인,8
봉화읍,봉화삼계쉼터,경북 봉화군,도시공원,현지인,10
봉화읍,도암정,경북 봉화군,역사유적지,현지인,10
봉화읍,석천정사,경북 봉화군 충재길 25-36,기타관광,현지인,10
봉화읍,봉화은어축제,경북 봉화군,기타문화관광지,외지인,1
봉화읍,석천계곡,경북 봉화군,자연경관(산),외지인,2
봉화읍,봉화체육공원,경북 봉화군,도시공원,외지인,3
봉화읍,봉화공용버스터미널,경북 봉화군 봉화로 1153-0,교통시설,외지인,4
봉화읍,봉화역,경북 봉화군 봉화로 1072-1,교통시설,외지인,5
봉화읍,봉화상설시장,경북 봉화군 신시장길 11-0,시장,외지인,6
봉화읍,닭실마을,경북 봉화군,역사유적지,외지인,7
봉화읍,청암정,경북 봉화군 충재길 44-0,역사유적지,외지인,8
봉화읍,봉화만회고택,경북 봉화군 바래미1길 51-0,역사유적지,외지인,9
봉화읍,석천정사,경북 봉화군 충재길 25-36,기타관광,외지인,10
봉화읍,남호구택,경북 봉화군 바래미길 21-0,역사유적지,외지인,11
봉화읍,문단역,경북 봉화군,교통시설,외지인,12
봉화읍,봉화은어송이테마공원,경북 봉화군 범들로 447-0,도시공원,외지인,13
봉화읍,봉화삼계쉼터,경북 봉화군,도시공원,외지인,14
봉화읍,도암정,경북 봉화군,역사유적지,외지인,15
봉화읍,봉화청소년수련관,경북 봉화군 내성로1길 20-1,육상레저스포츠,외지인,16
봉화읍,봉화전통문화마을,경북 봉화군,역사유적지,외지인,17
봉화읍,쌍벽당,경북 봉화군 거수1길 17-0,역사유적지,외지인,18
봉화읍,시장애불금야시장,경북 봉화군,시장,외지인,19
봉화읍,개암종택,경북 봉화군 바래미길 17-10,역사유적지,외지인,19
봉화읍,충재박물관,경북 봉화군 충재길 60-0,전시시설,외지인,19
봉화읍,수온당,경북 봉화군 거수2길 12-0,역사유적지,외지인,22
봉화읍,봉화유기마을,경북 봉화군,역사유적지,외지인,23
봉화읍,후토스오픈세트장,경북 봉화군,기타문화관광지,외지인,24
봉화읍,송록서원,경북 봉화군 봉화로 1001-28,역사유적지,외지인,24
봉화읍,봉화은어축제,경북 봉화군,기타문화관광지,전체,1
봉화읍,석천계곡,경북 봉화군,자연경관(산),전체,2
봉화읍,봉화체육공원,경북 봉화군,도시공원,전체,3
봉화읍,봉화공용버스터미널,경북 봉화군 봉화로 1153-0,교통시설,전체,4
봉화읍,봉화역,경북 봉화군 봉화로 1072-1,교통시설,전체,5
봉화읍,봉화상설시장,경북 봉화군 신시장길 11-0,시장,전체,6
봉화읍,닭실마을,경북 봉화군,역사유적지,전체,7
봉화읍,청암정,경북 봉화군 충재길 44-0,역사유적지,전체,8
봉화읍,봉화만회고택,경북 봉화군 바래미1길 51-0,역사유적지,전체,9
봉화읍,석천정사,경북 봉화군 충재길 25-36,기타관광,전체,10
봉화읍,남호구택,경북 봉화군 바래미길 21-0,역사유적지,전체,11
봉화읍,문단역,경북 봉화군,교통시설,전체,12
봉화읍,봉화은어송이테마공원,경북 봉화군 범들로 447-0,도시공원,전체,13
봉화읍,봉화삼계쉼터,경북 봉화군,도시공원,전체,14
봉화읍,도암정,경북 봉화군,역사유적지,전체,15
봉화읍,봉화청소년수련관,경북 봉화군 내성로1길 20-1,육상레저스포츠,전체,16
봉화읍,봉화전통문화마을,경북 봉화군,역사유적지,전체,17
봉화읍,수온당,경북 봉화군 거수2길 12-0,역사유적지,전체,18
봉화읍,쌍벽당,경북 봉화군 거수1길 17-0,역사유적지,전체,19
봉화읍,시장애불금야시장,경북 봉화군,시장,전체,20
봉화읍,개암종택,경북 봉화군 바래미길 17-10,역사유적지,전체,20
봉화읍,충재박물관,경북 봉화군 충재길 60-0,전시시설,전체,20
봉화읍,봉화유기마을,경북 봉화군,역사유적지,전체,23
봉화읍,후토스오픈세트장,경북 봉화군,기타문화관광지,전체,24
봉화읍,송록서원,경북 봉화군 봉화로 1001-28,역사유적지,전체,24
