축제명,그룹명,개최년도,구분명,구분값
봉화은어축제,축제기간,2023,외부방문자 유입,0.0
봉화은어축제,축제기간,2023,현지인방문자 유입,0.0
봉화은어축제,축제기간,2023,내비게이션 검색량,0.0
봉화은어축제,축제기간,2023,관광소비,0.0
봉화은어축제,축제기간,2023,축제지 집중률,0.0
봉화은어축제,비축제기간,2023,외부방문자 유입,0.0
봉화은어축제,비축제기간,2023,현지인방문자 유입,0.0
봉화은어축제,비축제기간,2023,내비게이션 검색량,0.0
봉화은어축제,비축제기간,2023,관광소비,0.0
봉화은어축제,비축제기간,2023,축제지 집중률,0.0
봉화은어축제,축제기간,2022,외부방문자 유입,0.5675924350389696
봉화은어축제,축제기간,2022,현지인방문자 유입,0.7956454857413324
봉화은어축제,축제기간,2022,내비게이션 검색량,0.5601717659688674
봉화은어축제,축제기간,2022,관광소비,0.6595601047848468
봉화은어축제,축제기간,2022,축제지 집중률,0.8482920686706394
봉화은어축제,비축제기간,2022,외부방문자 유입,0.19846680097757802
봉화은어축제,비축제기간,2022,현지인방문자 유입,0.7038121721295311
봉화은어축제,비축제기간,2022,내비게이션 검색량,0.06489533011272142
봉화은어축제,비축제기간,2022,관광소비,0.51560816495662
봉화은어축제,비축제기간,2022,축제지 집중률,0.6014255033947629
봉화은어축제,축제기간,2019,외부방문자 유입,0.7418319864500842
봉화은어축제,축제기간,2019,현지인방문자 유입,0.7244128420599009
봉화은어축제,축제기간,2019,내비게이션 검색량,0.5932932072227
봉화은어축제,축제기간,2019,관광소비,0.7177428042698355
봉화은어축제,축제기간,2019,축제지 집중률,0.7658273178189308
봉화은어축제,비축제기간,2019,외부방문자 유입,0.20618251506797483
봉화은어축제,비축제기간,2019,현지인방문자 유입,0.6267417223299576
봉화은어축제,비축제기간,2019,내비게이션 검색량,0.03926626540556033
봉화은어축제,비축제기간,2019,관광소비,0.5093119497351782
봉화은어축제,비축제기간,2019,축제지 집중률,0.5006052313795031
봉화은어축제,축제기간,2018,외부방문자 유입,0.5944125226524289
봉화은어축제,축제기간,2018,현지인방문자 유입,0.827219112355058
봉화은어축제,축제기간,2018,내비게이션 검색량,0.734375
봉화은어축제,축제기간,2018,관광소비,0.6365339696284434
봉화은어축제,축제기간,2018,축제지 집중률,0.6037805824236258
봉화은어축제,비축제기간,2018,외부방문자 유입,0.18199810864397198
봉화은어축제,비축제기간,2018,현지인방문자 유입,0.7500749700119952
봉화은어축제,비축제기간,2018,내비게이션 검색량,0.04602864583333333
봉화은어축제,비축제기간,2018,관광소비,0.40727575389507475
봉화은어축제,비축제기간,2018,축제지 집중률,0.47776659140067507
