읍면동명,목적지명,도로명주소,카테고리,구분,순위
부안읍,부안터미널,전북 부안군 석정로 210-0,교통시설,현지인,1
부안읍,매창공원,전북 부안군 매창로 89-0,도시공원,현지인,2
부안읍,부안상설시장,전북 부안군 부풍로 47-0,시장,현지인,3
부안읍,석정문학관,전북 부안군 선은1길 10-0,전시시설,현지인,4
부안읍,부안마실영화관,전북 부안군 예술회관길 11-0,공연시설,현지인,4
부안읍,부령수산,전북 부안군 번영로 117-0,시장,현지인,6
부안읍,부안프라자,전북 부안군 석정로 209-0,쇼핑몰,현지인,6
부안읍,부안향교,전북 부안군 향교길 25-0,역사유적지,현지인,6
부안읍,부안터미널,전북 부안군 석정로 210-0,교통시설,외지인,1
부안읍,부안상설시장,전북 부안군 부풍로 47-0,시장,외지인,2
부안읍,매창공원,전북 부안군 매창로 89-0,도시공원,외지인,3
부안읍,석정문학관,전북 부안군 선은1길 10-0,전시시설,외지인,4
부안읍,부안마실영화관,전북 부안군 예술회관길 11-0,공연시설,외지인,5
부안읍,부안신시장,전북 부안군 매산길 0-0,시장,외지인,6
부안읍,부안향교,전북 부안군 향교길 25-0,역사유적지,외지인,7
부안읍,서림공원,전북 부안군,도시공원,외지인,8
부안읍,부령수산,전북 부안군 번영로 117-0,시장,외지인,9
부안읍,아이월드,전북 부안군 봉동길 11-0,테마공원,외지인,10
부안읍,성황사,전북 부안군 서림공원길 92-0,종교성지,외지인,10
부안읍,신석정고택,전북 부안군 석정로 63-0,역사유적지,외지인,10
부안읍,석제,전북 부안군,자연경관(하천/해양),외지인,13
부안읍,부안프라자,전북 부안군 석정로 209-0,쇼핑몰,외지인,13
부안읍,부안터미널,전북 부안군 석정로 210-0,교통시설,전체,1
부안읍,부안상설시장,전북 부안군 부풍로 47-0,시장,전체,2
부안읍,매창공원,전북 부안군 매창로 89-0,도시공원,전체,3
부안읍,석정문학관,전북 부안군 선은1길 10-0,전시시설,전체,4
부안읍,부안마실영화관,전북 부안군 예술회관길 11-0,공연시설,전체,5
부안읍,부안신시장,전북 부안군 매산길 0-0,시장,전체,6
부안읍,부안향교,전북 부안군 향교길 25-0,역사유적지,전체,7
부안읍,서림공원,전북 부안군,도시공원,전체,8
부안읍,부령수산,전북 부안군 번영로 117-0,시장,전체,9
부안읍,아이월드,전북 부안군 봉동길 11-0,테마공원,전체,10
부안읍,성황사,전북 부안군 서림공원길 92-0,종교성지,전체,10
부안읍,부안프라자,전북 부안군 석정로 209-0,쇼핑몰,전체,10
부안읍,신석정고택,전북 부안군 석정로 63-0,역사유적지,전체,10
부안읍,석제,전북 부안군,자연경관(하천/해양),전체,14
