축제명,그룹명,개최년도,구분명,구분값
부안마실축제,축제기간,2023,외부방문자 유입,0.49087456678305014
부안마실축제,축제기간,2023,현지인방문자 유입,0.8612270544410036
부안마실축제,축제기간,2023,내비게이션 검색량,0.5270546197039306
부안마실축제,축제기간,2023,관광소비,0.5239237254094875
부안마실축제,축제기간,2023,축제지 집중률,0.8284761883261957
부안마실축제,비축제기간,2023,외부방문자 유입,0.24633779521292595
부안마실축제,비축제기간,2023,현지인방문자 유입,0.8065448139670571
부안마실축제,비축제기간,2023,내비게이션 검색량,0.2447996426748341
부안마실축제,비축제기간,2023,관광소비,0.4645896872843907
부안마실축제,비축제기간,2023,축제지 집중률,0.5444970772061055
부안마실축제,축제기간,2022,외부방문자 유입,0.22626994585373994
부안마실축제,축제기간,2022,현지인방문자 유입,0.7251565318900562
부안마실축제,축제기간,2022,내비게이션 검색량,0.25939758619497183
부안마실축제,축제기간,2022,관광소비,0.6134872701310438
부안마실축제,축제기간,2022,축제지 집중률,0.5424538818337719
부안마실축제,비축제기간,2022,외부방문자 유입,0.22413137254363866
부안마실축제,비축제기간,2022,현지인방문자 유입,0.734644279823887
부안마실축제,비축제기간,2022,내비게이션 검색량,0.22520552936621802
부안마실축제,비축제기간,2022,관광소비,0.5831488182260156
부안마실축제,비축제기간,2022,축제지 집중률,0.5674317999869406
부안마실축제,축제기간,2019,외부방문자 유입,0.7942363368900659
부안마실축제,축제기간,2019,현지인방문자 유입,0.9478609625668449
부안마실축제,축제기간,2019,내비게이션 검색량,0.7330282227307399
부안마실축제,축제기간,2019,관광소비,0.8414204199393425
부안마실축제,축제기간,2019,축제지 집중률,0.802367678644254
부안마실축제,비축제기간,2019,외부방문자 유입,0.240536829684585
부안마실축제,비축제기간,2019,현지인방문자 유입,0.7767101158645277
부안마실축제,비축제기간,2019,내비게이션 검색량,0.17048054919908467
부안마실축제,비축제기간,2019,관광소비,0.49014418614399596
부안마실축제,비축제기간,2019,축제지 집중률,0.4948567208228669
부안마실축제,축제기간,2018,외부방문자 유입,0.6534747386796761
부안마실축제,축제기간,2018,현지인방문자 유입,0.9197171855399703
부안마실축제,축제기간,2018,내비게이션 검색량,0.601145038167939
부안마실축제,축제기간,2018,관광소비,0.8112744532554498
부안마실축제,축제기간,2018,축제지 집중률,0.732333950681901
부안마실축제,비축제기간,2018,외부방문자 유입,0.2347434653913296
부안마실축제,비축제기간,2018,현지인방문자 유입,0.810119454897936
부안마실축제,비축제기간,2018,내비게이션 검색량,0.22272582697201018
부안마실축제,비축제기간,2018,관광소비,0.5606289779739526
부안마실축제,비축제기간,2018,축제지 집중률,0.4726828859516942
