축제명,그룹명,개최년도,구분명,구분값
부천국제만화축제,축제기간,2023,외부방문자 유입,0.6705993574601422
부천국제만화축제,축제기간,2023,현지인방문자 유입,0.8731965734896303
부천국제만화축제,축제기간,2023,내비게이션 검색량,0.6374247674630676
부천국제만화축제,축제기간,2023,관광소비,0.7203971352098165
부천국제만화축제,축제기간,2023,축제지 집중률,0.8296378685568608
부천국제만화축제,비축제기간,2023,외부방문자 유입,0.6496152926242434
부천국제만화축제,비축제기간,2023,현지인방문자 유입,0.8520250976856026
부천국제만화축제,비축제기간,2023,내비게이션 검색량,0.5587155754149188
부천국제만화축제,비축제기간,2023,관광소비,0.693165814060788
부천국제만화축제,비축제기간,2023,축제지 집중률,0.8002464093387224
부천국제만화축제,축제기간,2022,외부방문자 유입,0.7642221883929032
부천국제만화축제,축제기간,2022,현지인방문자 유입,0.8850932857088574
부천국제만화축제,축제기간,2022,내비게이션 검색량,0.7116579791499599
부천국제만화축제,축제기간,2022,관광소비,0.6992667892052808
부천국제만화축제,축제기간,2022,축제지 집중률,0.9112075445773424
부천국제만화축제,비축제기간,2022,외부방문자 유입,0.7386553840193189
부천국제만화축제,비축제기간,2022,현지인방문자 유입,0.8880405251358438
부천국제만화축제,비축제기간,2022,내비게이션 검색량,0.5715028568564555
부천국제만화축제,비축제기간,2022,관광소비,0.6845453049971592
부천국제만화축제,비축제기간,2022,축제지 집중률,0.8636217448385354
부천국제만화축제,축제기간,2019,외부방문자 유입,0.6821513256902239
부천국제만화축제,축제기간,2019,현지인방문자 유입,0.7762684377171982
부천국제만화축제,축제기간,2019,내비게이션 검색량,0.7304831885994211
부천국제만화축제,축제기간,2019,관광소비,0.7076722932970541
부천국제만화축제,축제기간,2019,축제지 집중률,0.8514668401784965
부천국제만화축제,비축제기간,2019,외부방문자 유입,0.6365985128053049
부천국제만화축제,비축제기간,2019,현지인방문자 유입,0.75103482894432
부천국제만화축제,비축제기간,2019,내비게이션 검색량,0.5730015586729014
부천국제만화축제,비축제기간,2019,관광소비,0.6866862310343782
부천국제만화축제,비축제기간,2019,축제지 집중률,0.8144388096356545
부천국제만화축제,축제기간,2018,외부방문자 유입,0.0
부천국제만화축제,축제기간,2018,현지인방문자 유입,0.0
부천국제만화축제,축제기간,2018,내비게이션 검색량,0.6914234663490173
부천국제만화축제,축제기간,2018,관광소비,0.6613827048202807
부천국제만화축제,축제기간,2018,축제지 집중률,0.0
부천국제만화축제,비축제기간,2018,외부방문자 유입,0.0
부천국제만화축제,비축제기간,2018,현지인방문자 유입,0.0
부천국제만화축제,비축제기간,2018,내비게이션 검색량,0.5792435973793925
부천국제만화축제,비축제기간,2018,관광소비,0.6406316006942581
부천국제만화축제,비축제기간,2018,축제지 집중률,0.0
