축제명,그룹명,개최년도,구분명,구분값
부평풍물대축제,축제기간,2023,외부방문자 유입,0.7926226361002706
부평풍물대축제,축제기간,2023,현지인방문자 유입,0.8862062269402551
부평풍물대축제,축제기간,2023,내비게이션 검색량,0.8054020871700429
부평풍물대축제,축제기간,2023,관광소비,0.6151490513265732
부평풍물대축제,축제기간,2023,축제지 집중률,0.912249343096288
부평풍물대축제,비축제기간,2023,외부방문자 유입,0.6198818245944826
부평풍물대축제,비축제기간,2023,현지인방문자 유입,0.6650592271344423
부평풍물대축제,비축제기간,2023,내비게이션 검색량,0.676488643339472
부평풍물대축제,비축제기간,2023,관광소비,0.5781954693572352
부평풍물대축제,비축제기간,2023,축제지 집중률,0.7933462153377115
부평풍물대축제,축제기간,2022,외부방문자 유입,0.806579934539545
부평풍물대축제,축제기간,2022,현지인방문자 유입,0.8469511963178517
부평풍물대축제,축제기간,2022,내비게이션 검색량,0.7959183673469388
부평풍물대축제,축제기간,2022,관광소비,0.7130257629879612
부평풍물대축제,축제기간,2022,축제지 집중률,0.8811968093758263
부평풍물대축제,비축제기간,2022,외부방문자 유입,0.6405546038851259
부평풍물대축제,비축제기간,2022,현지인방문자 유입,0.6468270949826924
부평풍물대축제,비축제기간,2022,내비게이션 검색량,0.704527048914804
부평풍물대축제,비축제기간,2022,관광소비,0.6967383845194454
부평풍물대축제,비축제기간,2022,축제지 집중률,0.7130011631561011
부평풍물대축제,축제기간,2019,외부방문자 유입,0.0
부평풍물대축제,축제기간,2019,현지인방문자 유입,0.0
부평풍물대축제,축제기간,2019,내비게이션 검색량,0.0
부평풍물대축제,축제기간,2019,관광소비,0.0
부평풍물대축제,축제기간,2019,축제지 집중률,0.0
부평풍물대축제,비축제기간,2019,외부방문자 유입,0.0
부평풍물대축제,비축제기간,2019,현지인방문자 유입,0.0
부평풍물대축제,비축제기간,2019,내비게이션 검색량,0.0
부평풍물대축제,비축제기간,2019,관광소비,0.0
부평풍물대축제,비축제기간,2019,축제지 집중률,0.0
부평풍물대축제,축제기간,2018,외부방문자 유입,0.8012970387828368
부평풍물대축제,축제기간,2018,현지인방문자 유입,0.9057213132285318
부평풍물대축제,축제기간,2018,내비게이션 검색량,0.6488240064882401
부평풍물대축제,축제기간,2018,관광소비,0.6676327321321261
부평풍물대축제,축제기간,2018,축제지 집중률,0.9272621851839972
부평풍물대축제,비축제기간,2018,외부방문자 유입,0.6482885598299827
부평풍물대축제,비축제기간,2018,현지인방문자 유입,0.6994733183616726
부평풍물대축제,비축제기간,2018,내비게이션 검색량,0.5819140308191403
부평풍물대축제,비축제기간,2018,관광소비,0.6799456773076286
부평풍물대축제,비축제기간,2018,축제지 집중률,0.7408302115871033
