읍면동명,목적지명,도로명주소,카테고리,구분,순위
금서면,동의보감촌,경남 산청군 동의보감로555번길 45-6,기타관광,현지인,1
금서면,산청한방약초축제,경남 산청군 친환경로2605번길 22-0,기타문화관광지,현지인,2
금서면,산청세계전통의약항노화엑스포,경남 산청군 동의보감로555번길 45-6,기타문화관광지,현지인,3
금서면,산청엑스포기체험관,경남 산청군 동의보감로555번길 150-0,기타관광,현지인,4
금서면,한방테마공원,경남 산청군 동의보감로555번길 61-0,도시공원,현지인,5
금서면,무릉교,경남 산청군 동의보감로555번길 61-0,기타관광,현지인,6
금서면,산청전구형왕릉,경남 산청군 구형왕릉로 92-12,역사유적지,현지인,7
금서면,한방자연휴양림,경남 산청군 동의보감로555번길 186-0,자연공원,현지인,8
금서면,금수암,경남 산청군 새터길 57-98,종교성지,현지인,9
금서면,화림사,경남 산청군 화계오봉로 830-0,종교성지,현지인,10
금서면,산청한의학박물관,경남 산청군 동의보감로555번길 61-0,전시시설,현지인,11
금서면,선림사,경남 산청군 화계오봉로540번길 42-14,종교성지,현지인,11
금서면,동의보감촌,경남 산청군 동의보감로555번길 45-6,기타관광,외지인,1
금서면,산청한방약초축제,경남 산청군 친환경로2605번길 22-0,기타문화관광지,외지인,2
금서면,산청세계전통의약항노화엑스포,경남 산청군 동의보감로555번길 45-6,기타문화관광지,외지인,3
금서면,한방테마공원,경남 산청군 동의보감로555번길 61-0,도시공원,외지인,4
금서면,무릉교,경남 산청군 동의보감로555번길 61-0,기타관광,외지인,5
금서면,산청엑스포기체험관,경남 산청군 동의보감로555번길 150-0,기타관광,외지인,6
금서면,한방자연휴양림,경남 산청군 동의보감로555번길 186-0,자연공원,외지인,7
금서면,산청전구형왕릉,경남 산청군 구형왕릉로 92-12,역사유적지,외지인,8
금서면,금수암,경남 산청군 새터길 57-98,종교성지,외지인,9
금서면,산청한의학박물관,경남 산청군 동의보감로555번길 61-0,전시시설,외지인,10
금서면,귀감석,경남 산청군 동의보감로555번길 150-0,기타관광,외지인,11
금서면,산청치유의숲,경남 산청군,자연공원,외지인,12
금서면,선림사,경남 산청군 화계오봉로540번길 42-14,종교성지,외지인,12
금서면,청호정,경남 산청군,육상레저스포츠,외지인,14
금서면,왕복사,경남 산청군 친환경로2451번길 101-8,종교성지,외지인,14
금서면,화계장,경남 산청군 동의보감로 1065-0,시장,외지인,16
금서면,엑스포주제관,경남 산청군 동의보감로555번길 45-6,전시시설,외지인,16
금서면,화림사,경남 산청군 화계오봉로 830-0,종교성지,외지인,18
금서면,류의태약수터,경남 산청군,자연경관(산),외지인,19
금서면,지리산둘레길6코스,경남 산청군,기타레저스포츠,외지인,19
금서면,한방미로공원,경남 산청군,도시공원,외지인,19
금서면,왕림사,경남 산청군 구형왕릉로 62-11,종교성지,외지인,19
금서면,덕양전,경남 산청군 동의보감로 995-0,역사유적지,외지인,19
금서면,동의보감촌,경남 산청군 동의보감로555번길 45-6,기타관광,전체,1
금서면,산청한방약초축제,경남 산청군 친환경로2605번길 22-0,기타문화관광지,전체,2
금서면,산청세계전통의약항노화엑스포,경남 산청군 동의보감로555번길 45-6,기타문화관광지,전체,3
금서면,한방테마공원,경남 산청군 동의보감로555번길 61-0,도시공원,전체,4
금서면,무릉교,경남 산청군 동의보감로555번길 61-0,기타관광,전체,5
금서면,산청엑스포기체험관,경남 산청군 동의보감로555번길 150-0,기타관광,전체,6
금서면,한방자연휴양림,경남 산청군 동의보감로555번길 186-0,자연공원,전체,7
금서면,산청전구형왕릉,경남 산청군 구형왕릉로 92-12,역사유적지,전체,8
금서면,금수암,경남 산청군 새터길 57-98,종교성지,전체,9
금서면,산청한의학박물관,경남 산청군 동의보감로555번길 61-0,전시시설,전체,10
금서면,귀감석,경남 산청군 동의보감로555번길 150-0,기타관광,전체,11
금서면,선림사,경남 산청군 화계오봉로540번길 42-14,종교성지,전체,12
금서면,산청치유의숲,경남 산청군,자연공원,전체,13
금서면,청호정,경남 산청군,육상레저스포츠,전체,14
금서면,왕복사,경남 산청군 친환경로2451번길 101-8,종교성지,전체,14
금서면,화계장,경남 산청군 동의보감로 1065-0,시장,전체,16
금서면,엑스포주제관,경남 산청군 동의보감로555번길 45-6,전시시설,전체,16
금서면,화림사,경남 산청군 화계오봉로 830-0,종교성지,전체,16
금서면,류의태약수터,경남 산청군,자연경관(산),전체,19
금서면,지리산둘레길6코스,경남 산청군,기타레저스포츠,전체,19
금서면,한방미로공원,경남 산청군,도시공원,전체,19
금서면,왕림사,경남 산청군 구형왕릉로 62-11,종교성지,전체,19
금서면,덕양전,경남 산청군 동의보감로 995-0,역사유적지,전체,19
