축제명,그룹명,개최년도,구분명,구분값
산청한방약초축제,축제기간,2023,외부방문자 유입,0.42377531832162035
산청한방약초축제,축제기간,2023,현지인방문자 유입,0.6741851368970013
산청한방약초축제,축제기간,2023,내비게이션 검색량,0.45196489889355207
산청한방약초축제,축제기간,2023,관광소비,0.7089128086479368
산청한방약초축제,축제기간,2023,축제지 집중률,0.9076902390504865
산청한방약초축제,비축제기간,2023,외부방문자 유입,0.2704550452383229
산청한방약초축제,비축제기간,2023,현지인방문자 유입,0.5747555410691004
산청한방약초축제,비축제기간,2023,내비게이션 검색량,0.2122853872567722
산청한방약초축제,비축제기간,2023,관광소비,0.6133483110575703
산청한방약초축제,비축제기간,2023,축제지 집중률,0.6544095929188943
산청한방약초축제,축제기간,2022,외부방문자 유입,0.4645364580554961
산청한방약초축제,축제기간,2022,현지인방문자 유입,0.8257703510654607
산청한방약초축제,축제기간,2022,내비게이션 검색량,0.41949693564862106
산청한방약초축제,축제기간,2022,관광소비,0.6696071407835829
산청한방약초축제,축제기간,2022,축제지 집중률,0.8797690015203583
산청한방약초축제,비축제기간,2022,외부방문자 유입,0.22213535289667782
산청한방약초축제,비축제기간,2022,현지인방문자 유입,0.5943775869998467
산청한방약초축제,비축제기간,2022,내비게이션 검색량,0.1645173646578141
산청한방약초축제,비축제기간,2022,관광소비,0.5483716891161378
산청한방약초축제,비축제기간,2022,축제지 집중률,0.5311505652844466
산청한방약초축제,축제기간,2019,외부방문자 유입,0.4431033511898282
산청한방약초축제,축제기간,2019,현지인방문자 유입,0.75776453593355
산청한방약초축제,축제기간,2019,내비게이션 검색량,0.369990156096189
산청한방약초축제,축제기간,2019,관광소비,0.4899188723518809
산청한방약초축제,축제기간,2019,축제지 집중률,0.7727834935311152
산청한방약초축제,비축제기간,2019,외부방문자 유입,0.27343711873505444
산청한방약초축제,비축제기간,2019,현지인방문자 유입,0.5970115565185987
산청한방약초축제,비축제기간,2019,내비게이션 검색량,0.1829911404865701
산청한방약초축제,비축제기간,2019,관광소비,0.4609233813126922
산청한방약초축제,비축제기간,2019,축제지 집중률,0.5036441021804242
산청한방약초축제,축제기간,2018,외부방문자 유입,0.4399713896253688
산청한방약초축제,축제기간,2018,현지인방문자 유입,0.611389902676399
산청한방약초축제,축제기간,2018,내비게이션 검색량,0.39588688946015427
산청한방약초축제,축제기간,2018,관광소비,0.4876185360875799
산청한방약초축제,축제기간,2018,축제지 집중률,0.8930729544885448
산청한방약초축제,비축제기간,2018,외부방문자 유입,0.2965841684267289
산청한방약초축제,비축제기간,2018,현지인방문자 유입,0.4594358272506083
산청한방약초축제,비축제기간,2018,내비게이션 검색량,0.20838688946015424
산청한방약초축제,비축제기간,2018,관광소비,0.507987834023852
산청한방약초축제,비축제기간,2018,축제지 집중률,0.5560933640712484
