축제명,그룹명,개최년도,구분명,구분값
서산해미읍성축제,축제기간,2023,외부방문자 유입,0.6052041669404007
서산해미읍성축제,축제기간,2023,현지인방문자 유입,0.8564891846921797
서산해미읍성축제,축제기간,2023,내비게이션 검색량,0.7183411826268968
서산해미읍성축제,축제기간,2023,관광소비,0.7363213276347862
서산해미읍성축제,축제기간,2023,축제지 집중률,0.7991739929710573
서산해미읍성축제,비축제기간,2023,외부방문자 유입,0.4313821705433846
서산해미읍성축제,비축제기간,2023,현지인방문자 유입,0.4769308097615086
서산해미읍성축제,비축제기간,2023,내비게이션 검색량,0.30940934065934067
서산해미읍성축제,비축제기간,2023,관광소비,0.7351784620022439
서산해미읍성축제,비축제기간,2023,축제지 집중률,0.5797148102309431
서산해미읍성축제,축제기간,2022,외부방문자 유입,0.5937930281591357
서산해미읍성축제,축제기간,2022,현지인방문자 유입,0.7694465697526142
서산해미읍성축제,축제기간,2022,내비게이션 검색량,0.6058413719185423
서산해미읍성축제,축제기간,2022,관광소비,0.7337534315594704
서산해미읍성축제,축제기간,2022,축제지 집중률,0.808377283402167
서산해미읍성축제,비축제기간,2022,외부방문자 유입,0.5082008217655913
서산해미읍성축제,비축제기간,2022,현지인방문자 유입,0.5063520147921449
서산해미읍성축제,비축제기간,2022,내비게이션 검색량,0.33298164523043944
서산해미읍성축제,비축제기간,2022,관광소비,0.7248456197361107
서산해미읍성축제,비축제기간,2022,축제지 집중률,0.704322039379302
서산해미읍성축제,축제기간,2019,외부방문자 유입,0.6234824947498633
서산해미읍성축제,축제기간,2019,현지인방문자 유입,0.7463289280469897
서산해미읍성축제,축제기간,2019,내비게이션 검색량,0.5419243986254295
서산해미읍성축제,축제기간,2019,관광소비,0.6958310659975074
서산해미읍성축제,축제기간,2019,축제지 집중률,0.9210418299159947
서산해미읍성축제,비축제기간,2019,외부방문자 유입,0.4559039090144128
서산해미읍성축제,비축제기간,2019,현지인방문자 유입,0.4329876407244249
서산해미읍성축제,비축제기간,2019,내비게이션 검색량,0.2468499427262314
서산해미읍성축제,비축제기간,2019,관광소비,0.6969007367072355
서산해미읍성축제,비축제기간,2019,축제지 집중률,0.6855172535030915
서산해미읍성축제,축제기간,2018,외부방문자 유입,0.6008045622688039
서산해미읍성축제,축제기간,2018,현지인방문자 유입,0.7893002383957369
서산해미읍성축제,축제기간,2018,내비게이션 검색량,0.7002059429243895
서산해미읍성축제,축제기간,2018,관광소비,0.6739317502138823
서산해미읍성축제,축제기간,2018,축제지 집중률,0.8953266858815289
서산해미읍성축제,비축제기간,2018,외부방문자 유입,0.4080162094122482
서산해미읍성축제,비축제기간,2018,현지인방문자 유입,0.4537407095778993
서산해미읍성축제,비축제기간,2018,내비게이션 검색량,0.3145042659605766
서산해미읍성축제,비축제기간,2018,관광소비,0.6840932478570354
서산해미읍성축제,비축제기간,2018,축제지 집중률,0.681710241940196
