읍면동명,목적지명,도로명주소,카테고리,구분,순위
월송동,석장리박물관,충남 공주시 금벽로 990-0,전시시설,현지인,1
월송동,박동진판소리전수관,충남 공주시 무릉중말길 22-14,전시시설,현지인,2
월송동,석장리박물관방문자센터,충남 공주시 금벽로 990-0,기타관광,현지인,3
월송동,공주세종패션아울렛,충남 공주시 장기로 204-1,쇼핑몰,현지인,3
월송동,공주석장리유적,충남 공주시 금벽로 990-0,역사유적지,현지인,5
월송동,석장리박물관,충남 공주시 금벽로 990-0,전시시설,외지인,1
월송동,공주석장리유적,충남 공주시 금벽로 990-0,역사유적지,외지인,2
월송동,공주세종패션아울렛,충남 공주시 장기로 204-1,쇼핑몰,외지인,3
월송동,박동진판소리전수관,충남 공주시 무릉중말길 22-14,전시시설,외지인,4
월송동,석장리계절별꽃단지,충남 공주시,기타관광,외지인,5
월송동,석장리박물관방문자센터,충남 공주시 금벽로 990-0,기타관광,외지인,6
월송동,갑천사,충남 공주시 선유동길 32-45,종교성지,외지인,7
월송동,보림사,충남 공주시 장척로 18-22,종교성지,외지인,8
월송동,석장리박물관,충남 공주시 금벽로 990-0,전시시설,전체,1
월송동,공주석장리유적,충남 공주시 금벽로 990-0,역사유적지,전체,2
월송동,공주세종패션아울렛,충남 공주시 장기로 204-1,쇼핑몰,전체,3
월송동,박동진판소리전수관,충남 공주시 무릉중말길 22-14,전시시설,전체,4
월송동,석장리계절별꽃단지,충남 공주시,기타관광,전체,5
월송동,석장리박물관방문자센터,충남 공주시 금벽로 990-0,기타관광,전체,6
월송동,갑천사,충남 공주시 선유동길 32-45,종교성지,전체,7
월송동,보림사,충남 공주시 장척로 18-22,종교성지,전체,8
