축제명,그룹명,개최년도,구분명,구분값
석장리세계구석기축제,축제기간,2023,외부방문자 유입,0.6132227783412697
석장리세계구석기축제,축제기간,2023,현지인방문자 유입,0.8217097862767154
석장리세계구석기축제,축제기간,2023,내비게이션 검색량,0.8305243445692885
석장리세계구석기축제,축제기간,2023,관광소비,0.12355315487137579
석장리세계구석기축제,축제기간,2023,축제지 집중률,0.6112745373315274
석장리세계구석기축제,비축제기간,2023,외부방문자 유입,0.4743702840472828
석장리세계구석기축제,비축제기간,2023,현지인방문자 유입,0.8841160479940008
석장리세계구석기축제,비축제기간,2023,내비게이션 검색량,0.43703183520599254
석장리세계구석기축제,비축제기간,2023,관광소비,0.163749740719057
석장리세계구석기축제,비축제기간,2023,축제지 집중률,0.5300955841900935
석장리세계구석기축제,축제기간,2022,외부방문자 유입,0.8790229302312226
석장리세계구석기축제,축제기간,2022,현지인방문자 유입,0.8784336167429693
석장리세계구석기축제,축제기간,2022,내비게이션 검색량,0.6542372881355932
석장리세계구석기축제,축제기간,2022,관광소비,0.18126900411479227
석장리세계구석기축제,축제기간,2022,축제지 집중률,0.8644355888225489
석장리세계구석기축제,비축제기간,2022,외부방문자 유입,0.4935171947571123
석장리세계구석기축제,비축제기간,2022,현지인방문자 유입,0.8245891922825376
석장리세계구석기축제,비축제기간,2022,내비게이션 검색량,0.17586864406779662
석장리세계구석기축제,비축제기간,2022,관광소비,0.18716267847415524
석장리세계구석기축제,비축제기간,2022,축제지 집중률,0.688926107877349
석장리세계구석기축제,축제기간,2019,외부방문자 유입,0.7140228614563394
석장리세계구석기축제,축제기간,2019,현지인방문자 유입,0.9582692307692308
석장리세계구석기축제,축제기간,2019,내비게이션 검색량,0.7280600461893765
석장리세계구석기축제,축제기간,2019,관광소비,0.14886854176622005
석장리세계구석기축제,축제기간,2019,축제지 집중률,0.8755856909977946
석장리세계구석기축제,비축제기간,2019,외부방문자 유입,0.28046161000727904
석장리세계구석기축제,비축제기간,2019,현지인방문자 유입,0.7777644230769231
석장리세계구석기축제,비축제기간,2019,내비게이션 검색량,0.1644413972286374
석장리세계구석기축제,비축제기간,2019,관광소비,0.15383857671611847
석장리세계구석기축제,비축제기간,2019,축제지 집중률,0.48759612408860886
석장리세계구석기축제,축제기간,2018,외부방문자 유입,0.6734713430282293
석장리세계구석기축제,축제기간,2018,현지인방문자 유입,0.8355207451312447
석장리세계구석기축제,축제기간,2018,내비게이션 검색량,0.5493039443155452
석장리세계구석기축제,축제기간,2018,관광소비,0.22355523460150056
석장리세계구석기축제,축제기간,2018,축제지 집중률,0.6767639505424986
석장리세계구석기축제,비축제기간,2018,외부방문자 유입,0.34572775876817796
석장리세계구석기축제,비축제기간,2018,현지인방문자 유입,0.6923290643522438
석장리세계구석기축제,비축제기간,2018,내비게이션 검색량,0.12336861948955917
석장리세계구석기축제,비축제기간,2018,관광소비,0.2529512453940635
석장리세계구석기축제,비축제기간,2018,축제지 집중률,0.4827536847157205
