읍면동명,목적지명,도로명주소,카테고리,구분,순위
나성동,세종호수공원,세종시,도시공원,외지인,1
나성동,국립세종수목원,세종시   수목원로 136-0,테마공원,외지인,2
나성동,세종중앙공원,세종시   모롱지로 94-0,도시공원,외지인,3
나성동,이응다리,세종시,기타관광,외지인,4
나성동,메가박스세종나성,세종시   나성로 38-0,공연시설,외지인,5
나성동,세종예술의전당,세종시   국립박물관로 21-0,공연시설,외지인,6
나성동,세종축제,세종시   호수공원길 155-0,기타문화관광지,외지인,7
나성동,어반아트리움더센트럴,세종시   나성로 96-0,쇼핑몰,외지인,8
나성동,잭슨나인스세종점,세종시   나성북로 30-0,테마공원,외지인,9
나성동,세종시국립어린이박물관건축중(2023년12월준공예정),세종시,전시시설,외지인,10
나성동,세종시무궁화공원,세종시,도시공원,외지인,11
나성동,세종공룡월드,세종시   국세청로 32-0,테마공원,외지인,12
나성동,세종중앙공원야외수영장,세종시   중앙공원로 60-0,테마공원,외지인,13
나성동,나성동복합커뮤니티센터,세종시   갈매로 280-0,기타문화관광지,외지인,14
나성동,세종지혜의숲,세종시   국세청로 32-0,기타문화관광지,외지인,15
나성동,세종중앙공원도시축제마당,세종시,도시공원,외지인,16
나성동,국립세종수목원연구동,세종시   수목원로 136-0,기타관광,외지인,17
나성동,물놀이섬세종호수공원,세종시   모롱지로 94-0,기타레저스포츠,외지인,18
나성동,BRT작은미술관,세종시   나성남로 7-7,전시시설,외지인,19
나성동,행복도시세종홍보관,세종시   어울누리로 115-0,전시시설,외지인,19
나성동,세종전통문화체험관,세종시   모롱지로 94-0,전시시설,외지인,21
나성동,대한불교조계종 광제사,세종시,종교성지,외지인,22
나성동,평화의 소녀상,세종시   다솜로 216-0,역사유물,외지인,22
나성동,푸른들판세종호수공원,세종시   모롱지로 94-0,도시공원,외지인,22
나성동,신영롤러스케이트장,세종시   나성남로 7-16,육상레저스포츠,외지인,25
나성동,원수산mtb공원,세종시   모롱지로 94-0,도시공원,외지인,25
나성동,이응다리물놀이시설,세종시,테마공원,외지인,27
나성동,송담만리전시관,세종시   다솜로 216-0,전시시설,외지인,27
나성동,독락정역사공원,세종시,도시공원,외지인,29
나성동,참샘약수터,세종시   모롱지로 94-0,자연경관(산),외지인,30
나성동,금강스포츠공원,세종시,도시공원,외지인,31
나성동,바디피티,세종시   한누리대로 292-0,기타레저스포츠,외지인,31
나성동,조세박물관,세종시   국세청로 8-14,전시시설,외지인,33
나성동,세종JOY탁구클럽나성점,세종시   나성로 125-10,기타레저스포츠,외지인,33
나성동,세종가로수길,세종시   나성로 38-0,쇼핑몰,외지인,35
나성동,세종리은행나무역사공원,세종시,도시공원,외지인,36
나성동,SJ야구장,세종시,레저스포츠시설,외지인,36
나성동,LH분양홍보관,세종시,전시시설,외지인,38
나성동,세종호수공원,세종시,도시공원,전체,1
나성동,국립세종수목원,세종시   수목원로 136-0,테마공원,전체,2
나성동,세종중앙공원,세종시   모롱지로 94-0,도시공원,전체,3
나성동,이응다리,세종시,기타관광,전체,4
나성동,메가박스세종나성,세종시   나성로 38-0,공연시설,전체,5
나성동,세종예술의전당,세종시   국립박물관로 21-0,공연시설,전체,6
나성동,세종축제,세종시   호수공원길 155-0,기타문화관광지,전체,7
나성동,어반아트리움더센트럴,세종시   나성로 96-0,쇼핑몰,전체,8
나성동,잭슨나인스세종점,세종시   나성북로 30-0,테마공원,전체,9
나성동,세종시국립어린이박물관건축중(2023년12월준공예정),세종시,전시시설,전체,10
나성동,세종시무궁화공원,세종시,도시공원,전체,11
나성동,세종공룡월드,세종시   국세청로 32-0,테마공원,전체,12
나성동,세종중앙공원야외수영장,세종시   중앙공원로 60-0,테마공원,전체,13
나성동,나성동복합커뮤니티센터,세종시   갈매로 280-0,기타문화관광지,전체,14
나성동,세종지혜의숲,세종시   국세청로 32-0,기타문화관광지,전체,15
나성동,세종중앙공원도시축제마당,세종시,도시공원,전체,16
나성동,국립세종수목원연구동,세종시   수목원로 136-0,기타관광,전체,17
나성동,물놀이섬세종호수공원,세종시   모롱지로 94-0,기타레저스포츠,전체,18
나성동,BRT작은미술관,세종시   나성남로 7-7,전시시설,전체,19
나성동,행복도시세종홍보관,세종시   어울누리로 115-0,전시시설,전체,19
나성동,세종전통문화체험관,세종시   모롱지로 94-0,전시시설,전체,21
나성동,대한불교조계종 광제사,세종시,종교성지,전체,22
나성동,평화의 소녀상,세종시   다솜로 216-0,역사유물,전체,22
나성동,푸른들판세종호수공원,세종시   모롱지로 94-0,도시공원,전체,22
나성동,신영롤러스케이트장,세종시   나성남로 7-16,육상레저스포츠,전체,25
나성동,원수산mtb공원,세종시   모롱지로 94-0,도시공원,전체,25
나성동,이응다리물놀이시설,세종시,테마공원,전체,27
나성동,송담만리전시관,세종시   다솜로 216-0,전시시설,전체,27
나성동,독락정역사공원,세종시,도시공원,전체,29
나성동,참샘약수터,세종시   모롱지로 94-0,자연경관(산),전체,30
나성동,금강스포츠공원,세종시,도시공원,전체,31
나성동,바디피티,세종시   한누리대로 292-0,기타레저스포츠,전체,31
나성동,조세박물관,세종시   국세청로 8-14,전시시설,전체,33
나성동,세종JOY탁구클럽나성점,세종시   나성로 125-10,기타레저스포츠,전체,33
나성동,세종가로수길,세종시   나성로 38-0,쇼핑몰,전체,35
나성동,세종리은행나무역사공원,세종시,도시공원,전체,36
나성동,SJ야구장,세종시,레저스포츠시설,전체,36
나성동,LH분양홍보관,세종시,전시시설,전체,38
