축제명,그룹명,개최년도,구분명,구분값
세종축제,축제기간,2023,외부방문자 유입,0.5177742467262562
세종축제,축제기간,2023,현지인방문자 유입,0.8383886255924171
세종축제,축제기간,2023,내비게이션 검색량,0.6723293172690763
세종축제,축제기간,2023,관광소비,0.6828684512679577
세종축제,축제기간,2023,축제지 집중률,0.6852814555350131
세종축제,비축제기간,2023,외부방문자 유입,0.3767470555598427
세종축제,비축제기간,2023,현지인방문자 유입,0.6558234597156398
세종축제,비축제기간,2023,내비게이션 검색량,0.3726706827309237
세종축제,비축제기간,2023,관광소비,0.7048166071797206
세종축제,비축제기간,2023,축제지 집중률,0.4940078116919741
세종축제,축제기간,2022,외부방문자 유입,0.6818332473810518
세종축제,축제기간,2022,현지인방문자 유입,0.8321202107707422
세종축제,축제기간,2022,내비게이션 검색량,0.6804123711340206
세종축제,축제기간,2022,관광소비,0.580758089340936
세종축제,축제기간,2022,축제지 집중률,0.8205392946655571
세종축제,비축제기간,2022,외부방문자 유입,0.45585784954770525
세종축제,비축제기간,2022,현지인방문자 유입,0.6917477895864964
세종축제,비축제기간,2022,내비게이션 검색량,0.5854810996563574
세종축제,비축제기간,2022,관광소비,0.5926447116403148
세종축제,비축제기간,2022,축제지 집중률,0.5553635560501908
세종축제,축제기간,2019,외부방문자 유입,0.682577085165085
세종축제,축제기간,2019,현지인방문자 유입,0.9102789001675372
세종축제,축제기간,2019,내비게이션 검색량,0.6358565737051792
세종축제,축제기간,2019,관광소비,0.6128037625164673
세종축제,축제기간,2019,축제지 집중률,0.7562958407668536
세종축제,비축제기간,2019,외부방문자 유입,0.6408998575023496
세종축제,비축제기간,2019,현지인방문자 유입,0.8842096186064847
세종축제,비축제기간,2019,내비게이션 검색량,0.6157370517928288
세종축제,비축제기간,2019,관광소비,0.6645117935952439
세종축제,비축제기간,2019,축제지 집중률,0.7253954303219265
세종축제,축제기간,2018,외부방문자 유입,0.5784332373814868
세종축제,축제기간,2018,현지인방문자 유입,0.7608401084010841
세종축제,축제기간,2018,내비게이션 검색량,0.7285714285714285
세종축제,축제기간,2018,관광소비,0.548624623274918
세종축제,축제기간,2018,축제지 집중률,0.6505589394712576
세종축제,비축제기간,2018,외부방문자 유입,0.558555723929207
세종축제,비축제기간,2018,현지인방문자 유입,0.7673399390243902
세종축제,비축제기간,2018,내비게이션 검색량,0.5214285714285715
세종축제,비축제기간,2018,관광소비,0.5582179222459994
세종축제,비축제기간,2018,축제지 집중률,0.6398958824076364
