축제명,그룹명,개최년도,구분명,구분값
소래포구축제,축제기간,2023,외부방문자 유입,0.8871245235765812
소래포구축제,축제기간,2023,현지인방문자 유입,0.7709195503507382
소래포구축제,축제기간,2023,내비게이션 검색량,0.783822996010156
소래포구축제,축제기간,2023,관광소비,0.7096089545271407
소래포구축제,축제기간,2023,축제지 집중률,0.7227215897888791
소래포구축제,비축제기간,2023,외부방문자 유입,0.7401272645392378
소래포구축제,비축제기간,2023,현지인방문자 유입,0.6818995626779373
소래포구축제,비축제기간,2023,내비게이션 검색량,0.676278563656148
소래포구축제,비축제기간,2023,관광소비,0.654719361454334
소래포구축제,비축제기간,2023,축제지 집중률,0.6292325428952409
소래포구축제,축제기간,2022,외부방문자 유입,0.774558691298189
소래포구축제,축제기간,2022,현지인방문자 유입,0.6988962849177902
소래포구축제,축제기간,2022,내비게이션 검색량,0.6514399205561072
소래포구축제,축제기간,2022,관광소비,0.7232069891349853
소래포구축제,축제기간,2022,축제지 집중률,0.6179828554078693
소래포구축제,비축제기간,2022,외부방문자 유입,0.7387422426842245
소래포구축제,비축제기간,2022,현지인방문자 유입,0.7185099846390169
소래포구축제,비축제기간,2022,내비게이션 검색량,0.5449768288646143
소래포구축제,비축제기간,2022,관광소비,0.7000296662916592
소래포구축제,비축제기간,2022,축제지 집중률,0.59437483350333
소래포구축제,축제기간,2019,외부방문자 유입,0.0
소래포구축제,축제기간,2019,현지인방문자 유입,0.0
소래포구축제,축제기간,2019,내비게이션 검색량,0.0
소래포구축제,축제기간,2019,관광소비,0.0
소래포구축제,축제기간,2019,축제지 집중률,0.0
소래포구축제,비축제기간,2019,외부방문자 유입,0.0
소래포구축제,비축제기간,2019,현지인방문자 유입,0.0
소래포구축제,비축제기간,2019,내비게이션 검색량,0.0
소래포구축제,비축제기간,2019,관광소비,0.0
소래포구축제,비축제기간,2019,축제지 집중률,0.0
소래포구축제,축제기간,2018,외부방문자 유입,0.8075505931240705
소래포구축제,축제기간,2018,현지인방문자 유입,0.9022904483430799
소래포구축제,축제기간,2018,내비게이션 검색량,0.5659472422062349
소래포구축제,축제기간,2018,관광소비,0.5810953582244313
소래포구축제,축제기간,2018,축제지 집중률,0.8300431309861815
소래포구축제,비축제기간,2018,외부방문자 유입,0.7074752055782126
소래포구축제,비축제기간,2018,현지인방문자 유입,0.8221421609579505
소래포구축제,비축제기간,2018,내비게이션 검색량,0.3378297362110312
소래포구축제,비축제기간,2018,관광소비,0.5541532298761946
소래포구축제,비축제기간,2018,축제지 집중률,0.7312774324686214
