축제명,그룹명,개최년도,구분명,구분값
수성못페스티벌,축제기간,2023,외부방문자 유입,0.8003616690789219
수성못페스티벌,축제기간,2023,현지인방문자 유입,0.9208048458678182
수성못페스티벌,축제기간,2023,내비게이션 검색량,0.7424756732292374
수성못페스티벌,축제기간,2023,관광소비,0.7297949174630793
수성못페스티벌,축제기간,2023,축제지 집중률,0.8706449826912436
수성못페스티벌,비축제기간,2023,외부방문자 유입,0.6775875310924014
수성못페스티벌,비축제기간,2023,현지인방문자 유입,0.7718416396785414
수성못페스티벌,비축제기간,2023,내비게이션 검색량,0.6650825978728219
수성못페스티벌,비축제기간,2023,관광소비,0.6715837893406383
수성못페스티벌,비축제기간,2023,축제지 집중률,0.7275758022169814
수성못페스티벌,축제기간,2022,외부방문자 유입,0.7967102262647657
수성못페스티벌,축제기간,2022,현지인방문자 유입,0.8913083209315683
수성못페스티벌,축제기간,2022,내비게이션 검색량,0.7104046653865301
수성못페스티벌,축제기간,2022,관광소비,0.7804577672626043
수성못페스티벌,축제기간,2022,축제지 집중률,0.8794192794551658
수성못페스티벌,비축제기간,2022,외부방문자 유입,0.5676801152337834
수성못페스티벌,비축제기간,2022,현지인방문자 유입,0.696332993916608
수성못페스티벌,비축제기간,2022,내비게이션 검색량,0.6042244506080648
수성못페스티벌,비축제기간,2022,관광소비,0.7563518009760599
수성못페스티벌,비축제기간,2022,축제지 집중률,0.6861112634902974
수성못페스티벌,축제기간,2019,외부방문자 유입,0.8027815191426505
수성못페스티벌,축제기간,2019,현지인방문자 유입,0.9113604488078542
수성못페스티벌,축제기간,2019,내비게이션 검색량,0.7459546925566344
수성못페스티벌,축제기간,2019,관광소비,0.7401553940399079
수성못페스티벌,축제기간,2019,축제지 집중률,0.8912603521384883
수성못페스티벌,비축제기간,2019,외부방문자 유입,0.6208634498925573
수성못페스티벌,비축제기간,2019,현지인방문자 유입,0.7368045815801777
수성못페스티벌,비축제기간,2019,내비게이션 검색량,0.6292008961911875
수성못페스티벌,비축제기간,2019,관광소비,0.6803329327106267
수성못페스티벌,비축제기간,2019,축제지 집중률,0.7630661327975182
수성못페스티벌,축제기간,2018,외부방문자 유입,0.7823569743289842
수성못페스티벌,축제기간,2018,현지인방문자 유입,0.886358368103848
수성못페스티벌,축제기간,2018,내비게이션 검색량,0.7280557082646142
수성못페스티벌,축제기간,2018,관광소비,0.5981318362761934
수성못페스티벌,축제기간,2018,축제지 집중률,0.8950475351705623
수성못페스티벌,비축제기간,2018,외부방문자 유입,0.6011006305161761
수성못페스티벌,비축제기간,2018,현지인방문자 유입,0.7044252723690311
수성못페스티벌,비축제기간,2018,내비게이션 검색량,0.5487905442550852
수성못페스티벌,비축제기간,2018,관광소비,0.6149627387571871
수성못페스티벌,비축제기간,2018,축제지 집중률,0.7628564595870758
