축제명,그룹명,개최년도,구분명,구분값
수원화성문화제,축제기간,2023,외부방문자 유입,0.9103287288526151
수원화성문화제,축제기간,2023,현지인방문자 유입,0.9140395124001681
수원화성문화제,축제기간,2023,내비게이션 검색량,0.7986218534664604
수원화성문화제,축제기간,2023,관광소비,0.7480730708490286
수원화성문화제,축제기간,2023,축제지 집중률,0.8649811307281167
수원화성문화제,비축제기간,2023,외부방문자 유입,0.5835072244976494
수원화성문화제,비축제기간,2023,현지인방문자 유입,0.6894835014712064
수원화성문화제,비축제기간,2023,내비게이션 검색량,0.4502707073548024
수원화성문화제,비축제기간,2023,관광소비,0.6919422901891085
수원화성문화제,비축제기간,2023,축제지 집중률,0.6365834147981679
수원화성문화제,축제기간,2022,외부방문자 유입,0.6487624345400228
수원화성문화제,축제기간,2022,현지인방문자 유입,0.8492318685244731
수원화성문화제,축제기간,2022,내비게이션 검색량,0.5845046611602183
수원화성문화제,축제기간,2022,관광소비,0.7929109753022473
수원화성문화제,축제기간,2022,축제지 집중률,0.7457061198698263
수원화성문화제,비축제기간,2022,외부방문자 유입,0.5842682734531383
수원화성문화제,비축제기간,2022,현지인방문자 유입,0.8099767774205073
수원화성문화제,비축제기간,2022,내비게이션 검색량,0.49870187895474083
수원화성문화제,비축제기간,2022,관광소비,0.779769844547812
수원화성문화제,비축제기간,2022,축제지 집중률,0.6797375714590387
수원화성문화제,축제기간,2019,외부방문자 유입,0.7785867754830115
수원화성문화제,축제기간,2019,현지인방문자 유입,0.9011488511488511
수원화성문화제,축제기간,2019,내비게이션 검색량,0.814858165794547
수원화성문화제,축제기간,2019,관광소비,0.7195649999574353
수원화성문화제,축제기간,2019,축제지 집중률,0.882242973386672
수원화성문화제,비축제기간,2019,외부방문자 유입,0.5375084318787475
수원화성문화제,비축제기간,2019,현지인방문자 유입,0.7364822677322678
수원화성문화제,비축제기간,2019,내비게이션 검색량,0.46318163040484717
수원화성문화제,비축제기간,2019,관광소비,0.6645967260733981
수원화성문화제,비축제기간,2019,축제지 집중률,0.6682892078907334
수원화성문화제,축제기간,2018,외부방문자 유입,0.6113914822199141
수원화성문화제,축제기간,2018,현지인방문자 유입,0.7879651357693597
수원화성문화제,축제기간,2018,내비게이션 검색량,0.5717906336088154
수원화성문화제,축제기간,2018,관광소비,0.7208090809288435
수원화성문화제,축제기간,2018,축제지 집중률,0.6943846979657929
수원화성문화제,비축제기간,2018,외부방문자 유입,0.5478121043166082
수원화성문화제,비축제기간,2018,현지인방문자 유입,0.7380643088613253
수원화성문화제,비축제기간,2018,내비게이션 검색량,0.42006887052341596
수원화성문화제,비축제기간,2018,관광소비,0.7346967735857162
수원화성문화제,비축제기간,2018,축제지 집중률,0.6045962848844146
