축제명,그룹명,개최년도,구분명,구분값
시흥갯골축제,축제기간,2023,외부방문자 유입,0.665351927700168
시흥갯골축제,축제기간,2023,현지인방문자 유입,0.8918904851134707
시흥갯골축제,축제기간,2023,내비게이션 검색량,0.7289939192924267
시흥갯골축제,축제기간,2023,관광소비,0.7765022627155864
시흥갯골축제,축제기간,2023,축제지 집중률,0.7916509053481516
시흥갯골축제,비축제기간,2023,외부방문자 유입,0.5183468544153397
시흥갯골축제,비축제기간,2023,현지인방문자 유입,0.6777079429523215
시흥갯골축제,비축제기간,2023,내비게이션 검색량,0.4976160862354892
시흥갯골축제,비축제기간,2023,관광소비,0.7376418103841053
시흥갯골축제,비축제기간,2023,축제지 집중률,0.6148372645481787
시흥갯골축제,축제기간,2022,외부방문자 유입,0.8003041756879629
시흥갯골축제,축제기간,2022,현지인방문자 유입,0.9326481671805412
시흥갯골축제,축제기간,2022,내비게이션 검색량,0.6972996515679443
시흥갯골축제,축제기간,2022,관광소비,0.7800679131839011
시흥갯골축제,축제기간,2022,축제지 집중률,0.8918283133804258
시흥갯골축제,비축제기간,2022,외부방문자 유입,0.6226929011401832
시흥갯골축제,비축제기간,2022,현지인방문자 유입,0.795083932853717
시흥갯골축제,비축제기간,2022,내비게이션 검색량,0.49691492450638797
시흥갯골축제,비축제기간,2022,관광소비,0.7764377300685018
시흥갯골축제,비축제기간,2022,축제지 집중률,0.7185416642137268
시흥갯골축제,축제기간,2019,외부방문자 유입,0.6545261331100942
시흥갯골축제,축제기간,2019,현지인방문자 유입,0.8869455006337136
시흥갯골축제,축제기간,2019,내비게이션 검색량,0.5419331911869225
시흥갯골축제,축제기간,2019,관광소비,0.7642058407172871
시흥갯골축제,축제기간,2019,축제지 집중률,0.8169734525876352
시흥갯골축제,비축제기간,2019,외부방문자 유입,0.5586126688149601
시흥갯골축제,비축제기간,2019,현지인방문자 유입,0.7492395437262357
시흥갯골축제,비축제기간,2019,내비게이션 검색량,0.39425639658848616
시흥갯골축제,비축제기간,2019,관광소비,0.7597567898515551
시흥갯골축제,비축제기간,2019,축제지 집중률,0.7028888001399742
시흥갯골축제,축제기간,2018,외부방문자 유입,0.5592572034874281
시흥갯골축제,축제기간,2018,현지인방문자 유입,0.8631913852178169
시흥갯골축제,축제기간,2018,내비게이션 검색량,0.3570487483530962
시흥갯골축제,축제기간,2018,관광소비,0.7062310576419505
시흥갯골축제,축제기간,2018,축제지 집중률,0.8255839085496768
시흥갯골축제,비축제기간,2018,외부방문자 유입,0.44330097380653005
시흥갯골축제,비축제기간,2018,현지인방문자 유입,0.7532427802251591
시흥갯골축제,비축제기간,2018,내비게이션 검색량,0.319631093544137
시흥갯골축제,비축제기간,2018,관광소비,0.6616529612389227
시흥갯골축제,비축제기간,2018,축제지 집중률,0.7222209785442888
