축제명,그룹명,개최년도,구분명,구분값
안동탈춤축제,축제기간,2023,외부방문자 유입,0.5126142906061683
안동탈춤축제,축제기간,2023,현지인방문자 유입,0.9234580888052264
안동탈춤축제,축제기간,2023,내비게이션 검색량,0.45828295042321643
안동탈춤축제,축제기간,2023,관광소비,0.6028180224459343
안동탈춤축제,축제기간,2023,축제지 집중률,0.8656936499102061
안동탈춤축제,비축제기간,2023,외부방문자 유입,0.25820450137772794
안동탈춤축제,비축제기간,2023,현지인방문자 유입,0.7005488041191452
안동탈춤축제,비축제기간,2023,내비게이션 검색량,0.1641853083434099
안동탈춤축제,비축제기간,2023,관광소비,0.6024764362927278
안동탈춤축제,비축제기간,2023,축제지 집중률,0.5549564827803496
안동탈춤축제,축제기간,2022,외부방문자 유입,0.6385270488176248
안동탈춤축제,축제기간,2022,현지인방문자 유입,0.9126895757343061
안동탈춤축제,축제기간,2022,내비게이션 검색량,0.48326279338207
안동탈춤축제,축제기간,2022,관광소비,0.6283744208026488
안동탈춤축제,축제기간,2022,축제지 집중률,0.8589924348186987
안동탈춤축제,비축제기간,2022,외부방문자 유입,0.37290752637173397
안동탈춤축제,비축제기간,2022,현지인방문자 유입,0.6046434056440776
안동탈춤축제,비축제기간,2022,내비게이션 검색량,0.27175836860330893
안동탈춤축제,비축제기간,2022,관광소비,0.6246281497492546
안동탈춤축제,비축제기간,2022,축제지 집중률,0.5608806389429823
안동탈춤축제,축제기간,2019,외부방문자 유입,0.6149645683957624
안동탈춤축제,축제기간,2019,현지인방문자 유입,0.8780658571272291
안동탈춤축제,축제기간,2019,내비게이션 검색량,0.41887810140237325
안동탈춤축제,축제기간,2019,관광소비,0.6137996743088856
안동탈춤축제,축제기간,2019,축제지 집중률,0.8473162634226372
안동탈춤축제,비축제기간,2019,외부방문자 유입,0.4427406021489175
안동탈춤축제,비축제기간,2019,현지인방문자 유입,0.7145908543922984
안동탈춤축제,비축제기간,2019,내비게이션 검색량,0.24911003236245957
안동탈춤축제,비축제기간,2019,관광소비,0.6392689317589981
안동탈춤축제,비축제기간,2019,축제지 집중률,0.5984105174176406
안동탈춤축제,축제기간,2018,외부방문자 유입,0.46647738772986724
안동탈춤축제,축제기간,2018,현지인방문자 유입,0.7416712783619258
안동탈춤축제,축제기간,2018,내비게이션 검색량,0.36882661996497373
안동탈춤축제,축제기간,2018,관광소비,0.5352443947190293
안동탈춤축제,축제기간,2018,축제지 집중률,0.8304625498143174
안동탈춤축제,비축제기간,2018,외부방문자 유입,0.37397776493837703
안동탈춤축제,비축제기간,2018,현지인방문자 유입,0.6257932115845785
안동탈춤축제,비축제기간,2018,내비게이션 검색량,0.23697460595446584
안동탈춤축제,비축제기간,2018,관광소비,0.5926427760224867
안동탈춤축제,비축제기간,2018,축제지 집중률,0.5946595443249009
