읍면동명,목적지명,도로명주소,카테고리,구분,순위
하동읍,하동송림공원,경남 하동군 섬진강대로 2107-3,도시공원,현지인,1
하동읍,하동역,경남 하동군 너뱅이길 30-0,교통시설,현지인,2
하동읍,하동버스터미널,경남 하동군 너뱅이길 35-0,교통시설,현지인,3
하동읍,하동공설시장,경남 하동군,시장,현지인,4
하동읍,하동포구공원,경남 하동군,도시공원,현지인,4
하동읍,하동섬진강문화재첩축제,경남 하동군 섬진강대로 2107-3,기타문화관광지,현지인,6
하동읍,씨네큐하동영화관,경남 하동군 시장1길 17-0,공연시설,현지인,6
하동읍,하동역폐역,경남 하동군 경서대로 236-0,교통시설,현지인,8
하동읍,하동송림공원,경남 하동군 섬진강대로 2107-3,도시공원,외지인,1
하동읍,하동섬진강문화재첩축제,경남 하동군 섬진강대로 2107-3,기타문화관광지,외지인,2
하동읍,하동버스터미널,경남 하동군 너뱅이길 35-0,교통시설,외지인,3
하동읍,하동공설시장,경남 하동군,시장,외지인,4
하동읍,하동역,경남 하동군 너뱅이길 30-0,교통시설,외지인,5
하동읍,하동포구공원,경남 하동군,도시공원,외지인,6
하동읍,섬진강두꺼비야시장,경남 하동군,시장,외지인,7
하동읍,하동역폐역,경남 하동군 경서대로 240-0,교통시설,외지인,8
하동읍,하동아트갤러리,경남 하동군 섬진강대로 2222-0,전시시설,외지인,9
하동읍,씨네큐하동영화관,경남 하동군 시장1길 17-0,공연시설,외지인,10
하동읍,와룡사,경남 하동군 매화골먹점길 89-7,종교성지,외지인,11
하동읍,꿈그린터키즈카페,경남 하동군 청년회관길 8-21,테마공원,외지인,11
하동읍,하동공원,경남 하동군,도시공원,외지인,13
하동읍,하동송림공원,경남 하동군 섬진강대로 2107-3,도시공원,전체,1
하동읍,하동섬진강문화재첩축제,경남 하동군 섬진강대로 2107-3,기타문화관광지,전체,2
하동읍,하동버스터미널,경남 하동군 너뱅이길 35-0,교통시설,전체,3
하동읍,하동역,경남 하동군 너뱅이길 30-0,교통시설,전체,4
하동읍,하동공설시장,경남 하동군,시장,전체,5
하동읍,하동포구공원,경남 하동군,도시공원,전체,6
하동읍,섬진강두꺼비야시장,경남 하동군,시장,전체,7
하동읍,하동역폐역,경남 하동군 경서대로 240-0,교통시설,전체,8
하동읍,하동아트갤러리,경남 하동군 섬진강대로 2222-0,전시시설,전체,9
하동읍,씨네큐하동영화관,경남 하동군 시장1길 17-0,공연시설,전체,10
하동읍,와룡사,경남 하동군 매화골먹점길 89-7,종교성지,전체,11
하동읍,꿈그린터키즈카페,경남 하동군 청년회관길 8-21,테마공원,전체,11
하동읍,하동공원,경남 하동군,도시공원,전체,13
