축제명,그룹명,개최년도,구분명,구분값
알프스하동섬진강문화재첩축제,축제기간,2023,외부방문자 유입,0.14866741159078234
알프스하동섬진강문화재첩축제,축제기간,2023,현지인방문자 유입,0.7357089829250186
알프스하동섬진강문화재첩축제,축제기간,2023,내비게이션 검색량,0.5468409586056645
알프스하동섬진강문화재첩축제,축제기간,2023,관광소비,0.6075126012272186
알프스하동섬진강문화재첩축제,축제기간,2023,축제지 집중률,0.33351547149501426
알프스하동섬진강문화재첩축제,비축제기간,2023,외부방문자 유입,0.09464018301161878
알프스하동섬진강문화재첩축제,비축제기간,2023,현지인방문자 유입,0.7216433343938912
알프스하동섬진강문화재첩축제,비축제기간,2023,내비게이션 검색량,0.251797385620915
알프스하동섬진강문화재첩축제,비축제기간,2023,관광소비,0.47345552036053634
알프스하동섬진강문화재첩축제,비축제기간,2023,축제지 집중률,0.31063992183902256
알프스하동섬진강문화재첩축제,축제기간,2022,외부방문자 유입,0.28968131400766195
알프스하동섬진강문화재첩축제,축제기간,2022,현지인방문자 유입,0.7702540617162796
알프스하동섬진강문화재첩축제,축제기간,2022,내비게이션 검색량,0.5619047619047619
알프스하동섬진강문화재첩축제,축제기간,2022,관광소비,0.6029842930861895
알프스하동섬진강문화재첩축제,축제기간,2022,축제지 집중률,0.38997153623044084
알프스하동섬진강문화재첩축제,비축제기간,2022,외부방문자 유입,0.20049440772681873
알프스하동섬진강문화재첩축제,비축제기간,2022,현지인방문자 유입,0.7397639297786501
알프스하동섬진강문화재첩축제,비축제기간,2022,내비게이션 검색량,0.2512755102040816
알프스하동섬진강문화재첩축제,비축제기간,2022,관광소비,0.5121238929601694
알프스하동섬진강문화재첩축제,비축제기간,2022,축제지 집중률,0.34805676912261474
알프스하동섬진강문화재첩축제,축제기간,2019,외부방문자 유입,0.20764852067307774
알프스하동섬진강문화재첩축제,축제기간,2019,현지인방문자 유입,0.774115296803653
알프스하동섬진강문화재첩축제,축제기간,2019,내비게이션 검색량,0.7775551102204409
알프스하동섬진강문화재첩축제,축제기간,2019,관광소비,0.5944006748777882
알프스하동섬진강문화재첩축제,축제기간,2019,축제지 집중률,0.41745186198704864
알프스하동섬진강문화재첩축제,비축제기간,2019,외부방문자 유입,0.11769896367347407
알프스하동섬진강문화재첩축제,비축제기간,2019,현지인방문자 유입,0.6597995148401826
알프스하동섬진강문화재첩축제,비축제기간,2019,내비게이션 검색량,0.2555945223780895
알프스하동섬진강문화재첩축제,비축제기간,2019,관광소비,0.5095372477379686
알프스하동섬진강문화재첩축제,비축제기간,2019,축제지 집중률,0.2772016449739546
알프스하동섬진강문화재첩축제,축제기간,2018,외부방문자 유입,0.10731533134698797
알프스하동섬진강문화재첩축제,축제기간,2018,현지인방문자 유입,0.8774312541918177
알프스하동섬진강문화재첩축제,축제기간,2018,내비게이션 검색량,0.3318903318903319
알프스하동섬진강문화재첩축제,축제기간,2018,관광소비,0.4983118058013283
알프스하동섬진강문화재첩축제,축제기간,2018,축제지 집중률,0.4099482198181486
알프스하동섬진강문화재첩축제,비축제기간,2018,외부방문자 유입,0.09947580385522704
알프스하동섬진강문화재첩축제,비축제기간,2018,현지인방문자 유입,0.7777288732394366
알프스하동섬진강문화재첩축제,비축제기간,2018,내비게이션 검색량,0.1718073593073593
알프스하동섬진강문화재첩축제,비축제기간,2018,관광소비,0.5828317780992327
알프스하동섬진강문화재첩축제,비축제기간,2018,축제지 집중률,0.2778635417042652
