읍면동명,목적지명,도로명주소,카테고리,구분,순위
양양읍,양양전통시장,강원 양양군 남문5길 9-0,시장,현지인,1
양양읍,양양종합여객터미널,강원 양양군 동해대로 2700-0,교통시설,현지인,2
양양읍,송이&연어페스타in양양,강원 양양군,기타문화관광지,현지인,3
양양읍,양양남대천체육공원,강원 양양군,도시공원,현지인,4
양양읍,남대천생태공원,강원 양양군,도시공원,현지인,5
양양읍,송이밸리자연휴양림,강원 양양군 고노동길 98-50,자연공원,현지인,5
양양읍,양양서핑학교,강원 양양군 일출로 159-12,수상레저스포츠,현지인,7
양양읍,양양송이조각공원파크골프장,강원 양양군,육상레저스포츠,현지인,8
양양읍,양양송이조각공원,강원 양양군,도시공원,현지인,9
양양읍,고려대학교낙산수련장,강원 양양군 일출로 67-0,육상레저스포츠,현지인,10
양양읍,남대천생태관찰로,강원 양양군,기타레저스포츠,현지인,11
양양읍,양양둔치야구장,강원 양양군,레저스포츠시설,현지인,12
양양읍,양양남대천물놀이장,강원 양양군,수상레저스포츠,현지인,13
양양읍,양양작은영화관,강원 양양군 일출로 570-0,공연시설,현지인,14
양양읍,레포밸리양양점,강원 양양군 고노동길 98-50,테마공원,현지인,15
양양읍,양양자연송이,강원 양양군 남문7길 15-7,시장,현지인,15
양양읍,남대천수상레포츠체험센터,강원 양양군 일출로 295-0,수상레저스포츠,현지인,15
양양읍,양양전통시장,강원 양양군 남문5길 9-0,시장,외지인,1
양양읍,양양종합여객터미널,강원 양양군 동해대로 2700-0,교통시설,외지인,2
양양읍,송이&연어페스타in양양,강원 양양군,기타문화관광지,외지인,3
양양읍,양양남대천체육공원,강원 양양군,도시공원,외지인,4
양양읍,송이밸리자연휴양림,강원 양양군 고노동길 98-50,자연공원,외지인,5
양양읍,남대천생태공원,강원 양양군,도시공원,외지인,6
양양읍,양양송이조각공원,강원 양양군,도시공원,외지인,7
양양읍,양양송이조각공원파크골프장,강원 양양군,육상레저스포츠,외지인,8
양양읍,고려대학교낙산수련장,강원 양양군 일출로 67-0,육상레저스포츠,외지인,9
양양읍,양양서핑학교,강원 양양군 일출로 159-12,수상레저스포츠,외지인,10
양양읍,레포밸리양양점,강원 양양군 고노동길 98-50,테마공원,외지인,11
양양읍,양양남대천물놀이장,강원 양양군,수상레저스포츠,외지인,12
양양읍,양양작은영화관,강원 양양군 일출로 570-0,공연시설,외지인,13
양양읍,남대천생태관찰로,강원 양양군,기타레저스포츠,외지인,14
양양읍,남대천수상레포츠체험센터,강원 양양군 일출로 295-0,수상레저스포츠,외지인,15
양양읍,양양둔치야구장,강원 양양군,레저스포츠시설,외지인,16
양양읍,양양자연송이,강원 양양군 남문7길 15-7,시장,외지인,17
양양읍,양양양수어울림센터,강원 양양군 한고개길 17-16,기타문화관광지,외지인,18
양양읍,양양갈대숲,강원 양양군,기타관광,외지인,19
양양읍,영혈사,강원 양양군 불당골길 346-0,종교성지,외지인,20
양양읍,종합여객터미널관광안내소,강원 양양군 동해대로 2700-0,기타관광,외지인,21
양양읍,모노골산림욕장,강원 양양군,자연공원,외지인,22
양양읍,양양맞이터농원,강원 양양군,농/산/어촌체험,외지인,22
양양읍,양양향교,강원 양양군 거마천로 52-20,역사유적지,외지인,24
양양읍,해오름테니스,강원 양양군 조산딴봉길 20-0,기타레저스포츠,외지인,24
양양읍,양양전통시장,강원 양양군 남문5길 9-0,시장,전체,1
양양읍,양양종합여객터미널,강원 양양군 동해대로 2700-0,교통시설,전체,2
양양읍,송이&연어페스타in양양,강원 양양군,기타문화관광지,전체,3
양양읍,양양남대천체육공원,강원 양양군,도시공원,전체,4
양양읍,송이밸리자연휴양림,강원 양양군 고노동길 98-50,자연공원,전체,5
양양읍,남대천생태공원,강원 양양군,도시공원,전체,6
양양읍,양양송이조각공원,강원 양양군,도시공원,전체,7
양양읍,양양송이조각공원파크골프장,강원 양양군,육상레저스포츠,전체,8
양양읍,양양서핑학교,강원 양양군 일출로 159-12,수상레저스포츠,전체,9
양양읍,고려대학교낙산수련장,강원 양양군 일출로 67-0,육상레저스포츠,전체,10
양양읍,레포밸리양양점,강원 양양군 고노동길 98-50,테마공원,전체,11
양양읍,양양남대천물놀이장,강원 양양군,수상레저스포츠,전체,12
양양읍,남대천생태관찰로,강원 양양군,기타레저스포츠,전체,13
양양읍,양양작은영화관,강원 양양군 일출로 570-0,공연시설,전체,14
양양읍,양양둔치야구장,강원 양양군,레저스포츠시설,전체,15
양양읍,남대천수상레포츠체험센터,강원 양양군 일출로 295-0,수상레저스포츠,전체,16
양양읍,양양자연송이,강원 양양군 남문7길 15-7,시장,전체,17
양양읍,양양양수어울림센터,강원 양양군 한고개길 17-16,기타문화관광지,전체,18
양양읍,양양갈대숲,강원 양양군,기타관광,전체,19
양양읍,영혈사,강원 양양군 불당골길 346-0,종교성지,전체,20
양양읍,종합여객터미널관광안내소,강원 양양군 동해대로 2700-0,기타관광,전체,21
양양읍,모노골산림욕장,강원 양양군,자연공원,전체,22
양양읍,양양맞이터농원,강원 양양군,농/산/어촌체험,전체,22
양양읍,양양향교,강원 양양군 거마천로 52-20,역사유적지,전체,24
양양읍,해오름테니스,강원 양양군 조산딴봉길 20-0,기타레저스포츠,전체,24
