축제명,그룹명,개최년도,구분명,구분값
양양송이축제,축제기간,2023,외부방문자 유입,0.578724807630138
양양송이축제,축제기간,2023,현지인방문자 유입,0.8606820744081173
양양송이축제,축제기간,2023,내비게이션 검색량,0.46199158485273495
양양송이축제,축제기간,2023,관광소비,0.4488368477132623
양양송이축제,축제기간,2023,축제지 집중률,0.7160025978944159
양양송이축제,비축제기간,2023,외부방문자 유입,0.4245073061198839
양양송이축제,비축제기간,2023,현지인방문자 유입,0.7825570744081173
양양송이축제,비축제기간,2023,내비게이션 검색량,0.3219424964936886
양양송이축제,비축제기간,2023,관광소비,0.40486884563821773
양양송이축제,비축제기간,2023,축제지 집중률,0.5568611170808815
양양송이축제,축제기간,2022,외부방문자 유입,0.8204475160990983
양양송이축제,축제기간,2022,현지인방문자 유입,0.8823886026068506
양양송이축제,축제기간,2022,내비게이션 검색량,0.6759002770083102
양양송이축제,축제기간,2022,관광소비,0.6541939697980764
양양송이축제,축제기간,2022,축제지 집중률,0.7876349351436204
양양송이축제,비축제기간,2022,외부방문자 유입,0.5231981517940776
양양송이축제,비축제기간,2022,현지인방문자 유입,0.8083383853693038
양양송이축제,비축제기간,2022,내비게이션 검색량,0.42191828254847646
양양송이축제,비축제기간,2022,관광소비,0.49512549665604794
양양송이축제,비축제기간,2022,축제지 집중률,0.6436743483233682
양양송이축제,축제기간,2019,외부방문자 유입,0.4732379858414593
양양송이축제,축제기간,2019,현지인방문자 유입,0.8124380083316802
양양송이축제,축제기간,2019,내비게이션 검색량,0.39944379391100704
양양송이축제,축제기간,2019,관광소비,0.4349306608834605
양양송이축제,축제기간,2019,축제지 집중률,0.8184978208403898
양양송이축제,비축제기간,2019,외부방문자 유입,0.3281937872223541
양양송이축제,비축제기간,2019,현지인방문자 유입,0.6965321860741917
양양송이축제,비축제기간,2019,내비게이션 검색량,0.36930986533957844
양양송이축제,비축제기간,2019,관광소비,0.39001273650227897
양양송이축제,비축제기간,2019,축제지 집중률,0.5889548990824167
양양송이축제,축제기간,2018,외부방문자 유입,0.44521812000420197
양양송이축제,축제기간,2018,현지인방문자 유입,0.8427679094280695
양양송이축제,축제기간,2018,내비게이션 검색량,0.3199326851159312
양양송이축제,축제기간,2018,관광소비,0.44948932140722586
양양송이축제,축제기간,2018,축제지 집중률,0.9281797578077268
양양송이축제,비축제기간,2018,외부방문자 유입,0.28948709806805273
양양송이축제,비축제기간,2018,현지인방문자 유입,0.7469500292797189
양양송이축제,비축제기간,2018,내비게이션 검색량,0.3135050486163052
양양송이축제,비축제기간,2018,관광소비,0.4155142526037918
양양송이축제,비축제기간,2018,축제지 집중률,0.5342131449522194
