축제명,그룹명,개최년도,구분명,구분값
여주오곡나루축제,축제기간,2023,외부방문자 유입,0.8292337345729612
여주오곡나루축제,축제기간,2023,현지인방문자 유입,0.9775454897406117
여주오곡나루축제,축제기간,2023,내비게이션 검색량,0.7767025089605735
여주오곡나루축제,축제기간,2023,관광소비,0.8409611493746104
여주오곡나루축제,축제기간,2023,축제지 집중률,0.9580232624189954
여주오곡나루축제,비축제기간,2023,외부방문자 유입,0.4971033130269686
여주오곡나루축제,비축제기간,2023,현지인방문자 유입,0.7442250612982321
여주오곡나루축제,비축제기간,2023,내비게이션 검색량,0.40304659498207884
여주오곡나루축제,비축제기간,2023,관광소비,0.6731278520369748
여주오곡나루축제,비축제기간,2023,축제지 집중률,0.603783439422873
여주오곡나루축제,축제기간,2022,외부방문자 유입,0.8432801787382012
여주오곡나루축제,축제기간,2022,현지인방문자 유입,0.9685925507369214
여주오곡나루축제,축제기간,2022,내비게이션 검색량,0.8088130774697938
여주오곡나루축제,축제기간,2022,관광소비,0.8189101674884014
여주오곡나루축제,축제기간,2022,축제지 집중률,0.8852631564621497
여주오곡나루축제,비축제기간,2022,외부방문자 유입,0.5311330440106046
여주오곡나루축제,비축제기간,2022,현지인방문자 유입,0.7834086735414607
여주오곡나루축제,비축제기간,2022,내비게이션 검색량,0.564565565031983
여주오곡나루축제,비축제기간,2022,관광소비,0.7737550524722039
여주오곡나루축제,비축제기간,2022,축제지 집중률,0.5916990913866031
여주오곡나루축제,축제기간,2019,외부방문자 유입,0.0
여주오곡나루축제,축제기간,2019,현지인방문자 유입,0.0
여주오곡나루축제,축제기간,2019,내비게이션 검색량,0.0
여주오곡나루축제,축제기간,2019,관광소비,0.0
여주오곡나루축제,축제기간,2019,축제지 집중률,0.0
여주오곡나루축제,비축제기간,2019,외부방문자 유입,0.0
여주오곡나루축제,비축제기간,2019,현지인방문자 유입,0.0
여주오곡나루축제,비축제기간,2019,내비게이션 검색량,0.0
여주오곡나루축제,비축제기간,2019,관광소비,0.0
여주오곡나루축제,비축제기간,2019,축제지 집중률,0.0
여주오곡나루축제,축제기간,2018,외부방문자 유입,0.7413041306044005
여주오곡나루축제,축제기간,2018,현지인방문자 유입,0.9161844315848423
여주오곡나루축제,축제기간,2018,내비게이션 검색량,0.5307017543859649
여주오곡나루축제,축제기간,2018,관광소비,0.5342691812322689
여주오곡나루축제,축제기간,2018,축제지 집중률,0.8296352715375225
여주오곡나루축제,비축제기간,2018,외부방문자 유입,0.4704409004033021
여주오곡나루축제,비축제기간,2018,현지인방문자 유입,0.7564246157675316
여주오곡나루축제,비축제기간,2018,내비게이션 검색량,0.34607198142414863
여주오곡나루축제,비축제기간,2018,관광소비,0.5748065769683781
여주오곡나루축제,비축제기간,2018,축제지 집중률,0.5766532099685208
