축제명,그룹명,개최년도,구분명,구분값
연천구석기축제,축제기간,2023,외부방문자 유입,0.6430412493906593
연천구석기축제,축제기간,2023,현지인방문자 유입,0.846961420279959
연천구석기축제,축제기간,2023,내비게이션 검색량,0.5206401766004415
연천구석기축제,축제기간,2023,관광소비,0.68697339116706
연천구석기축제,축제기간,2023,축제지 집중률,0.9765036503972633
연천구석기축제,비축제기간,2023,외부방문자 유입,0.45005629330884334
연천구석기축제,비축제기간,2023,현지인방문자 유입,0.7853362922499146
연천구석기축제,비축제기간,2023,내비게이션 검색량,0.39048013245033114
연천구석기축제,비축제기간,2023,관광소비,0.6888689896438163
연천구석기축제,비축제기간,2023,축제지 집중률,0.7986741405900392
연천구석기축제,축제기간,2022,외부방문자 유입,0.6148198698143205
연천구석기축제,축제기간,2022,현지인방문자 유입,0.869180470793374
연천구석기축제,축제기간,2022,내비게이션 검색량,0.6270824434002563
연천구석기축제,축제기간,2022,관광소비,0.74874324379339
연천구석기축제,축제기간,2022,축제지 집중률,0.8972010017184046
연천구석기축제,비축제기간,2022,외부방문자 유입,0.534732761674697
연천구석기축제,비축제기간,2022,현지인방문자 유입,0.8379958587619878
연천구석기축제,비축제기간,2022,내비게이션 검색량,0.45996636052968815
연천구석기축제,비축제기간,2022,관광소비,0.7294087885166639
연천구석기축제,비축제기간,2022,축제지 집중률,0.7797935767232891
연천구석기축제,축제기간,2019,외부방문자 유입,0.702198254849425
연천구석기축제,축제기간,2019,현지인방문자 유입,0.86615
연천구석기축제,축제기간,2019,내비게이션 검색량,0.6803010471204188
연천구석기축제,축제기간,2019,관광소비,0.8870265697920294
연천구석기축제,축제기간,2019,축제지 집중률,0.9211071703282248
연천구석기축제,비축제기간,2019,외부방문자 유입,0.3272974540754821
연천구석기축제,비축제기간,2019,현지인방문자 유입,0.78585625
연천구석기축제,비축제기간,2019,내비게이션 검색량,0.2829270287958115
연천구석기축제,비축제기간,2019,관광소비,0.7261180342162207
연천구석기축제,비축제기간,2019,축제지 집중률,0.6928112370749567
연천구석기축제,축제기간,2018,외부방문자 유입,0.7082764358253485
연천구석기축제,축제기간,2018,현지인방문자 유입,0.8913288288288288
연천구석기축제,축제기간,2018,내비게이션 검색량,0.6019121236777868
연천구석기축제,축제기간,2018,관광소비,0.7649298855342385
연천구석기축제,축제기간,2018,축제지 집중률,0.8881080481065257
연천구석기축제,비축제기간,2018,외부방문자 유입,0.3348763794059709
연천구석기축제,비축제기간,2018,현지인방문자 유입,0.8033310298935299
연천구석기축제,비축제기간,2018,내비게이션 검색량,0.28216537835638733
연천구석기축제,비축제기간,2018,관광소비,0.6562054097525061
연천구석기축제,비축제기간,2018,축제지 집중률,0.7132441995646474
