읍면동명,목적지명,도로명주소,카테고리,구분,순위
강구면,강구항,경북 영덕군,자연경관(하천/해양),현지인,1
강구면,삼사해상공원,경북 영덕군 해상공원길 92-0,도시공원,현지인,2
강구면,영덕해파랑공원,경북 영덕군 영덕대게로 132-0,도시공원,현지인,3
강구면,강구시장,경북 영덕군 강구시장1길 8-1,시장,현지인,4
강구면,하저리해수욕장,경북 영덕군,자연경관(하천/해양),현지인,5
강구면,강구역,경북 영덕군 강산로 63-0,교통시설,현지인,5
강구면,삼사해상산책로,경북 영덕군,기타레저스포츠,현지인,7
강구면,동광어시장,경북 영덕군 영덕대게로 108-1,시장,현지인,7
강구면,오포3리해수욕장,경북 영덕군,자연경관(하천/해양),현지인,9
강구면,강구풍물지하어시장,경북 영덕군 강영로 0-0,시장,현지인,9
강구면,강구대게축구장,경북 영덕군 강영로 16-111,레저스포츠시설,현지인,9
강구면,영덕어촌민속전시관,경북 영덕군 해상공원길 96-8,전시시설,현지인,9
강구면,강구항,경북 영덕군,자연경관(하천/해양),외지인,1
강구면,삼사해상공원,경북 영덕군 해상공원길 92-0,도시공원,외지인,2
강구면,영덕해파랑공원,경북 영덕군 영덕대게로 132-0,도시공원,외지인,3
강구면,동광어시장,경북 영덕군 영덕대게로 108-1,시장,외지인,4
강구면,강구시장,경북 영덕군 강구시장1길 8-1,시장,외지인,5
강구면,삼사해상산책로,경북 영덕군,기타레저스포츠,외지인,6
강구면,하저리해수욕장,경북 영덕군,자연경관(하천/해양),외지인,7
강구면,오포3리해수욕장,경북 영덕군,자연경관(하천/해양),외지인,8
강구면,강구대게축구장,경북 영덕군 강영로 16-111,레저스포츠시설,외지인,9
강구면,블루로드A코스,경북 영덕군 동해대로 4495-0,기타레저스포츠,외지인,10
강구면,강구풍물지하어시장,경북 영덕군 강영로 0-0,시장,외지인,11
강구면,영덕어촌민속전시관,경북 영덕군 해상공원길 96-8,전시시설,외지인,12
강구면,강구역,경북 영덕군 강산로 63-0,교통시설,외지인,13
강구면,영덕회시장,경북 영덕군 강구대게4길 0-0,시장,외지인,14
강구면,해파랑길20코스,경북 영덕군,기타레저스포츠,외지인,15
강구면,삼사영덕대게어시장,경북 영덕군,시장,외지인,16
강구면,영덕해파랑공원영덕아이,경북 영덕군 영덕대게로 132-0,기타레저스포츠,외지인,17
강구면,그대그리고나촬영장소,경북 영덕군,기타관광,외지인,18
강구면,일월수산,경북 영덕군 영덕대게로 108-1,시장,외지인,18
강구면,강구항,경북 영덕군,자연경관(하천/해양),전체,1
강구면,삼사해상공원,경북 영덕군 해상공원길 92-0,도시공원,전체,2
강구면,영덕해파랑공원,경북 영덕군 영덕대게로 132-0,도시공원,전체,3
강구면,동광어시장,경북 영덕군 영덕대게로 108-1,시장,전체,4
강구면,강구시장,경북 영덕군 강구시장1길 8-1,시장,전체,5
강구면,삼사해상산책로,경북 영덕군,기타레저스포츠,전체,6
강구면,하저리해수욕장,경북 영덕군,자연경관(하천/해양),전체,7
강구면,오포3리해수욕장,경북 영덕군,자연경관(하천/해양),전체,8
강구면,강구대게축구장,경북 영덕군 강영로 16-111,레저스포츠시설,전체,9
강구면,블루로드A코스,경북 영덕군 동해대로 4495-0,기타레저스포츠,전체,10
강구면,강구풍물지하어시장,경북 영덕군 강영로 0-0,시장,전체,11
강구면,강구역,경북 영덕군 강산로 63-0,교통시설,전체,12
강구면,영덕어촌민속전시관,경북 영덕군 해상공원길 96-8,전시시설,전체,13
강구면,영덕회시장,경북 영덕군 강구대게4길 0-0,시장,전체,14
강구면,해파랑길20코스,경북 영덕군,기타레저스포츠,전체,15
강구면,삼사영덕대게어시장,경북 영덕군,시장,전체,16
강구면,영덕해파랑공원영덕아이,경북 영덕군 영덕대게로 132-0,기타레저스포츠,전체,17
강구면,그대그리고나촬영장소,경북 영덕군,기타관광,전체,18
강구면,일월수산,경북 영덕군 영덕대게로 108-1,시장,전체,18
