축제명,그룹명,개최년도,구분명,구분값
영덕대게축제,축제기간,2023,외부방문자 유입,0.5576646449269932
영덕대게축제,축제기간,2023,현지인방문자 유입,0.9173597359735974
영덕대게축제,축제기간,2023,내비게이션 검색량,0.5945334419404471
영덕대게축제,축제기간,2023,관광소비,0.686386562093899
영덕대게축제,축제기간,2023,축제지 집중률,0.9295525801643167
영덕대게축제,비축제기간,2023,외부방문자 유입,0.3288871565278188
영덕대게축제,비축제기간,2023,현지인방문자 유입,0.7088448844884488
영덕대게축제,비축제기간,2023,내비게이션 검색량,0.3392840981084261
영덕대게축제,비축제기간,2023,관광소비,0.5215443602860023
영덕대게축제,비축제기간,2023,축제지 집중률,0.7671873091711959
영덕대게축제,축제기간,2022,외부방문자 유입,0.0
영덕대게축제,축제기간,2022,현지인방문자 유입,0.0
영덕대게축제,축제기간,2022,내비게이션 검색량,0.0
영덕대게축제,축제기간,2022,관광소비,0.0
영덕대게축제,축제기간,2022,축제지 집중률,0.0
영덕대게축제,비축제기간,2022,외부방문자 유입,0.0
영덕대게축제,비축제기간,2022,현지인방문자 유입,0.0
영덕대게축제,비축제기간,2022,내비게이션 검색량,0.0
영덕대게축제,비축제기간,2022,관광소비,0.0
영덕대게축제,비축제기간,2022,축제지 집중률,0.0
영덕대게축제,축제기간,2019,외부방문자 유입,0.3046009266335499
영덕대게축제,축제기간,2019,현지인방문자 유입,0.875
영덕대게축제,축제기간,2019,내비게이션 검색량,0.24489795918367346
영덕대게축제,축제기간,2019,관광소비,0.46415718984241605
영덕대게축제,축제기간,2019,축제지 집중률,0.8217314143184316
영덕대게축제,비축제기간,2019,외부방문자 유입,0.29077468734078465
영덕대게축제,비축제기간,2019,현지인방문자 유입,0.6680269500438212
영덕대게축제,비축제기간,2019,내비게이션 검색량,0.2468436527153234
영덕대게축제,비축제기간,2019,관광소비,0.4387523792156057
영덕대게축제,비축제기간,2019,축제지 집중률,0.768115079278823
영덕대게축제,축제기간,2018,외부방문자 유입,0.315686754935683
영덕대게축제,축제기간,2018,현지인방문자 유입,0.8676470588235294
영덕대게축제,축제기간,2018,내비게이션 검색량,0.2664259927797834
영덕대게축제,축제기간,2018,관광소비,0.5053910540253407
영덕대게축제,축제기간,2018,축제지 집중률,0.9259824566123168
영덕대게축제,비축제기간,2018,외부방문자 유입,0.23729644725062435
영덕대게축제,비축제기간,2018,현지인방문자 유입,0.6672046867527499
영덕대게축제,비축제기간,2018,내비게이션 검색량,0.1928023465703971
영덕대게축제,비축제기간,2018,관광소비,0.41353819353670734
영덕대게축제,비축제기간,2018,축제지 집중률,0.8129051783113221
