축제명,그룹명,개최년도,구분명,구분값
영도다리축제,축제기간,2023,외부방문자 유입,0.49116300673351543
영도다리축제,축제기간,2023,현지인방문자 유입,0.9093759799310128
영도다리축제,축제기간,2023,내비게이션 검색량,0.6588429071443278
영도다리축제,축제기간,2023,관광소비,0.593919335883538
영도다리축제,축제기간,2023,축제지 집중률,0.8236917075894137
영도다리축제,비축제기간,2023,외부방문자 유입,0.4722603522044174
영도다리축제,비축제기간,2023,현지인방문자 유입,0.7941752900595798
영도다리축제,비축제기간,2023,내비게이션 검색량,0.4993565987234919
영도다리축제,비축제기간,2023,관광소비,0.5761429467741297
영도다리축제,비축제기간,2023,축제지 집중률,0.76238338989365
영도다리축제,축제기간,2022,외부방문자 유입,0.5820372305251054
영도다리축제,축제기간,2022,현지인방문자 유입,0.8502594867399895
영도다리축제,축제기간,2022,내비게이션 검색량,0.6567015445939213
영도다리축제,축제기간,2022,관광소비,0.6721457927027822
영도다리축제,축제기간,2022,축제지 집중률,0.7283336414094415
영도다리축제,비축제기간,2022,외부방문자 유입,0.5684987848735518
영도다리축제,비축제기간,2022,현지인방문자 유입,0.765378755415893
영도다리축제,비축제기간,2022,내비게이션 검색량,0.5440022421524664
영도다리축제,비축제기간,2022,관광소비,0.6948377847576346
영도다리축제,비축제기간,2022,축제지 집중률,0.6800856294120351
영도다리축제,축제기간,2019,외부방문자 유입,0.4316667119166469
영도다리축제,축제기간,2019,현지인방문자 유입,0.7414271122136291
영도다리축제,축제기간,2019,내비게이션 검색량,0.22270058708414872
영도다리축제,축제기간,2019,관광소비,0.6901298528252453
영도다리축제,축제기간,2019,축제지 집중률,0.4947346002607278
영도다리축제,비축제기간,2019,외부방문자 유입,0.5157562047419394
영도다리축제,비축제기간,2019,현지인방문자 유입,0.7388917262512769
영도다리축제,비축제기간,2019,내비게이션 검색량,0.23207762557077627
영도다리축제,비축제기간,2019,관광소비,0.6641159411828117
영도다리축제,비축제기간,2019,축제지 집중률,0.561300329411312
영도다리축제,축제기간,2018,외부방문자 유입,0.570575216130724
영도다리축제,축제기간,2018,현지인방문자 유입,0.8355047891010768
영도다리축제,축제기간,2018,내비게이션 검색량,0.3650793650793651
영도다리축제,축제기간,2018,관광소비,0.6155332488273286
영도다리축제,축제기간,2018,축제지 집중률,0.7180491971586271
영도다리축제,비축제기간,2018,외부방문자 유입,0.5729331932592943
영도다리축제,비축제기간,2018,현지인방문자 유입,0.7530563983580225
영도다리축제,비축제기간,2018,내비게이션 검색량,0.3630952380952381
영도다리축제,비축제기간,2018,관광소비,0.6232635173594883
영도다리축제,비축제기간,2018,축제지 집중률,0.7125456597511635
