축제명,그룹명,개최년도,구분명,구분값
영동난계국악축제,축제기간,2023,외부방문자 유입,0.47593038331878057
영동난계국악축제,축제기간,2023,현지인방문자 유입,0.9151958943547378
영동난계국악축제,축제기간,2023,내비게이션 검색량,0.3444413716814159
영동난계국악축제,축제기간,2023,관광소비,0.7161408986337133
영동난계국악축제,축제기간,2023,축제지 집중률,0.8383130346704667
영동난계국악축제,비축제기간,2023,외부방문자 유입,0.38083640488256976
영동난계국악축제,비축제기간,2023,현지인방문자 유입,0.7879075916885718
영동난계국악축제,비축제기간,2023,내비게이션 검색량,0.22426368915929204
영동난계국악축제,비축제기간,2023,관광소비,0.636046258989428
영동난계국악축제,비축제기간,2023,축제지 집중률,0.6527807299728956
영동난계국악축제,축제기간,2022,외부방문자 유입,0.5356580489876575
영동난계국악축제,축제기간,2022,현지인방문자 유입,0.9075573979591837
영동난계국악축제,축제기간,2022,내비게이션 검색량,0.6100823045267489
영동난계국악축제,축제기간,2022,관광소비,0.6368002655568784
영동난계국악축제,축제기간,2022,축제지 집중률,0.8766000480920542
영동난계국악축제,비축제기간,2022,외부방문자 유입,0.4282350188744808
영동난계국악축제,비축제기간,2022,현지인방문자 유입,0.8219706632653061
영동난계국악축제,비축제기간,2022,내비게이션 검색량,0.41066529492455417
영동난계국악축제,비축제기간,2022,관광소비,0.5968862919719908
영동난계국악축제,비축제기간,2022,축제지 집중률,0.7059727022457617
영동난계국악축제,축제기간,2019,외부방문자 유입,0.432850278983261
영동난계국악축제,축제기간,2019,현지인방문자 유입,0.8631740614334471
영동난계국악축제,축제기간,2019,내비게이션 검색량,0.393048128342246
영동난계국악축제,축제기간,2019,관광소비,0.5745556437203794
영동난계국악축제,축제기간,2019,축제지 집중률,0.7997054957707284
영동난계국악축제,비축제기간,2019,외부방문자 유입,0.3386348343489635
영동난계국악축제,비축제기간,2019,현지인방문자 유입,0.7816552901023891
영동난계국악축제,비축제기간,2019,내비게이션 검색량,0.30754233511586454
영동난계국악축제,비축제기간,2019,관광소비,0.5691741051798378
영동난계국악축제,비축제기간,2019,축제지 집중률,0.6415232202514072
영동난계국악축제,축제기간,2018,외부방문자 유입,0.4337387778743122
영동난계국악축제,축제기간,2018,현지인방문자 유입,0.9358432036097011
영동난계국악축제,축제기간,2018,내비게이션 검색량,0.4900662251655629
영동난계국악축제,축제기간,2018,관광소비,0.5754279130160833
영동난계국악축제,축제기간,2018,축제지 집중률,0.7874710698586161
영동난계국악축제,비축제기간,2018,외부방문자 유입,0.30269922289796314
영동난계국악축제,비축제기간,2018,현지인방문자 유입,0.8266620840383531
영동난계국악축제,비축제기간,2018,내비게이션 검색량,0.32315811258278143
영동난계국악축제,비축제기간,2018,관광소비,0.5653382008865526
영동난계국악축제,비축제기간,2018,축제지 집중률,0.6046211575291996
