축제명,그룹명,개최년도,구분명,구분값
영산강서창들녘억새축제,축제기간,2023,외부방문자 유입,0.7266878626537595
영산강서창들녘억새축제,축제기간,2023,현지인방문자 유입,0.8703053547720903
영산강서창들녘억새축제,축제기간,2023,내비게이션 검색량,0.6903584672435105
영산강서창들녘억새축제,축제기간,2023,관광소비,0.6432805207142636
영산강서창들녘억새축제,축제기간,2023,축제지 집중률,0.8763588356062794
영산강서창들녘억새축제,비축제기간,2023,외부방문자 유입,0.6903120914040896
영산강서창들녘억새축제,비축제기간,2023,현지인방문자 유입,0.8034260215370999
영산강서창들녘억새축제,비축제기간,2023,내비게이션 검색량,0.5876236093943139
영산강서창들녘억새축제,비축제기간,2023,관광소비,0.6680140279654164
영산강서창들녘억새축제,비축제기간,2023,축제지 집중률,0.8164306971270332
영산강서창들녘억새축제,축제기간,2022,외부방문자 유입,0.6499442020448397
영산강서창들녘억새축제,축제기간,2022,현지인방문자 유입,0.786344238975818
영산강서창들녘억새축제,축제기간,2022,내비게이션 검색량,0.7284625579854208
영산강서창들녘억새축제,축제기간,2022,관광소비,0.7417346540054679
영산강서창들녘억새축제,축제기간,2022,축제지 집중률,0.7081244245437956
영산강서창들녘억새축제,비축제기간,2022,외부방문자 유입,0.6267095524027163
영산강서창들녘억새축제,비축제기간,2022,현지인방문자 유입,0.7747155049786629
영산강서창들녘억새축제,비축제기간,2022,내비게이션 검색량,0.6180003313452618
영산강서창들녘억새축제,비축제기간,2022,관광소비,0.6741556458296573
영산강서창들녘억새축제,비축제기간,2022,축제지 집중률,0.6949636365940832
영산강서창들녘억새축제,축제기간,2019,외부방문자 유입,0.745064360538851
영산강서창들녘억새축제,축제기간,2019,현지인방문자 유입,0.9130837657524092
영산강서창들녘억새축제,축제기간,2019,내비게이션 검색량,0.7452934662236987
영산강서창들녘억새축제,축제기간,2019,관광소비,0.7070815824303234
영산강서창들녘억새축제,축제기간,2019,축제지 집중률,0.873478150088617
영산강서창들녘억새축제,비축제기간,2019,외부방문자 유입,0.6421994261310112
영산강서창들녘억새축제,비축제기간,2019,현지인방문자 유입,0.7858135656041513
영산강서창들녘억새축제,비축제기간,2019,내비게이션 검색량,0.6367201919527501
영산강서창들녘억새축제,비축제기간,2019,관광소비,0.6524626774901221
영산강서창들녘억새축제,비축제기간,2019,축제지 집중률,0.7494556457254624
영산강서창들녘억새축제,축제기간,2018,외부방문자 유입,0.7334642127835546
영산강서창들녘억새축제,축제기간,2018,현지인방문자 유입,0.9438097021914216
영산강서창들녘억새축제,축제기간,2018,내비게이션 검색량,0.6613569321533924
영산강서창들녘억새축제,축제기간,2018,관광소비,0.6070647573723047
영산강서창들녘억새축제,축제기간,2018,축제지 집중률,0.9330849253711528
영산강서창들녘억새축제,비축제기간,2018,외부방문자 유입,0.6409554626183565
영산강서창들녘억새축제,비축제기간,2018,현지인방문자 유입,0.8724558281825561
영산강서창들녘억새축제,비축제기간,2018,내비게이션 검색량,0.6042035398230089
영산강서창들녘억새축제,비축제기간,2018,관광소비,0.653092566663053
영산강서창들녘억새축제,비축제기간,2018,축제지 집중률,0.8083720350690836
