축제명,그룹명,개최년도,구분명,구분값
영암왕인문화축제,축제기간,2023,외부방문자 유입,0.6965053694051743
영암왕인문화축제,축제기간,2023,현지인방문자 유입,0.8759124087591241
영암왕인문화축제,축제기간,2023,내비게이션 검색량,0.6608164822586798
영암왕인문화축제,축제기간,2023,관광소비,0.7579851574803673
영암왕인문화축제,축제기간,2023,축제지 집중률,0.8492408835122828
영암왕인문화축제,비축제기간,2023,외부방문자 유입,0.07882140320301302
영암왕인문화축제,비축제기간,2023,현지인방문자 유입,0.2804896593673966
영암왕인문화축제,비축제기간,2023,내비게이션 검색량,0.049861694009919875
영암왕인문화축제,비축제기간,2023,관광소비,0.6377498095230895
영암왕인문화축제,비축제기간,2023,축제지 집중률,0.16881124659850305
영암왕인문화축제,축제기간,2022,외부방문자 유입,0.0
영암왕인문화축제,축제기간,2022,현지인방문자 유입,0.0
영암왕인문화축제,축제기간,2022,내비게이션 검색량,0.0
영암왕인문화축제,축제기간,2022,관광소비,0.0
영암왕인문화축제,축제기간,2022,축제지 집중률,0.0
영암왕인문화축제,비축제기간,2022,외부방문자 유입,0.0
영암왕인문화축제,비축제기간,2022,현지인방문자 유입,0.0
영암왕인문화축제,비축제기간,2022,내비게이션 검색량,0.0
영암왕인문화축제,비축제기간,2022,관광소비,0.0
영암왕인문화축제,비축제기간,2022,축제지 집중률,0.0
영암왕인문화축제,축제기간,2019,외부방문자 유입,0.5752609132208025
영암왕인문화축제,축제기간,2019,현지인방문자 유입,0.8195538057742782
영암왕인문화축제,축제기간,2019,내비게이션 검색량,0.4794267877412032
영암왕인문화축제,축제기간,2019,관광소비,0.707602278938354
영암왕인문화축제,축제기간,2019,축제지 집중률,0.8588226067784178
영암왕인문화축제,비축제기간,2019,외부방문자 유입,0.07681312611814112
영암왕인문화축제,비축제기간,2019,현지인방문자 유입,0.21512935883014622
영암왕인문화축제,비축제기간,2019,내비게이션 검색량,0.048613081725312146
영암왕인문화축제,비축제기간,2019,관광소비,0.6801080501075206
영암왕인문화축제,비축제기간,2019,축제지 집중률,0.17158036504582982
영암왕인문화축제,축제기간,2018,외부방문자 유입,0.45345361993800876
영암왕인문화축제,축제기간,2018,현지인방문자 유입,0.8120503597122302
영암왕인문화축제,축제기간,2018,내비게이션 검색량,0.3606145251396648
영암왕인문화축제,축제기간,2018,관광소비,0.5943392427404196
영암왕인문화축제,축제기간,2018,축제지 집중률,0.6721081592035366
영암왕인문화축제,비축제기간,2018,외부방문자 유입,0.14016439659299954
영암왕인문화축제,비축제기간,2018,현지인방문자 유입,0.2869989722507708
영암왕인문화축제,비축제기간,2018,내비게이션 검색량,0.09724162011173185
영암왕인문화축제,비축제기간,2018,관광소비,0.5855514423049913
영암왕인문화축제,비축제기간,2018,축제지 집중률,0.2306009015632335
