축제명,그룹명,개최년도,구분명,구분값
울산고래축제,축제기간,2023,외부방문자 유입,0.83879155206788
울산고래축제,축제기간,2023,현지인방문자 유입,0.880527020991514
울산고래축제,축제기간,2023,내비게이션 검색량,0.5768952197006277
울산고래축제,축제기간,2023,관광소비,0.6893993536599263
울산고래축제,축제기간,2023,축제지 집중률,0.8982592376237848
울산고래축제,비축제기간,2023,외부방문자 유입,0.5382854878206589
울산고래축제,비축제기간,2023,현지인방문자 유입,0.6962092451987495
울산고래축제,비축제기간,2023,내비게이션 검색량,0.24723865282472235
울산고래축제,비축제기간,2023,관광소비,0.6812060935103673
울산고래축제,비축제기간,2023,축제지 집중률,0.5983920964288377
울산고래축제,축제기간,2022,외부방문자 유입,0.8661004270866763
울산고래축제,축제기간,2022,현지인방문자 유입,0.8847914547304171
울산고래축제,축제기간,2022,내비게이션 검색량,0.7000537056928035
울산고래축제,축제기간,2022,관광소비,0.7261395446354593
울산고래축제,축제기간,2022,축제지 집중률,0.9421560928267052
울산고래축제,비축제기간,2022,외부방문자 유입,0.5425783352260104
울산고래축제,비축제기간,2022,현지인방문자 유입,0.7207255486121203
울산고래축제,비축제기간,2022,내비게이션 검색량,0.23355263157894737
울산고래축제,비축제기간,2022,관광소비,0.7362979004264321
울산고래축제,비축제기간,2022,축제지 집중률,0.5973278321909802
울산고래축제,축제기간,2019,외부방문자 유입,0.7632538515348305
울산고래축제,축제기간,2019,현지인방문자 유입,0.7316262905039354
울산고래축제,축제기간,2019,내비게이션 검색량,0.7289836888331243
울산고래축제,축제기간,2019,관광소비,0.6685922971925155
울산고래축제,축제기간,2019,축제지 집중률,0.8823808674914114
울산고래축제,비축제기간,2019,외부방문자 유입,0.4013619107027778
울산고래축제,비축제기간,2019,현지인방문자 유입,0.600199325360319
울산고래축제,비축제기간,2019,내비게이션 검색량,0.20650355499790884
울산고래축제,비축제기간,2019,관광소비,0.7030353840318152
울산고래축제,비축제기간,2019,축제지 집중률,0.45231490516619827
울산고래축제,축제기간,2018,외부방문자 유입,0.7962336882681916
울산고래축제,축제기간,2018,현지인방문자 유입,0.9070014722722067
울산고래축제,축제기간,2018,내비게이션 검색량,0.6135307781649245
울산고래축제,축제기간,2018,관광소비,0.5903765733774351
울산고래축제,축제기간,2018,축제지 집중률,0.8673126433734538
울산고래축제,비축제기간,2018,외부방문자 유입,0.557913230539143
울산고래축제,비축제기간,2018,현지인방문자 유입,0.7387074676918044
울산고래축제,비축제기간,2018,내비게이션 검색량,0.28988821138211385
울산고래축제,비축제기간,2018,관광소비,0.6038833287059658
울산고래축제,비축제기간,2018,축제지 집중률,0.6250859569224272
