읍면동명,목적지명,도로명주소,카테고리,구분,순위
농소3동,달천철장유적공원,울산 북구,도시공원,현지인,1
농소3동,달천철장,울산 북구,역사유적지,현지인,2
농소3동,편백산림욕장,울산 북구,자연공원,현지인,3
농소3동,울산EDA승마장,울산 북구 버덩길 18-0,육상레저스포츠,현지인,4
효문동,메가마트울산점,울산 북구 진장17길 10-0,대형마트,현지인,5
농소3동,한마음선원울산지원,울산 북구 달래골길 26-12,종교성지,현지인,6
효문동,울산농협농수산물종합유통센터,울산 북구 진장유통로 90-0,시장,현지인,6
효문동,신선도원몰,울산 북구 진장17길 10-0,쇼핑몰,현지인,8
농소3동,서장사,울산 북구 관문길 251-0,종교성지,현지인,9
농소3동,토브그라운드,울산 북구 아진로 41-12,테마공원,현지인,10
효문동,모다아울렛울산점,울산 북구 진장유통로 78-6,쇼핑몰,현지인,11
효문동,효문운동장,울산 북구,레저스포츠시설,현지인,12
농소3동,더스완,울산 북구 달천로 22-0,테마공원,현지인,12
농소3동,벽선암,울산 북구 동산길 36-6,종교성지,현지인,14
농소3동,다올농원,울산 북구 덕곡길 5-0,농/산/어촌체험,현지인,15
효문동,무룡산,울산 북구,자연경관(산),현지인,16
농소3동,만석골저수지,울산 북구,자연경관(하천/해양),현지인,16
농소3동,원명사,울산 북구 달래골길 46-12,종교성지,현지인,16
효문동,꼬마대통령명촌점,울산 북구 명촌12길 10-0,테마공원,현지인,16
농소3동,달천철장유적공원,울산 북구,도시공원,외지인,1
농소3동,달천철장,울산 북구,역사유적지,외지인,2
농소3동,편백산림욕장,울산 북구,자연공원,외지인,3
효문동,메가마트울산점,울산 북구 진장17길 10-0,대형마트,외지인,4
효문동,신선도원몰,울산 북구 진장17길 10-0,쇼핑몰,외지인,5
효문동,모다아울렛울산점,울산 북구 진장유통로 78-6,쇼핑몰,외지인,6
농소3동,한마음선원울산지원,울산 북구 달래골길 26-12,종교성지,외지인,7
농소3동,울산EDA승마장,울산 북구 버덩길 18-0,육상레저스포츠,외지인,8
효문동,울산농협농수산물종합유통센터,울산 북구 진장유통로 90-0,시장,외지인,9
농소3동,서장사,울산 북구 관문길 251-0,종교성지,외지인,10
농소3동,더스완,울산 북구 달천로 22-0,테마공원,외지인,11
농소3동,벽선암,울산 북구 동산길 36-6,종교성지,외지인,12
농소3동,천만사,울산 북구 달천만석골길 108-0,종교성지,외지인,13
효문동,효문운동장,울산 북구,레저스포츠시설,외지인,14
효문동,꼬마대통령명촌점,울산 북구 명촌12길 10-0,테마공원,외지인,15
농소3동,토브그라운드,울산 북구 아진로 41-12,테마공원,외지인,15
농소3동,원명사,울산 북구 달래골길 46-12,종교성지,외지인,17
농소3동,만석골저수지,울산 북구,자연경관(하천/해양),외지인,18
농소3동,다올농원,울산 북구 덕곡길 5-0,농/산/어촌체험,외지인,19
효문동,무룡산,울산 북구,자연경관(산),외지인,20
농소3동,달천철장유적공원,울산 북구,도시공원,전체,1
농소3동,달천철장,울산 북구,역사유적지,전체,2
농소3동,편백산림욕장,울산 북구,자연공원,전체,3
효문동,메가마트울산점,울산 북구 진장17길 10-0,대형마트,전체,4
농소3동,울산EDA승마장,울산 북구 버덩길 18-0,육상레저스포츠,전체,5
효문동,신선도원몰,울산 북구 진장17길 10-0,쇼핑몰,전체,6
효문동,모다아울렛울산점,울산 북구 진장유통로 78-6,쇼핑몰,전체,7
농소3동,한마음선원울산지원,울산 북구 달래골길 26-12,종교성지,전체,8
효문동,울산농협농수산물종합유통센터,울산 북구 진장유통로 90-0,시장,전체,9
농소3동,서장사,울산 북구 관문길 251-0,종교성지,전체,10
농소3동,더스완,울산 북구 달천로 22-0,테마공원,전체,11
농소3동,벽선암,울산 북구 동산길 36-6,종교성지,전체,12
효문동,효문운동장,울산 북구,레저스포츠시설,전체,13
농소3동,천만사,울산 북구 달천만석골길 108-0,종교성지,전체,14
농소3동,토브그라운드,울산 북구 아진로 41-12,테마공원,전체,15
효문동,꼬마대통령명촌점,울산 북구 명촌12길 10-0,테마공원,전체,16
농소3동,원명사,울산 북구 달래골길 46-12,종교성지,전체,17
농소3동,만석골저수지,울산 북구,자연경관(하천/해양),전체,18
농소3동,다올농원,울산 북구 덕곡길 5-0,농/산/어촌체험,전체,18
효문동,무룡산,울산 북구,자연경관(산),전체,20
