축제명,그룹명,개최년도,구분명,구분값
울산옹기축제,축제기간,2023,외부방문자 유입,0.5454439609754962
울산옹기축제,축제기간,2023,현지인방문자 유입,0.8019634394041977
울산옹기축제,축제기간,2023,내비게이션 검색량,0.3513203214695752
울산옹기축제,축제기간,2023,관광소비,0.6956299118618556
울산옹기축제,축제기간,2023,축제지 집중률,0.7546863812142658
울산옹기축제,비축제기간,2023,외부방문자 유입,0.5337309031741854
울산옹기축제,비축제기간,2023,현지인방문자 유입,0.881163958474385
울산옹기축제,비축제기간,2023,내비게이션 검색량,0.3875813241484883
울산옹기축제,비축제기간,2023,관광소비,0.7466357530820656
울산옹기축제,비축제기간,2023,축제지 집중률,0.7336611835613084
울산옹기축제,축제기간,2022,외부방문자 유입,0.8113854405921023
울산옹기축제,축제기간,2022,현지인방문자 유입,0.9138541323674679
울산옹기축제,축제기간,2022,내비게이션 검색량,0.717292377701934
울산옹기축제,축제기간,2022,관광소비,0.776803365021271
울산옹기축제,축제기간,2022,축제지 집중률,0.8436618896407486
울산옹기축제,비축제기간,2022,외부방문자 유입,0.4861946098689105
울산옹기축제,비축제기간,2022,현지인방문자 유입,0.8322666282515641
울산옹기축제,비축제기간,2022,내비게이션 검색량,0.3377062002275313
울산옹기축제,비축제기간,2022,관광소비,0.7329295886534919
울산옹기축제,비축제기간,2022,축제지 집중률,0.578065329709844
울산옹기축제,축제기간,2019,외부방문자 유입,0.7791377644021972
울산옹기축제,축제기간,2019,현지인방문자 유입,0.8071440692346852
울산옹기축제,축제기간,2019,내비게이션 검색량,0.39015151515151514
울산옹기축제,축제기간,2019,관광소비,0.8336175228585597
울산옹기축제,축제기간,2019,축제지 집중률,0.9629098258233575
울산옹기축제,비축제기간,2019,외부방문자 유입,0.4551342043772403
울산옹기축제,비축제기간,2019,현지인방문자 유입,0.7728395978279314
울산옹기축제,비축제기간,2019,내비게이션 검색량,0.18930785123966942
울산옹기축제,비축제기간,2019,관광소비,0.741908714760849
울산옹기축제,비축제기간,2019,축제지 집중률,0.711886475641947
울산옹기축제,축제기간,2018,외부방문자 유입,0.6398233115519802
울산옹기축제,축제기간,2018,현지인방문자 유입,0.8437101765883852
울산옹기축제,축제기간,2018,내비게이션 검색량,0.5493197278911565
울산옹기축제,축제기간,2018,관광소비,0.7416115286644598
울산옹기축제,축제기간,2018,축제지 집중률,0.7064162247835704
울산옹기축제,비축제기간,2018,외부방문자 유입,0.4686772030029958
울산옹기축제,비축제기간,2018,현지인방문자 유입,0.8791075004551248
울산옹기축제,비축제기간,2018,내비게이션 검색량,0.37021683673469385
울산옹기축제,비축제기간,2018,관광소비,0.7096316928000287
울산옹기축제,비축제기간,2018,축제지 집중률,0.6163150200886245
