읍면동명,목적지명,도로명주소,카테고리,구분,순위
명륜1동,댄싱공연장,강원 원주시 단구로 170-0,공연시설,현지인,1
명륜1동,치악예술관,강원 원주시 서원대로 331-0,공연시설,현지인,2
명륜1동,남부시장,강원 원주시 치악로 1803-0,시장,현지인,3
명륜1동,원주댄싱카니발,강원 원주시 단구로 170-0,기타문화관광지,현지인,4
명륜1동,원주향교,강원 원주시 향교길 37-1,역사유적지,현지인,5
명륜1동,보물섬물놀이장,강원 원주시 단구로 150-0,테마공원,현지인,6
명륜1동,원주향교역사공원,강원 원주시,도시공원,현지인,7
명륜1동,학봉정,강원 원주시 단구로 150-0,기타레저스포츠,현지인,8
명륜1동,남산공원,강원 원주시 남산고개길 55-0,도시공원,현지인,9
명륜1동,수밸런스슬링체형교정센터,강원 원주시 명륜로 28-0,기타레저스포츠,현지인,9
명륜1동,댄싱공연장,강원 원주시 단구로 170-0,공연시설,외지인,1
명륜1동,치악예술관,강원 원주시 서원대로 331-0,공연시설,외지인,2
명륜1동,남부시장,강원 원주시 치악로 1803-0,시장,외지인,3
명륜1동,원주댄싱카니발,강원 원주시 단구로 170-0,기타문화관광지,외지인,4
명륜1동,원주향교,강원 원주시 향교길 37-1,역사유적지,외지인,5
명륜1동,학봉정,강원 원주시 단구로 150-0,기타레저스포츠,외지인,6
명륜1동,보물섬물놀이장,강원 원주시 단구로 150-0,테마공원,외지인,7
명륜1동,원주향교역사공원,강원 원주시,도시공원,외지인,8
명륜1동,남산공원,강원 원주시 남산고개길 55-0,도시공원,외지인,9
명륜1동,원주따뚜마칭밴드페스티벌,강원 원주시 단구로 170-0,기타레저스포츠,외지인,10
명륜1동,수밸런스슬링체형교정센터,강원 원주시 명륜로 28-0,기타레저스포츠,외지인,10
명륜1동,댄싱공연장,강원 원주시 단구로 170-0,공연시설,전체,1
명륜1동,치악예술관,강원 원주시 서원대로 331-0,공연시설,전체,2
명륜1동,남부시장,강원 원주시 치악로 1803-0,시장,전체,3
명륜1동,원주댄싱카니발,강원 원주시 단구로 170-0,기타문화관광지,전체,4
명륜1동,원주향교,강원 원주시 향교길 37-1,역사유적지,전체,5
명륜1동,보물섬물놀이장,강원 원주시 단구로 150-0,테마공원,전체,6
명륜1동,학봉정,강원 원주시 단구로 150-0,기타레저스포츠,전체,7
명륜1동,원주향교역사공원,강원 원주시,도시공원,전체,8
명륜1동,남산공원,강원 원주시 남산고개길 55-0,도시공원,전체,9
명륜1동,수밸런스슬링체형교정센터,강원 원주시 명륜로 28-0,기타레저스포츠,전체,10
명륜1동,원주따뚜마칭밴드페스티벌,강원 원주시 단구로 170-0,기타레저스포츠,전체,11
