축제명,그룹명,개최년도,구분명,구분값
원주다이내믹댄싱카니발,축제기간,2023,외부방문자 유입,0.31630034322722894
원주다이내믹댄싱카니발,축제기간,2023,현지인방문자 유입,0.9463462005341103
원주다이내믹댄싱카니발,축제기간,2023,내비게이션 검색량,0.82909604519774
원주다이내믹댄싱카니발,축제기간,2023,관광소비,0.7856509838686149
원주다이내믹댄싱카니발,축제기간,2023,축제지 집중률,0.39274443956600086
원주다이내믹댄싱카니발,비축제기간,2023,외부방문자 유입,0.1381025479718125
원주다이내믹댄싱카니발,비축제기간,2023,현지인방문자 유입,0.4204979970866715
원주다이내믹댄싱카니발,비축제기간,2023,내비게이션 검색량,0.3653778248587571
원주다이내믹댄싱카니발,비축제기간,2023,관광소비,0.750046395793457
원주다이내믹댄싱카니발,비축제기간,2023,축제지 집중률,0.15241049367133017
원주다이내믹댄싱카니발,축제기간,2022,외부방문자 유입,0.839276821274281
원주다이내믹댄싱카니발,축제기간,2022,현지인방문자 유입,0.8158511083228775
원주다이내믹댄싱카니발,축제기간,2022,내비게이션 검색량,0.8363636363636363
원주다이내믹댄싱카니발,축제기간,2022,관광소비,0.7047065593116554
원주다이내믹댄싱카니발,축제기간,2022,축제지 집중률,0.9179059920055279
원주다이내믹댄싱카니발,비축제기간,2022,외부방문자 유입,0.3631026770551179
원주다이내믹댄싱카니발,비축제기간,2022,현지인방문자 유입,0.3650355499790882
원주다이내믹댄싱카니발,비축제기간,2022,내비게이션 검색량,0.33998316498316494
원주다이내믹댄싱카니발,비축제기간,2022,관광소비,0.6986830846184461
원주다이내믹댄싱카니발,비축제기간,2022,축제지 집중률,0.42519709708727826
원주다이내믹댄싱카니발,축제기간,2019,외부방문자 유입,0.3010137674384499
원주다이내믹댄싱카니발,축제기간,2019,현지인방문자 유입,0.5549407881964666
원주다이내믹댄싱카니발,축제기간,2019,내비게이션 검색량,0.29786620530565167
원주다이내믹댄싱카니발,축제기간,2019,관광소비,0.7045661374389406
원주다이내믹댄싱카니발,축제기간,2019,축제지 집중률,0.4623572130882722
원주다이내믹댄싱카니발,비축제기간,2019,외부방문자 유입,0.33266726551663023
원주다이내믹댄싱카니발,비축제기간,2019,현지인방문자 유입,0.48293413900213555
원주다이내믹댄싱카니발,비축제기간,2019,내비게이션 검색량,0.21943483275663206
원주다이내믹댄싱카니발,비축제기간,2019,관광소비,0.7358812997355881
원주다이내믹댄싱카니발,비축제기간,2019,축제지 집중률,0.3604520563845206
원주다이내믹댄싱카니발,축제기간,2018,외부방문자 유입,0.2881746977694534
원주다이내믹댄싱카니발,축제기간,2018,현지인방문자 유입,0.5734943639291465
원주다이내믹댄싱카니발,축제기간,2018,내비게이션 검색량,0.6840120663650076
원주다이내믹댄싱카니발,축제기간,2018,관광소비,0.6507649354719057
원주다이내믹댄싱카니발,축제기간,2018,축제지 집중률,0.36177374373982935
원주다이내믹댄싱카니발,비축제기간,2018,외부방문자 유입,0.29697379249673644
원주다이내믹댄싱카니발,비축제기간,2018,현지인방문자 유입,0.5046900161030595
원주다이내믹댄싱카니발,비축제기간,2018,내비게이션 검색량,0.29534313725490197
원주다이내믹댄싱카니발,비축제기간,2018,관광소비,0.6342241660461092
원주다이내믹댄싱카니발,비축제기간,2018,축제지 집중률,0.3741514579373842
