축제명,그룹명,개최년도,구분명,구분값
이천쌀문화축제,축제기간,2023,외부방문자 유입,0.5594467714855976
이천쌀문화축제,축제기간,2023,현지인방문자 유입,0.9362485615650172
이천쌀문화축제,축제기간,2023,내비게이션 검색량,0.7153209109730849
이천쌀문화축제,축제기간,2023,관광소비,0.8087338491159114
이천쌀문화축제,축제기간,2023,축제지 집중률,0.7522224063780568
이천쌀문화축제,비축제기간,2023,외부방문자 유입,0.4533928072999534
이천쌀문화축제,비축제기간,2023,현지인방문자 유입,0.6397967011891063
이천쌀문화축제,비축제기간,2023,내비게이션 검색량,0.4277885610766045
이천쌀문화축제,비축제기간,2023,관광소비,0.7786932443203272
이천쌀문화축제,비축제기간,2023,축제지 집중률,0.6351950384263088
이천쌀문화축제,축제기간,2022,외부방문자 유입,0.36903861554768846
이천쌀문화축제,축제기간,2022,현지인방문자 유입,0.9568
이천쌀문화축제,축제기간,2022,내비게이션 검색량,0.7645010879701586
이천쌀문화축제,축제기간,2022,관광소비,0.8355605480066455
이천쌀문화축제,축제기간,2022,축제지 집중률,0.7130177671114081
이천쌀문화축제,비축제기간,2022,외부방문자 유입,0.31570154514412796
이천쌀문화축제,비축제기간,2022,현지인방문자 유입,0.7198526315789473
이천쌀문화축제,비축제기간,2022,내비게이션 검색량,0.5559138949331676
이천쌀문화축제,비축제기간,2022,관광소비,0.7724613795925787
이천쌀문화축제,비축제기간,2022,축제지 집중률,0.6320403748331397
이천쌀문화축제,축제기간,2019,외부방문자 유입,0.0
이천쌀문화축제,축제기간,2019,현지인방문자 유입,0.0
이천쌀문화축제,축제기간,2019,내비게이션 검색량,0.0
이천쌀문화축제,축제기간,2019,관광소비,0.0
이천쌀문화축제,축제기간,2019,축제지 집중률,0.0
이천쌀문화축제,비축제기간,2019,외부방문자 유입,0.0
이천쌀문화축제,비축제기간,2019,현지인방문자 유입,0.0
이천쌀문화축제,비축제기간,2019,내비게이션 검색량,0.0
이천쌀문화축제,비축제기간,2019,관광소비,0.0
이천쌀문화축제,비축제기간,2019,축제지 집중률,0.0
이천쌀문화축제,축제기간,2018,외부방문자 유입,0.6893101542908148
이천쌀문화축제,축제기간,2018,현지인방문자 유입,0.9067914893617022
이천쌀문화축제,축제기간,2018,내비게이션 검색량,0.5575870646766169
이천쌀문화축제,축제기간,2018,관광소비,0.7594514904044757
이천쌀문화축제,축제기간,2018,축제지 집중률,0.8503808146624546
이천쌀문화축제,비축제기간,2018,외부방문자 유입,0.3957982925392709
이천쌀문화축제,비축제기간,2018,현지인방문자 유입,0.6554765957446809
이천쌀문화축제,비축제기간,2018,내비게이션 검색량,0.29070273631840793
이천쌀문화축제,비축제기간,2018,관광소비,0.7145376577417194
이천쌀문화축제,비축제기간,2018,축제지 집중률,0.5518324497378372
