축제명,그룹명,개최년도,구분명,구분값
인천펜타포트음악축제,축제기간,2023,외부방문자 유입,0.8515597407743782
인천펜타포트음악축제,축제기간,2023,현지인방문자 유입,0.7925470925470925
인천펜타포트음악축제,축제기간,2023,내비게이션 검색량,0.6653315531820204
인천펜타포트음악축제,축제기간,2023,관광소비,0.7483170930039676
인천펜타포트음악축제,축제기간,2023,축제지 집중률,0.9665430328329444
인천펜타포트음악축제,비축제기간,2023,외부방문자 유입,0.3520315964574753
인천펜타포트음악축제,비축제기간,2023,현지인방문자 유입,0.8150235462735462
인천펜타포트음악축제,비축제기간,2023,내비게이션 검색량,0.49606141522029373
인천펜타포트음악축제,비축제기간,2023,관광소비,0.730811155122391
인천펜타포트음악축제,비축제기간,2023,축제지 집중률,0.44778459222085376
인천펜타포트음악축제,축제기간,2022,외부방문자 유입,0.7587624730391994
인천펜타포트음악축제,축제기간,2022,현지인방문자 유입,0.7423931233835388
인천펜타포트음악축제,축제기간,2022,내비게이션 검색량,0.5468806477264512
인천펜타포트음악축제,축제기간,2022,관광소비,0.6827873119122082
인천펜타포트음악축제,축제기간,2022,축제지 집중률,0.9904522261218695
인천펜타포트음악축제,비축제기간,2022,외부방문자 유입,0.4338266011917811
인천펜타포트음악축제,비축제기간,2022,현지인방문자 유입,0.8006617982656321
인천펜타포트음악축제,비축제기간,2022,내비게이션 검색량,0.4602445239644329
인천펜타포트음악축제,비축제기간,2022,관광소비,0.7213154209856824
인천펜타포트음악축제,비축제기간,2022,축제지 집중률,0.5980182492657684
인천펜타포트음악축제,축제기간,2019,외부방문자 유입,0.5296367112810707
인천펜타포트음악축제,축제기간,2019,현지인방문자 유입,0.6571835571835573
인천펜타포트음악축제,축제기간,2019,내비게이션 검색량,0.4864864864864865
인천펜타포트음악축제,축제기간,2019,관광소비,0.6090591431844434
인천펜타포트음악축제,축제기간,2019,축제지 집중률,0.5414019268182324
인천펜타포트음악축제,비축제기간,2019,외부방문자 유입,0.4025143529566081
인천펜타포트음악축제,비축제기간,2019,현지인방문자 유입,0.6206247456247456
인천펜타포트음악축제,비축제기간,2019,내비게이션 검색량,0.4352865796831314
인천펜타포트음악축제,비축제기간,2019,관광소비,0.6405328696075352
인천펜타포트음악축제,비축제기간,2019,축제지 집중률,0.4225209462089693
인천펜타포트음악축제,축제기간,2018,외부방문자 유입,0.8115228617498099
인천펜타포트음악축제,축제기간,2018,현지인방문자 유입,0.7800611955975704
인천펜타포트음악축제,축제기간,2018,내비게이션 검색량,0.5734945471787577
인천펜타포트음악축제,축제기간,2018,관광소비,0.6514200013245665
인천펜타포트음악축제,축제기간,2018,축제지 집중률,0.9612325725032714
인천펜타포트음악축제,비축제기간,2018,외부방문자 유입,0.5662843098754196
인천펜타포트음악축제,비축제기간,2018,현지인방문자 유입,0.7791877882814997
인천펜타포트음악축제,비축제기간,2018,내비게이션 검색량,0.4845602181128497
인천펜타포트음악축제,비축제기간,2018,관광소비,0.6947622836666278
인천펜타포트음악축제,비축제기간,2018,축제지 집중률,0.6671761798939934
