축제명,그룹명,개최년도,구분명,구분값
임실N치즈축제,축제기간,2023,외부방문자 유입,0.6982908377844689
임실N치즈축제,축제기간,2023,현지인방문자 유입,0.8887399463806971
임실N치즈축제,축제기간,2023,내비게이션 검색량,0.6602521008403361
임실N치즈축제,축제기간,2023,관광소비,0.8365705102411622
임실N치즈축제,축제기간,2023,축제지 집중률,0.7744551410861231
임실N치즈축제,비축제기간,2023,외부방문자 유입,0.1292121553645991
임실N치즈축제,비축제기간,2023,현지인방문자 유입,0.2209562109025916
임실N치즈축제,비축제기간,2023,내비게이션 검색량,0.08821428571428572
임실N치즈축제,비축제기간,2023,관광소비,0.6324071827916057
임실N치즈축제,비축제기간,2023,축제지 집중률,0.21310507393084918
임실N치즈축제,축제기간,2022,외부방문자 유입,0.7843822139433687
임실N치즈축제,축제기간,2022,현지인방문자 유입,0.7809364548494984
임실N치즈축제,축제기간,2022,내비게이션 검색량,0.6941855753646677
임실N치즈축제,축제기간,2022,관광소비,0.8255491779225517
임실N치즈축제,축제기간,2022,축제지 집중률,0.9112607324635023
임실N치즈축제,비축제기간,2022,외부방문자 유입,0.13139991556864536
임실N치즈축제,비축제기간,2022,현지인방문자 유입,0.19941471571906355
임실N치즈축제,비축제기간,2022,내비게이션 검색량,0.09271170988654781
임실N치즈축제,비축제기간,2022,관광소비,0.6413803254019202
임실N치즈축제,비축제기간,2022,축제지 집중률,0.21980139319341863
임실N치즈축제,축제기간,2019,외부방문자 유입,0.8056913683166979
임실N치즈축제,축제기간,2019,현지인방문자 유입,0.702212020033389
임실N치즈축제,축제기간,2019,내비게이션 검색량,0.8883731211317418
임실N치즈축제,축제기간,2019,관광소비,0.7900950724269843
임실N치즈축제,축제기간,2019,축제지 집중률,0.8216297654157259
임실N치즈축제,비축제기간,2019,외부방문자 유입,0.10607890408489735
임실N치즈축제,비축제기간,2019,현지인방문자 유입,0.15447621035058431
임실N치즈축제,비축제기간,2019,내비게이션 검색량,0.09772877984084881
임실N치즈축제,비축제기간,2019,관광소비,0.5970644787476116
임실N치즈축제,비축제기간,2019,축제지 집중률,0.15815130110238707
임실N치즈축제,축제기간,2018,외부방문자 유입,0.6997788297622894
임실N치즈축제,축제기간,2018,현지인방문자 유입,0.8272179627601315
임실N치즈축제,축제기간,2018,내비게이션 검색량,0.6815659679408138
임실N치즈축제,축제기간,2018,관광소비,0.6438962498409305
임실N치즈축제,축제기간,2018,축제지 집중률,0.9217748599056339
임실N치즈축제,비축제기간,2018,외부방문자 유입,0.14687264333288974
임실N치즈축제,비축제기간,2018,현지인방문자 유입,0.1847275465498357
임실N치즈축제,비축제기간,2018,내비게이션 검색량,0.10557953144266338
임실N치즈축제,비축제기간,2018,관광소비,0.6184330413911397
임실N치즈축제,비축제기간,2018,축제지 집중률,0.215145038653566
